Item Type,Sequence,Human Code,Full Statement,Ed. Level,Last Modified
Grade Level,1,BIT.e,Grades PK-5,PK - 5,2023-07-19T19:37:29+00:00
Content Area,1.1,BIT.e.AF,Accounting and Finance,,2023-07-19T19:37:29+00:00
Standard,1.1.1,BIT.e.AF.1,Students will apply generally accepted accounting principles while performing the functions of the accounting cycle.,,2023-07-19T19:37:29+00:00
Learning Priority,1.1.1.1,BIT.e.AF.1.a,Identify current structures and regulations affecting accounting principles and their effects on businesses.,,2023-07-19T19:37:29+00:00
Learning Priority,1.1.1.2,BIT.e.AF.1.b,Analyze the effects of changes in assets.,,2023-07-19T19:37:29+00:00
Performance Indicator,1.1.1.2.1,BIT.e.AF.1.b.1,Recognize items a business owns.,,2023-07-19T19:37:29+00:00
Learning Priority,1.1.1.3,BIT.e.AF.1.c,Analyze the effects of changes in liabilities.,,2023-07-19T19:37:29+00:00
Performance Indicator,1.1.1.3.1,BIT.e.AF.1.c.1,Recognize items a business owes.,,2023-07-19T19:37:29+00:00
Learning Priority,1.1.1.4,BIT.e.AF.1.d,Analyze the effects of changes in owner’s equity.,,2023-07-19T19:37:29+00:00
Performance Indicator,1.1.1.4.1,BIT.e.AF.1.d.1,Define revenue.,,2023-07-19T19:37:29+00:00
Performance Indicator,1.1.1.4.2,BIT.e.AF.1.d.2,Define expense.,,2023-07-19T19:37:29+00:00
Standard,1.1.2,BIT.e.AF.2,Students will develop and analyze working knowledge of financial reports.,,2023-07-19T19:37:29+00:00
Learning Priority,1.1.2.1,BIT.e.AF.2.a,Prepare and analyze financial reports for different forms of business ownership.,,2023-07-19T19:37:29+00:00
Learning Priority,1.1.2.2,BIT.e.AF.2.b,Assess the financial condition and operating results of a company while interpreting financial statements.,,2023-07-19T19:37:29+00:00
Standard,1.1.3,BIT.e.AF.3,Students will apply payroll and tax theories and procedures.,,2023-07-19T19:37:29+00:00
Learning Priority,1.1.3.1,BIT.e.AF.3.a,Prepare payroll.,,2023-07-19T19:37:29+00:00
Learning Priority,1.1.3.2,BIT.e.AF.3.b,Analyze how employer taxes impact business operations.,,2023-07-19T19:37:29+00:00
Content Area,1.2,BIT.e.BCA,Business Calculations,,2023-07-19T19:37:29+00:00
Standard,1.2.1,BIT.e.BCA.1,Students will analyze and use appropriate operations to solve business and personal mathematical problems.,,2023-07-19T19:37:29+00:00
Learning Priority,1.2.1.1,BIT.e.BCA.1.a,Perform financial calculations.,,2023-07-19T19:37:29+00:00
Performance Indicator,1.2.1.1.1,BIT.e.BCA.1.a.1,Define terms related to financial statements.,,2023-07-19T19:37:29+00:00
Performance Indicator,1.2.1.1.2,BIT.e.BCA.1.a.2,"Identify various personal financial statements (i.e., budgets, etc.).",,2023-07-19T19:37:29+00:00
Learning Priority,1.2.1.2,BIT.e.BCA.1.b,Analyze personal financial documents.,,2023-07-19T19:37:29+00:00
Performance Indicator,1.2.1.2.1,BIT.e.BCA.1.b.1,Define finances.,,2023-07-19T19:37:29+00:00
Performance Indicator,1.2.1.2.2,BIT.e.BCA.1.b.2,Perform simple computations correctly.,,2023-07-19T19:37:29+00:00
Performance Indicator,1.2.1.2.3,BIT.e.BCA.1.b.3,Explain the purpose of financial statements.,,2023-07-19T19:37:29+00:00
Performance Indicator,1.2.1.2.4,BIT.e.BCA.1.b.4,Identify when to use personal financial statements.,,2023-07-19T19:37:29+00:00
Performance Indicator,1.2.1.2.5,BIT.e.BCA.1.b.5,Identify items to include in a budget.,,2023-07-19T19:37:29+00:00
Learning Priority,1.2.1.3,BIT.e.BCA.1.c,Select and use standard math principles.,,2023-07-19T19:37:29+00:00
Performance Indicator,1.2.1.3.1,BIT.e.BCA.1.c.1,Determine the correct mathematical processes to use for various problem situations and use formulas when appropriate.,,2023-07-19T19:37:29+00:00
Performance Indicator,1.2.1.3.2,BIT.e.BCA.1.c.2,Select and use appropriate tools when solving problems.,,2023-07-19T19:37:29+00:00
Performance Indicator,1.2.1.3.3,BIT.e.BCA.1.c.3,"Solve problems that involve whole numbers, decimals and fractions and use appropriate conversions.",,2023-07-19T19:37:29+00:00
Performance Indicator,1.2.1.3.4,BIT.e.BCA.1.c.4,"Add, subtract, multiply and divide whole numbers, decimals and fractions without the use of technology.",,2023-07-19T19:37:29+00:00
Performance Indicator,1.2.1.3.5,BIT.e.BCA.1.c.5,"Recognize, describe and predict patterns of data.",,2023-07-19T19:37:29+00:00
Learning Priority,1.2.1.4,BIT.e.BCA.1.d,Use algebraic procedures.,,2023-07-19T19:37:29+00:00
Performance Indicator,1.2.1.4.1,BIT.e.BCA.1.d.1,Recognize changes in patterns.,,2023-07-19T19:37:29+00:00
Performance Indicator,1.2.1.4.2,BIT.e.BCA.1.d.2,Use mathematical operations for simple calculations.,,2023-07-19T19:37:29+00:00
Performance Indicator,1.2.1.4.3,BIT.e.BCA.1.d.3,Identify algebraic symbols in mathematical calculations.,,2023-07-19T19:37:29+00:00
