Item Type,Sequence,Human Code,Full Statement,Ed. Level,Last Modified
Domain,1,,Modern Languages,KG-12,2025-05-16T21:30:29+00:00
Anchor Standard,1.1,,**Communication** Learners communicate effectively in the target language in order to function in a variety of contexts and for multiple purposes.,KG-12,2025-05-16T21:30:29+00:00
Standard,1.1.1,ML.CM.1,"**Interpretive Communication** Learners understand, interpret, and analyze what is heard, read, received*, or viewed on a variety of topics, using a range of diverse texts, including authentic resources.",KG-12,2025-05-16T21:30:29+00:00
Standard,1.1.2,ML.CM.2,"**Interpersonal Communication** Learners interact and negotiate meaning in spontaneous, spoken, visual*, or written communication to exchange information and express feelings, preferences, and opinions.",KG-12,2025-05-16T21:30:29+00:00
Standard,1.1.3,ML.CM.3,"**Presentational Communication** Learners present information and ideas on a variety of topics adapted to various audiences of listeners, readers, or viewers* to describe, inform, narrate, explain, or persuade.",KG-12,2025-05-16T21:30:29+00:00
Anchor Standard,1.2,,"**Cultures** Learners use the target language to identify, describe, compare, and explain the practices, products, and perspectives of the cultures studied.",KG-12,2025-05-16T21:30:29+00:00
Standard,1.2.1,ML.CT.4,"**Relating Cultural Practices and Products to Perspectives** Learners use the target language to identify, describe, and explain the practices and products of the cultures studied as well as the cultural perspectives they suggest.",KG-12,2025-05-16T21:30:29+00:00
Standard,1.2.2,ML.CT.5,**Cultural Comparisons** Learners use the target language to compare the products and practices of the cultures studied and their own.,KG-12,2025-05-16T21:30:29+00:00
Domain,2,,Classical Languages,KG-12,2025-05-16T21:30:29+00:00
Anchor Standard,2.1,,"**Communication** Learners communicate effectively in classical languages by using a variety of texts and resources for multiple purposes, while making interdisciplinary language connections.",KG-12,2025-05-16T21:30:29+00:00
Standard,2.1.1,CL.CM.1,"**Interpretive Communication** Learners understand, interpret, and analyze what is heard, read, or viewed on a variety of topics, drawing on a range of diverse texts, including authentic resources.",KG-12,2025-05-16T21:30:29+00:00
Standard,2.1.2,CL.CM.2,"**Presentational Communication** Learners present information and ideas on a variety of topics adapted to various audiences of listeners, readers, or viewers to describe, inform, narrate, explain, and persuade.",KG-12,2025-05-16T21:30:29+00:00
Standard,2.1.3,CL.CM.3,"**Interpersonal Communication** Learners interact and negotiate meaning in spoken or written conversations to exchange information and express feelings, preferences, and opinions.",KG-12,2025-05-16T21:30:29+00:00
Anchor Standard,2.2,,"**Cultures** Learners use knowledge of classical languages to identify, describe, compare, and explain the practices, products and perspectives of ancient and other cultures.",KG-12,2025-05-16T21:30:29+00:00
Standard,2.2.1,CL.CT.4,"**Relating Cultural Practices and Products to Perspectives** Learners use knowledge of classical languages to identify, describe, and explain the practices and products of the cultures studied as well as the cultural perspectives they suggest.",KG-12,2025-05-16T21:30:29+00:00
Standard,2.2.2,CL.CT.5,**Cultural Comparisons** Learners use knowledge of classical languages to compare the products and practices of the cultures studied and their own.,KG-12,2025-05-16T21:30:29+00:00
