Item Type,Sequence,Human Code,Full Statement,Ed. Level,Last Modified
Framework,1,,Early Learning Foundations Framework,,2020-12-07T10:49:15+00:00
Content Area,1.1,,English/Language Arts,,2020-12-07T10:41:18+00:00
Foundation,1.1.1,ELA1,<b>Communication Process: </b>Early learners develop foundational skills to communicate effectively for a variety of purposes.,,2020-11-19T14:56:42+00:00
Topic,1.1.1.1,ELA1.1,Demonstrate receptive communication,,2020-11-10T08:55:54+00:00
Age Range,1.1.1.1.1,,Infant,,2020-11-10T08:55:54+00:00
Indicator,1.1.1.1.1.1,,Demonstrate continual growth in understanding increasingly complex and varied vocabulary,,2020-11-10T08:55:54+00:00
Indicator,1.1.1.1.1.2,,Respond to words or gestures,,2020-11-10T08:55:54+00:00
Indicator,1.1.1.1.1.3,,"Recognize familiar objects, people, and voices",,2020-11-10T08:55:54+00:00
Indicator,1.1.1.1.1.4,,Orient to sounds in the environment,,2020-11-10T08:55:54+00:00
Age Range,1.1.1.1.2,,Younger Toddler,,2020-11-10T08:55:54+00:00
Indicator,1.1.1.1.2.1,,Demonstrate continual growth in understanding increasingly complex and varied vocabulary,,2020-11-10T08:55:54+00:00
Indicator,1.1.1.1.2.2,,"Respond to simple statements, requests, and/or gestures",,2020-11-10T08:55:54+00:00
Age Range,1.1.1.1.3,,Older Toddler,,2020-11-10T08:55:54+00:00
Indicator,1.1.1.1.3.1,,Demonstrate continual growth in understanding increasingly complex and varied vocabulary,,2020-11-10T08:55:54+00:00
Indicator,1.1.1.1.3.2,,"Respond to simple sentences, phrases, gestures and/or actions ",,2020-11-10T08:55:54+00:00
Indicator,1.1.1.1.3.3,,Follow simple one-step directions,,2020-11-10T08:55:54+00:00
Age Range,1.1.1.1.4,,Younger Preschool,,2020-11-10T08:55:54+00:00
Indicator,1.1.1.1.4.1,,Demonstrate continual growth in understanding increasingly complex and varied vocabulary,,2020-11-10T08:55:54+00:00
Indicator,1.1.1.1.4.2,,Respond to complex gestures and/or actions to communicate (such as comforting others who are crying),,2020-11-10T08:55:54+00:00
Indicator,1.1.1.1.4.3,,Listen to and follow multi-step directions with adult support,,2020-11-10T08:55:54+00:00
Age Range,1.1.1.1.5,,Older Preschool,,2020-11-10T08:55:54+00:00
Indicator,1.1.1.1.5.1,,Demonstrate continual growth in understanding increasingly complex and varied vocabulary,,2020-11-10T08:55:54+00:00
Indicator,1.1.1.1.5.2,,Respond to complex gestures and/or actions to communicate (such as comforting others who are crying),,2020-11-10T08:55:54+00:00
Indicator,1.1.1.1.5.3,,Listen to and follow multi-step directions,,2020-11-10T08:55:54+00:00
Age Range,1.1.1.1.6,,Kindergarten Standard,,2020-11-10T08:55:54+00:00
Indicator,1.1.1.1.6.1,,"K.W.5: With support, build understanding of a topic using various sources. Identify relevant pictures, charts, gradeappropriate texts, personal experiences, or people as sources of information on a topic.",,2020-11-10T08:55:54+00:00
Indicator,1.1.1.1.6.2,,"K.RV.1: Use words, phrases, and strategies acquired through conversations, reading and being read to, and responding to literature and nonfiction texts to build and apply vocabulary. ",,2020-11-10T08:55:54+00:00
Topic,1.1.1.2,ELA1.2,Demonstrate expressive communication,,2020-11-10T08:55:54+00:00
Age Range,1.1.1.2.1,,Infant,,2020-11-10T08:55:54+00:00
Indicator,1.1.1.2.1.1,,Use facial expressions to communicate,,2020-11-10T08:55:54+00:00
Indicator,1.1.1.2.1.2,,Use simple vocalizations to communicate,,2020-11-10T08:55:54+00:00
Indicator,1.1.1.2.1.3,,Express sounds and patterns of home language,,2020-11-10T08:55:54+00:00
Age Range,1.1.1.2.2,,Younger Toddler ,,2020-11-10T08:55:54+00:00
Indicator,1.1.1.2.2.1,,Demonstrate continual growth in increasingly varied and complex vocabulary,,2020-11-10T08:55:54+00:00
Indicator,1.1.1.2.2.2,,Use gestures to clarify communication,,2020-11-10T08:55:54+00:00
Indicator,1.1.1.2.2.3,,Use single words or simple phrases,,2020-11-10T08:55:54+00:00
Age Range,1.1.1.2.3,,Older Toddler,,2020-11-10T08:55:54+00:00
Indicator,1.1.1.2.3.1,,Demonstrate continual growth in increasingly varied and complex vocabulary,,2020-11-10T08:55:54+00:00
Indicator,1.1.1.2.3.2,,Use gestures and actions to communicate,,2020-11-10T08:55:54+00:00
Indicator,1.1.1.2.3.3,,Use simple phrases or simple sentences,,2020-11-10T08:55:54+00:00
Indicator,1.1.1.2.3.4,,"Talk about past, present, and future events",,2020-11-10T08:55:54+00:00
Age Range,1.1.1.2.4,,Younger Preschool,,2020-11-10T08:55:54+00:00
Indicator,1.1.1.2.4.1,,Demonstrate continual growth in increasingly varied and complex vocabulary,,2020-11-10T08:55:54+00:00
Indicator,1.1.1.2.4.2,,Use complex gestures and actions to communicate,,2020-11-10T08:55:54+00:00
Indicator,1.1.1.2.4.3,,Use expanded sentences,,2020-11-10T08:55:54+00:00
Indicator,1.1.1.2.4.4,,Describe activities and experiences with detail ,,2020-11-10T08:55:54+00:00
Age Range,1.1.1.2.5,,Older Preschool,,2020-11-10T08:55:54+00:00
Indicator,1.1.1.2.5.1,,Demonstrate continual growth in increasingly varied and complex vocabulary,,2020-11-10T08:55:54+00:00
Indicator,1.1.1.2.5.2,,Use complex gestures and actions to communicate,,2020-11-10T08:55:54+00:00
Indicator,1.1.1.2.5.3,,Use complex sentences,,2020-11-10T08:55:54+00:00
Indicator,1.1.1.2.5.4,,"Describe activities, experiences, and stories with expanded detail",,2020-11-10T08:55:54+00:00
Indicator,1.1.1.2.5.5,,Change word tense to indicate time,,2020-11-10T08:55:54+00:00
Age Range,1.1.1.2.6,,Kindergarten Standard,,2020-11-10T08:55:54+00:00
Indicator,1.1.1.2.6.1,,"K.SL.2.4: Ask questions to seek help, get information, or clarify something that is not understood. ",,2020-11-10T08:55:54+00:00
Indicator,1.1.1.2.6.2,,"K.RV.1: Use words, phrases, and strategies acquired through conversations, reading and being read to, and responding to literature and nonfiction texts to build and apply vocabulary.",,2020-11-10T08:55:54+00:00
Topic,1.1.1.3,ELA1.3,Demonstrate ability to engage in conversations ,,2020-11-10T08:55:54+00:00
Age Range,1.1.1.3.1,,Infant,,2020-11-10T08:55:54+00:00
Indicator,1.1.1.3.1.1,,"Jointly attend to an object, event, or person",,2020-11-10T08:55:54+00:00
Age Range,1.1.1.3.2,,Younger Toddler ,,2020-11-10T08:55:54+00:00
Indicator,1.1.1.3.2.1,,Demonstrate intent of communicating with others,,2020-11-10T08:55:54+00:00
Age Range,1.1.1.3.3,,Older Toddler,,2020-11-10T08:55:54+00:00
Indicator,1.1.1.3.3.1,,Take turns in a conversation,,2020-11-10T08:55:54+00:00
Indicator,1.1.1.3.3.2,,Respond to a request for clarification,,2020-11-10T08:55:54+00:00
Age Range,1.1.1.3.4,,Younger Preschool,,2020-11-10T08:55:54+00:00
Indicator,1.1.1.3.4.1,,Answer questions posed by adults or peers,,2020-11-10T08:55:54+00:00
Indicator,1.1.1.3.4.2,,Ask questions for understanding and clarity,,2020-11-10T08:55:54+00:00
Indicator,1.1.1.3.4.3,,Make on topic comments ,,2020-11-10T08:55:54+00:00
Indicator,1.1.1.3.4.4,,Stay on topic in twoway conversation with others ,,2020-11-10T08:55:54+00:00
Age Range,1.1.1.3.5,,Older Preschool,,2020-11-10T08:55:54+00:00
Indicator,1.1.1.3.5.1,,Answer questions posed by adults or peers ,,2020-11-10T08:55:54+00:00
Indicator,1.1.1.3.5.2,,Ask questions for understanding and clarity,,2020-11-10T08:55:54+00:00
Indicator,1.1.1.3.5.3,,Make on topic comments,,2020-11-10T08:55:54+00:00
Indicator,1.1.1.3.5.4,,Stay on topic in twoway conversation that involves multiple turns,,2020-11-10T08:55:54+00:00
Indicator,1.1.1.3.5.5,,Communicate actively in group activities,,2020-11-10T08:55:54+00:00
Age Range,1.1.1.3.6,,Kindergarten Standard,,2020-11-10T08:55:54+00:00
Indicator,1.1.1.3.6.1,,K.SL.1: Listen actively and communicate effectively with a variety of audiences and for different purposes.,,2020-11-10T08:55:54+00:00
Indicator,1.1.1.3.6.2,,K.SL.2.1: Participate in collaborative conversations about grade-appropriate topics and texts with peers and adults in small and larger groups.,,2020-11-10T08:55:54+00:00
Indicator,1.1.1.3.6.3,,K.SL.3.2: Ask appropriate questions about what a speaker says.,,2020-11-10T08:55:54+00:00
Indicator,1.1.1.3.6.4,,K.SL.2.5: Continue a conversation through multiple exchanges.,,2020-11-10T08:55:54+00:00
Indicator,1.1.1.3.6.5,,"K.SL.2.3: Listen to others, take turns speaking, and add one’s own ideas to small group discussions or tasks.",,2020-11-10T08:55:54+00:00
Foundation,1.1.2,ELA2,"<b>Early Reading: </b>Early learners develop foundational skills in understanding alphabet awareness, phonological awareness, concepts of print, and comprehension.  ",,2020-11-10T10:53:54+00:00
Topic,1.1.2.1,ELA2.1,Demonstrate awareness of the alphabet,,2020-11-10T08:55:54+00:00
Age Range,1.1.2.1.1,,Younger Toddler,,2020-11-10T08:55:54+00:00
Indicator,1.1.2.1.1.1,,Distinguish words from pictures,,2020-11-10T08:55:54+00:00
Age Range,1.1.2.1.2,,Older Toddler,,2020-11-10T08:55:54+00:00
Indicator,1.1.2.1.2.1,,Recognize and identify <i>some</i> frequently occurring letters in context,,2020-11-10T08:55:54+00:00
Indicator,1.1.2.1.2.2,,Recognize symbols have meaning,,2020-11-10T08:55:54+00:00
Age Range,1.1.2.1.3,,Younger Preschool,,2020-11-10T08:55:54+00:00
Indicator,1.1.2.1.3.1,,Recognize and identify <i>some</i> uppercase and a <i>few</i> lowercase letters,,2020-11-10T08:55:54+00:00
Age Range,1.1.2.1.4,,Older Preschool,,2020-11-10T08:55:54+00:00
Indicator,1.1.2.1.4.1,,Recognize and identify <i>most</i> uppercase and <i>some</i> lowercase letters,,2020-11-10T08:55:54+00:00
Indicator,1.1.2.1.4.2,,Recognize own name in print,,2020-11-10T08:55:54+00:00
Age Range,1.1.2.1.5,,Kindergarten Standard,,2020-11-10T08:55:54+00:00
Indicator,1.1.2.1.5.1,,K.RF.2.4: Identify and name all uppercase (capital) and lowercase letters of the alphabet.,,2020-11-10T08:55:54+00:00
Topic,1.1.2.2,ELA2.2,Demonstrate phonological awareness,,2020-11-10T08:55:54+00:00
Age Range,1.1.2.2.1,,Infant,,2020-11-10T08:55:54+00:00
Indicator,1.1.2.2.1.1,,Orient to sounds in the environment,,2020-11-10T08:55:54+00:00
Indicator,1.1.2.2.1.2,,Discriminate sounds in the environment,,2020-11-10T08:55:54+00:00
Age Range,1.1.2.2.2,,Younger Toddler,,2020-11-10T08:55:54+00:00
Indicator,1.1.2.2.2.1,,Begin to engage in word and sound play with adults,,2020-11-10T08:55:54+00:00
Indicator,1.1.2.2.2.2,,"Distinguish between words that contain similar-sounding phonemes (pig-jig, cat-mat)",,2020-12-07T10:54:28+00:00
Age Range,1.1.2.2.3,,Older Toddler,,2020-11-10T08:55:54+00:00
Indicator,1.1.2.2.3.1,,Begin to engage in word and sound play with adults,,2020-11-10T08:55:54+00:00
Indicator,1.1.2.2.3.2,,"Distinguish between words that contain similar-sounding phonemes (pig-jig, cat-mat)",,2020-12-07T10:54:51+00:00
Age Range,1.1.2.2.4,,Younger Preschool,,2020-11-10T08:55:54+00:00
Indicator,1.1.2.2.4.1,,Demonstrate basic knowledge of letter-sound correspondence,,2020-11-10T08:55:54+00:00
Indicator,1.1.2.2.4.2,,Engage in rhyming games and songs; can complete a familiar rhyme,,2020-11-10T08:55:54+00:00
Indicator,1.1.2.2.4.3,,Identify rhyming words in spoken language,,2020-11-10T08:55:54+00:00
Indicator,1.1.2.2.4.4,,"Orally blend and segment familiar compound words, with modeling and support",,2020-11-10T08:55:54+00:00
Indicator,1.1.2.2.4.5,,Demonstrate awareness of sounds as separate units,,2020-11-10T08:55:54+00:00
Age Range,1.1.2.2.5,,Older Preschool,,2020-11-10T08:55:54+00:00
Indicator,1.1.2.2.5.1,,Demonstrate basic knowledge of letter-sound correspondence,,2020-11-10T08:55:54+00:00
Indicator,1.1.2.2.5.2,,Engage in rhyming games and songs; can complete a familiar rhyme ,,2020-11-10T08:55:54+00:00
Indicator,1.1.2.2.5.3,,Make rhymes to simple words,,2020-11-10T08:55:54+00:00
Indicator,1.1.2.2.5.4,,"Identify, blend, and segment syllables in spoken words with modeling and support",,2020-11-10T08:55:54+00:00
Indicator,1.1.2.2.5.5,,Isolate the initial sound in some words,,2020-11-10T08:55:54+00:00
Age Range,1.1.2.2.6,,Kindergarten Standard,,2020-11-10T08:55:54+00:00
Indicator,1.1.2.2.6.1,,K.RF.3.1: Identify and produce rhyming words.,,2020-11-10T08:55:54+00:00
Indicator,1.1.2.2.6.2,,"K.RF.3.2: Orally pronounce, blend, and segment words into syllables.",,2020-11-10T08:55:54+00:00
Indicator,1.1.2.2.6.3,,K.RF.3.3: Orally blend the onset (the initial sound) and the rime (the vowel and ending sound) in words.,,2020-11-10T08:55:54+00:00
Indicator,1.1.2.2.6.4,,"K.RF.4.5: Identify similarities and differences in words (e.g., word endings, onset and rime) when spoken or written.",,2020-11-10T08:55:54+00:00
Topic,1.1.2.3,ELA2.3,Demonstrate awareness and understanding of concepts of print,,2020-11-10T08:55:54+00:00
Age Range,1.1.2.3.1,,Infant,,2020-11-10T08:55:54+00:00
Indicator,1.1.2.3.1.1,,Look at books ,,2020-11-10T08:55:54+00:00
Indicator,1.1.2.3.1.2,,Respond to songs,,2020-11-10T08:55:54+00:00
Indicator,1.1.2.3.1.3,,"Listen to repetition of familiar words, songs, signs, rhymes, and stories",,2020-11-10T08:55:54+00:00
Age Range,1.1.2.3.2,,Younger Toddler,,2020-11-10T08:55:54+00:00
Indicator,1.1.2.3.2.1,,Bring a book to adult to read,,2020-11-10T08:55:54+00:00
Indicator,1.1.2.3.2.2,,Look at a book independently,,2020-11-10T08:55:54+00:00
Indicator,1.1.2.3.2.3,,Pretend to read familiar books ,,2020-11-10T08:55:54+00:00
Indicator,1.1.2.3.2.4,,Attend to pictures and text for several minutes,,2020-11-10T08:55:54+00:00
Age Range,1.1.2.3.3,,Older Toddler,,2020-11-10T08:55:54+00:00
Indicator,1.1.2.3.3.1,,Recognize familiar books by cover ,,2020-11-10T08:55:54+00:00
Indicator,1.1.2.3.3.2,,"Recite parts of well-known stories, rhymes, and songs",,2020-11-10T08:55:54+00:00
