Item Type,Sequence,Human Code,Full Statement,Ed. Level,Last Modified
Course,1,,Dance,,2021-01-26T13:48:28+00:00
Strand,1.1,DA:Cr,Creating,,2020-10-22T06:12:18+00:00
Cluster,1.1.1,DA:Cr1.1,<b>Explore Standard: </b>Generate and conceptualize artistic ideas and work.<br><b>Enduring Understanding: </b>Choreographers use a variety of sources as inspiration and transform concepts and ideas into movement for artistic expression. <br><b>Essential Question(s): </b>Where do choreographers get ideas for dances?,,2020-10-22T06:12:18+00:00
Grade Level,1.1.1.1,DA:Cr1.1.PK,Pre K,,2020-10-22T06:12:18+00:00
Standard,1.1.1.1.1,DA:Cr1.1.PK.a,"Respond in movement to a variety of sensory stimuli (for example, music/sound, visual, tactile) using different body parts and the whole body.",,2020-10-22T06:12:18+00:00
Standard,1.1.1.1.2,DA:Cr1.1.PK.b,Find a different way to do several basic <b>locomotor</b> and <b>non-locomotor movements</b> while exploring the <b>elements of dance.</b>,,2020-12-10T06:49:05+00:00
Grade Level,1.1.1.2,DA:Cr1.1.K,Kindergarten,,2020-10-22T06:12:18+00:00
Standard,1.1.1.2.1,DA:Cr1.1.K.a,"Respond in movement to a variety of sensory stimuli (for example, music/sound, text, objects, images, symbols, observed dance) using different body parts and the whole body.",,2020-10-22T06:12:18+00:00
Standard,1.1.1.2.2,DA:Cr1.1.K.b,Explore different ways to do basic <b>locomotor</b> and <b>non-locomotor movements</b> by manipulating various <b>elements of dance</b>.,,2020-12-10T06:57:41+00:00
Grade Level,1.1.1.3,DA:Cr1.1.1,Grade 1,,2020-10-22T06:12:18+00:00
Standard,1.1.1.3.1,DA:Cr1.1.1.a,"Explore movement inspired by a variety of stimuli (for example, music/sound, text, objects, images, symbols, observed dance, experiences) using various body parts. Identify the source.",,2020-10-22T06:12:18+00:00
Standard,1.1.1.3.2,DA:Cr1.1.1.b,Explore a variety of <b>locomotor</b> and <b>non-locomotor movements</b> by experimenting with and varying the <b>elements of dance</b>.,,2020-12-10T06:57:28+00:00
Grade Level,1.1.1.4,DA:Cr1.1.2,Grade 2,,2020-10-22T06:12:18+00:00
Standard,1.1.1.4.1,DA:Cr1.1.2.a,"Explore movement inspired by a variety of stimuli (for example, music/sound, text, objects, images, symbols, observed dance, experiences) using various body parts. Suggest additional sources for movement ideas.",,2020-10-22T06:12:18+00:00
Standard,1.1.1.4.2,DA:Cr1.1.2.b,Formulate a variety of <b>movement sequences</b> in small groups while manipulating the <b>elements of dance</b>.,,2020-12-10T06:57:15+00:00
Grade Level,1.1.1.5,DA:Cr1.1.3,Grade 3,,2020-10-22T06:12:18+00:00
Standard,1.1.1.5.1,DA:Cr1.1.3.a,Experiment with a variety of self-identified stimuli for movement.,,2020-10-22T06:12:18+00:00
Standard,1.1.1.5.2,DA:Cr1.1.3.b,Explore a given <b>movement problem</b> in small groups. Select and demonstrate a variety of solutions.,,2020-12-10T06:59:46+00:00
Grade Level,1.1.1.6,DA:Cr1.1.4,Grade 4,,2020-10-22T06:12:18+00:00
Standard,1.1.1.6.1,DA:Cr1.1.4.a,Identify ideas for <b>choreography</b> generated from a <b>variety of stimuli</b>.&nbsp;,,2020-12-10T07:00:21+00:00
Standard,1.1.1.6.2,DA:Cr1.1.4.b,Develop a <b>movement problem</b> and manipulate the <b>elements of dance</b>.,,2020-12-10T07:00:50+00:00
Grade Level,1.1.1.7,DA:Cr1.1.5,Grade 5,,2020-10-22T06:12:18+00:00
Standard,1.1.1.7.1,DA:Cr1.1.5.a,"Build content for <b>choreography</b>, including a storyline, using a <b>variety of stimuli</b>.",,2020-12-10T07:02:06+00:00
Standard,1.1.1.7.2,DA:Cr1.1.5.b,Construct and solve multiple <b>movement problems</b> with multiple solutions and explore different transitions from one to the other to develop choreographic content.,,2020-12-10T07:02:25+00:00
Grade Level,1.1.1.8,DA:Cr1.1.6,Grade 6,,2020-10-22T06:12:18+00:00
Standard,1.1.1.8.1,DA:Cr1.1.6.a,"Develop movement sequences that reflect similar or contrasting ideas generated from a <b>variety of stimuli</b> (for example, music, observed dance, literary forms, notation, natural phenomena, personal experience/recall, current news or social events) and using <b>choreographic principles</b>.",,2020-12-10T07:03:12+00:00
Standard,1.1.1.8.2,DA:Cr1.1.6.b,Explore a movement problem using <b>movement vocabulary</b> from a variety of <b>dance styles</b> and <b>traditions</b> and incorporating the <b>elements of movement</b>.,,2020-12-10T07:04:20+00:00
Grade Level,1.1.1.9,DA:Cr1.1.7,Grade 7,,2020-10-22T06:12:18+00:00
Standard,1.1.1.9.1,DA:Cr1.1.7.a,"Utilize expanded <b>movement vocabulary</b> and skills to choreograph <b>dance sequences</b> that respond to a <b>variety of stimuli</b> (for example, music, observed dance, literary forms, notation, natural phenonmena, personal expereince/recall, current news or social events).",,2020-12-10T07:05:23+00:00
Standard,1.1.1.9.2,DA:Cr1.1.7.b,Develop a solution to a movement problem using a variety of <b>movement</b> <b>vocabularies</b> and choosing <b>artistic elements</b> to utilize in the solution.,,2020-12-10T07:06:12+00:00
Grade Level,1.1.1.10,DA:Cr1.1.8,Grade 8,,2020-10-22T06:12:18+00:00
Standard,1.1.1.10.1,DA:Cr1.1.8.a,"Develop choreographed dances and <b>dance studies</b> in response to a <b>variety of stimuli</b> (for example, music, observed dance, literary forms, notation, natural phenomena, personal experience/recall, current news or social events) that communicate ideas, stories, and feelings reflecting various cultures and historical periods.",,2020-12-10T08:54:14+00:00
Standard,1.1.1.10.2,DA:Cr1.1.8.b,"Create an original dance study or dance utilizing the <b>elements of movement</b>, <b>artistic elements</b>, and a variety of <b>movement vocabularies</b> to clearly communicate ideas, stories, or feelings.",,2020-12-10T08:54:58+00:00
Grade Level,1.1.1.11,DA:Cr1.1.I,HS Proficient ,,2020-10-22T06:12:18+00:00
Standard,1.1.1.11.1,DA:Cr1.1.I.a,"Explore a variety of stimuli for understanding and demonstrating choreographic principles, structures, and processes. Analyze the process and the relationship between the stimuli and choreographed dances.",,2020-10-22T06:12:18+00:00
Standard,1.1.1.11.2,DA:Cr1.1.I.b,Experiment with the elements of dance and use choreographic principles to explore personal movement preferences and strengths. Select movements that challenge skills and build on strengths in an original dance study or dance.,,2020-10-22T06:12:18+00:00
Grade Level,1.1.1.12,DA:Cr1.1.II,HS Accomplished,,2020-10-22T06:12:18+00:00
Standard,1.1.1.12.1,DA:Cr1.1.II.a,Synthesize content generated from a variety of stimuli to choreograph dance studies or dances using original or traditional dance styles.,,2020-10-22T06:12:18+00:00
Standard,1.1.1.12.2,DA:Cr1.1.II.b,Apply personal movement preferences and strengths with the movement vocabulary of several dance styles or genres to choreograph an original dance study or dance. Communicate an artistic intent and use choreographic processes. Compare personal choices to those made by well-known choreographers.,,2020-10-22T06:12:18+00:00
Grade Level,1.1.1.13,DA:Cr1.1.III,HS Advanced ,,2020-10-22T06:12:18+00:00
Standard,1.1.1.13.1,DA:Cr1.1.III.a,"Synthesize content generated from a variety of stimuli. Experiment and take risks to discover a personal voice to create. present, and explain artistic intent.",,2020-10-22T06:12:18+00:00
Standard,1.1.1.13.2,DA:Cr1.1.III.b,Expand personal movement preferences and strengths to discover unexpected solutions that communicate the artistic intent of an original dance using choreographic structures or forms. Analyze and define the movement content in a dance.,,2020-10-22T06:12:18+00:00
Cluster,1.1.2,DA:Cr2.1,"<b>Plan Standard: </b>Organize and develop artistic ideas and work. <br><b>Enduring Understanding: </b>The elements of dance, dance structures, and choreographic devices serve as both a foundation and a departure point for choreographers. <br><b>Essential Question(s): </b>What influences choice-making in creating choreography?",,2020-10-22T06:12:18+00:00
Grade Level,1.1.2.1,DA:Cr2.1.PK ,Pre K,,2020-10-22T06:12:18+00:00
Standard,1.1.2.1.1,DA:Cr2.1.PK.a,"Improvise a dance sequence that has a beginning, middle and end.",,2020-10-22T06:12:18+00:00
Standard,1.1.2.1.2,DA:Cr2.1.PK.b,"Engage in dance experiences moving alone, with a partner, and in small groups.",,2020-10-22T06:12:18+00:00
Grade Level,1.1.2.2,DA:Cr2.1.K,Kindergarten,,2020-10-22T06:12:18+00:00
Standard,1.1.2.2.1,DA:Cr2.1.K.a,"Understand and demonstrate that dances have a beginning, middle, and end.",,2020-10-22T06:12:18+00:00
Standard,1.1.2.2.2,DA:Cr2.1.K.b,"Express an idea, feeling, or image, through <b>improvised </b>and <b>learned movement</b> moving alone, with a partner, and in groups.",,2020-12-10T09:23:49+00:00
Grade Level,1.1.2.3,DA:Cr2.1.1,Grade 1,,2020-10-22T06:12:18+00:00
Standard,1.1.2.3.1,DA:Cr2.1.1.a,"<b>Improvise</b> a series of <b>dance sequences</b> that have a beginning, middle, and end, and describe movement choices.",,2020-12-10T09:24:26+00:00
Standard,1.1.2.3.2,DA:Cr2.1.1.b,"Choose movements that express feelings within an idea, emotion, musical phrase, or story moving alone, with a partner, and in groups.",,2020-10-22T06:12:18+00:00
Grade Level,1.1.2.4,DA:Cr2.1.2,Grade 2,,2020-10-22T06:12:18+00:00
Standard,1.1.2.4.1,DA:Cr2.1.2.a,"Demonstrate a <b>dance phrase</b> with a beginning, a middle that has a main idea, and a clear end.",,2020-12-10T09:25:02+00:00
Standard,1.1.2.4.2,DA:Cr2.1.2.b,"Choose movements that express feelings within a main idea, emotion, musical phrase, or story alone and with others. Explain reasons for movement choices.",,2020-10-22T06:12:18+00:00
Grade Level,1.1.2.5,DA:Cr2.1.3,Grade 3,,2020-10-22T06:12:18+00:00
Standard,1.1.2.5.1,DA:Cr2.1.3.a,Identify and explore different <b>Choreographic devices</b> to create simple movement patterns and <b>dance structures</b>.,,2020-12-10T09:25:41+00:00
Standard,1.1.2.5.2,DA:Cr2.1.3.b,"Develop a dance phrase that identifies and expresses an idea, story or feeling. Discuss the effect of the movement choices.",,2020-10-22T06:12:18+00:00
Grade Level,1.1.2.6,DA:Cr2.1.4,Grade 4,,2020-10-22T06:12:18+00:00
Standard,1.1.2.6.1,DA:Cr2.1.4.a,Manipulate or modify <b>choreographic devices</b> to expand movement possibilities and create a variety of movement patterns and structures. Discuss movement choices.,,2020-12-10T09:27:36+00:00
Standard,1.1.2.6.2,DA:Cr2.1.4.b,Develop a dance study that expresses and communicates a main idea or emotion. Discuss the reasons for and effectiveness of the movement choices.,,2020-10-22T06:12:18+00:00
Grade Level,1.1.2.7,DA:Cr2.1.5,Grade 5,,2020-10-22T06:12:18+00:00
Standard,1.1.2.7.1,DA:Cr2.1.5.a,"Manipulate or modify a variety of <b>choreographic devices</b> to expand choreographic possibilities and develop a main idea. Explore how to recreate human emotion, movement and storyline using different choreographic devices.",,2020-12-10T09:28:09+00:00
Standard,1.1.2.7.2,DA:Cr2.1.5.b,Develop a dance study by exploring theatrical elements and everyday movements and gestures to communicate a main idea. Discuss how the dance communicates non- verbally.,,2020-10-22T06:12:18+00:00
Grade Level,1.1.2.8,DA:Cr2.1.6,Grade 6,,2020-10-22T06:12:18+00:00
Standard,1.1.2.8.1,DA:Cr2.1.6.a,Create movement patterns and solve <b>movement problems</b> using <b>choreographic structures</b> from a variety of cultures and dance <b>styles</b> and <b>forms</b>.,,2020-12-10T09:29:15+00:00
Standard,1.1.2.8.2,DA:Cr2.1.6.b,Expand movement patterns and solutions to movement problems by manipulating <b>theatrical elements</b>. Discuss the effects of these elements on communicating to others.,,2020-12-10T09:29:45+00:00
Grade Level,1.1.2.9,DA:Cr2.1.7 ,Grade 7,,2020-10-22T06:12:18+00:00
