Item Type,Sequence,Human Code,Full Statement,Ed. Level,Last Modified
Framework,1,,Early Learning Foundations Framework,,2021-06-28T15:45:28+00:00
Content Area,1.1,,Social-Emotional,,2021-06-28T15:45:28+00:00
Foundation,1.1.1,SE1,"<b>Sense of Self: </b>Early learners develop foundational skills that support self-awareness, confidence, and the identification and expression of emotions.",,2021-06-28T15:45:28+00:00
Topic,1.1.1.1,SE1.1,Demonstrate self awareness and confidence ,,2021-06-28T15:45:28+00:00
Age Range,1.1.1.1.1,,Infant,,2021-06-28T15:45:28+00:00
Indicator,1.1.1.1.1.1,,Respond to own name,,2021-06-28T15:45:28+00:00
Indicator,1.1.1.1.1.2,,Show interest in environmental choices,,2021-06-28T15:45:28+00:00
Indicator,1.1.1.1.1.3,,"Communicate to indicate physical and emotional needs,&nbsp;<span id=""docs-internal-guid-214b23ce-7fff-e190-160d-32c498d53b5e""><span style=""font-variant-numeric: normal; font-variant-east-asian: normal; vertical-align: baseline;"">and look to a caregiver to meet those needs</span></span>",,2021-06-28T15:45:28+00:00
Age Range,1.1.1.1.2,,Younger Toddler ,,2021-06-28T15:45:28+00:00
Indicator,1.1.1.1.2.1,,Identify image of self,,2021-06-28T15:45:28+00:00
Indicator,1.1.1.1.2.2,,Say own name,,2021-06-28T15:45:28+00:00
Indicator,1.1.1.1.2.3,,Show knowledge of own abilities,,2021-06-28T15:45:28+00:00
Age Range,1.1.1.1.3,,Older Toddler,,2021-06-28T15:45:28+00:00
Indicator,1.1.1.1.3.1,,Use gestures and actions to reference self in conversation,,2021-06-28T15:45:28+00:00
Indicator,1.1.1.1.3.2,,Demonstrate use of personal pronouns,,2021-06-28T15:45:28+00:00
Indicator,1.1.1.1.3.3,,Show sense of self satisfaction with own abilities and preferences,,2021-06-28T15:45:28+00:00
Indicator,1.1.1.1.3.4,,Begin to show independence by occasionally resisting adult control,,2021-06-28T15:45:28+00:00
Age Range,1.1.1.1.4,,Younger Preschool,,2021-06-28T15:45:28+00:00
Indicator,1.1.1.1.4.1,,Recognize self as a unique individual,,2021-06-28T15:45:28+00:00
Indicator,1.1.1.1.4.2,,Describe personal characteristics ,,2021-06-28T15:45:28+00:00
Indicator,1.1.1.1.4.3,,"Show sense of self satisfaction with own abilities, preferences, and accomplishments",,2021-06-28T15:45:28+00:00
Age Range,1.1.1.1.5,,Older Preschool,,2021-06-28T15:45:28+00:00
Indicator,1.1.1.1.5.1,,Identify self as a unique member of a group that fits into a larger world picture,,2021-06-28T15:45:28+00:00
Indicator,1.1.1.1.5.2,,"Show confidence in a range of abilities and recognizing own strengths, as well as&nbsp;the capacity to take on and accomplish new tasks",,2021-06-28T15:45:28+00:00
Indicator,1.1.1.1.5.3,,Show independence in own choices ,,2021-06-28T15:45:28+00:00
Age Range,1.1.1.1.6,,PK-2 SEL Compentency,,2021-06-28T15:45:28+00:00
Indicator,1.1.1.1.6.1,,"2B. Student recognizes personal strengths.
“I am aware of my strengths.”",,2021-06-28T15:45:28+00:00
Indicator,1.1.1.1.6.2,,"2C. Student demonstrates self-efficacy.
“I am capable of learning.”&nbsp;",,2021-06-28T15:45:28+00:00
Indicator,1.1.1.1.6.3,,"6B. Student understands the decision
making process.
“I know my choices and decisions have
consequences. I think about how my choices
and decisions will impact myself and others.”",,2021-06-28T15:45:28+00:00
Topic,1.1.1.2,SE1.2,Demonstrate identification and expression of emotions (SKB),,2021-06-28T15:45:28+00:00
Age Range,1.1.1.2.1,,Infant,,2021-06-28T15:45:28+00:00
Indicator,1.1.1.2.1.1,,Communicate to express pleasure or displeasure ,,2021-06-28T15:45:28+00:00
Indicator,1.1.1.2.1.2,,Use cues to signal overstimulation ,,2021-06-28T15:45:28+00:00
Indicator,1.1.1.2.1.3,,Respond positively to adults who provide comfort,,2021-06-28T15:45:28+00:00
Indicator,1.1.1.2.1.4,,Use sounds and body to express feelings ,,2021-06-28T15:45:28+00:00
Indicator,1.1.1.2.1.5,,"<span id=""docs-internal-guid-a5819e90-7fff-f412-371e-a57df468e7e0""><span style=""font-variant-numeric: normal; font-variant-east-asian: normal; vertical-align: baseline;"">Look to adult to help ease displeasure once communicated</span></span>",,2021-06-28T15:45:28+00:00
Age Range,1.1.1.2.2,,Younger Toddler,,2021-06-28T15:45:28+00:00
Indicator,1.1.1.2.2.1,,Communicate feelings and emotions,,2021-06-28T15:45:28+00:00
Indicator,1.1.1.2.2.2,,Express emotion toward a familiar person,,2021-06-28T15:45:28+00:00
Indicator,1.1.1.2.2.3,,Imitate comforting behaviors of caregivers,,2021-06-28T15:45:28+00:00
Indicator,1.1.1.2.2.4,,"Use sounds, gestures, and actions to express feelings",,2021-06-28T15:45:28+00:00
Indicator,1.1.1.2.2.5,,"<span id=""docs-internal-guid-82aa0c82-7fff-f704-6128-bb8c954a75f3""><span style=""font-variant-numeric: normal; font-variant-east-asian: normal; vertical-align: baseline;"">Look to adults for comfort when needed and&nbsp; communicated</span></span>",,2021-06-28T15:45:28+00:00
Age Range,1.1.1.2.3,,Older Toddler,,2021-06-28T15:45:28+00:00
Indicator,1.1.1.2.3.1,,Express both positive and negative feelings about participating in activities,,2021-06-28T15:45:28+00:00
Indicator,1.1.1.2.3.2,,Observe a peer’s emotion and approach a familiar adult to communicate concern,,2021-06-28T15:45:28+00:00
Indicator,1.1.1.2.3.3,,Demonstrate empathy to another child,,2021-06-28T15:45:28+00:00
Indicator,1.1.1.2.3.4,,Begin to use words to express feelings,,2021-06-28T15:45:28+00:00
Age Range,1.1.1.2.4,,Younger Preschool,,2021-06-28T15:45:28+00:00
Indicator,1.1.1.2.4.1,,Recognize own emotions and the emotions of others,,2021-06-28T15:45:28+00:00
Indicator,1.1.1.2.4.2,,Look to adults for emotional support and guidance,,2021-06-28T15:45:28+00:00
Indicator,1.1.1.2.4.3,,"Use a combination of words, phrases, and actions to express feelings ",,2021-06-28T15:45:28+00:00
Age Range,1.1.1.2.5,,Older Preschool,,2021-06-28T15:45:28+00:00
Indicator,1.1.1.2.5.1,,Identify own emotions and the emotions of others,,2021-06-28T15:45:28+00:00
Indicator,1.1.1.2.5.2,,Express and accurately respond to emotions of self and others,,2021-06-28T15:45:28+00:00
Indicator,1.1.1.2.5.3,,Predict reactions from others,,2021-06-28T15:45:28+00:00
