Item Type,Sequence,Human Code,Full Statement,Ed. Level,Last Modified
Grade Level,1,,Kindergarten,KG,2020-10-07T13:47:50+00:00
Strand,1.1,,Reading: Foundations,KG,2020-10-07T13:47:50+00:00
Learning Outcome,1.1.1,RF.1,Learning Outcome for Reading Foundations,KG,2020-10-07T13:47:50+00:00
Standard,1.1.1.1,K.RF.1,"Understand and apply knowledge of print concepts, phonics, phonemic awareness, vocabulary, and fluency and comprehension as a foundation for developing reading skills.",KG,2020-10-07T13:47:50+00:00
Cluster,1.1.2,RF.2,Print Concepts,KG,2020-10-07T13:47:50+00:00
Standard,1.1.2.1,K.RF.2.1,Demonstrate understanding that print moves from left to right across the page and from top to bottom.,KG,2020-10-07T13:47:50+00:00
Standard,1.1.2.2,K.RF.2.2,Recognize that written words are made up of sequences of letters.,KG,2020-10-07T13:47:50+00:00
Standard,1.1.2.3,K.RF.2.3,Recognize that words are combined to form sentences.,KG,2020-10-07T13:47:50+00:00
Standard,1.1.2.4,K.RF.2.4,Identify and name all uppercase (capital) and lowercase letters of the alphabet.,KG,2020-10-07T13:47:50+00:00
Cluster,1.1.3,RF.3,Phonological Awareness,KG,2020-10-07T13:47:50+00:00
Standard,1.1.3.1,K.RF.3.1,Identify and produce rhyming words.,KG,2020-10-07T13:47:50+00:00
Standard,1.1.3.2,K.RF.3.2,"Orally pronounce, blend, and segment words into syllables.",KG,2020-10-07T13:47:50+00:00
Standard,1.1.3.3,K.RF.3.3,Orally blend the onset (the initial sound) and the rime (the vowel and ending sound) in words.,KG,2020-10-07T13:47:50+00:00
Standard,1.1.3.4,K.RF.3.4,"Tell the order of sounds heard in words with two or three phonemes, and identify the beginning, middle (medial) and final sounds.",KG,2020-10-07T13:47:50+00:00
Standard,1.1.3.5,K.RF.3.5,"Add, delete, or substitute sounds to change one-syllable words.",KG,2020-10-07T13:47:50+00:00
Cluster,1.1.4,RF.4,Phonics,KG,2020-10-07T13:47:50+00:00
Standard,1.1.4.1,K.RF.4.1,"Use letter-sound knowledge to decode the sound of each consonant (e.g., dog = /d/ /g/; soap = /s/ /p/).",KG,2020-10-07T13:47:50+00:00
Standard,1.1.4.2,K.RF.4.2,Blend consonant-vowel-consonant (CVC) sounds to make words.,KG,2020-10-07T13:47:50+00:00
Standard,1.1.4.3,K.RF.4.3,Recognize the long and short sounds for the five major vowels.,KG,2020-10-07T13:47:50+00:00
Standard,1.1.4.4,K.RF.4.4,"Read common high-frequency words by sight (e.g., a, my).",KG,2020-10-07T13:47:50+00:00
Standard,1.1.4.5,K.RF.4.5,"Identify similarities and differences in words (e.g., word endings, onset and rime) when spoken or written. <br>",KG,2020-11-17T07:17:46+00:00
Placeholder,1.1.4.6,K.RF.4.6,"<i>Standard begins at first grade.</i><div><i>1.RF.4.6 Read grade appropriate root words and affixes including plurals, verb tense, comparatives (e.g., look, -ed,
-ing, -s, -er, - est), and simple compound words (e.g., cupcake) and contractions (e.g., isn’t).</i></div>",,2021-06-17T23:11:27+00:00
Cluster,1.1.5,RF.5,Fluency,KG,2020-10-07T13:47:50+00:00
Standard,1.1.5.1,K.RF.5,"Orally read emergent-reader texts, maintaining an appropriate pace and using self-correcting strategies while reading.",KG,2020-10-07T13:47:50+00:00
Strand,1.2,,Reading: Literature,KG,2020-10-07T13:47:50+00:00
Learning Outcome,1.2.1,RL.1,Learning Outcome for Reading Literature,KG,2020-10-07T13:47:50+00:00
Standard,1.2.1.1,K.RL.1,Actively engage in group reading activities with purpose and understanding.,KG,2020-10-07T13:47:50+00:00
Cluster,1.2.2,RL.2,Key Ideas and Textual Support,KG,2020-10-07T13:47:50+00:00
Standard,1.2.2.1,K.RL.2.1,"With support, ask and answer questions about main topics and key details in a text heard or read.<br>",KG,2020-11-11T13:17:35+00:00
Standard,1.2.2.2,K.RL.2.2,"With support, retell familiar stories, poems, and nursery rhymes, including key details.<br>",KG,2020-11-11T13:18:32+00:00
Standard,1.2.2.3,K.RL.2.3,"Identify important elements of the text (e.g., characters, settings, or events).",KG,2020-10-07T13:47:50+00:00
Standard,1.2.2.4,K.RL.2.4,Make predictions about what will happen in a story.,KG,2020-10-07T13:47:50+00:00
Cluster,1.2.3,RL.3,Structural Elements and Organization,KG,2020-10-07T13:47:50+00:00
Standard,1.2.3.1,K.RL.3.1,"Recognize familiar narrative text genres (e.g., fairy tales, nursery rhymes, storybooks).",KG,2020-10-07T13:47:50+00:00
Standard,1.2.3.2,K.RL.3.2,"With support, define the role of the author and illustrator of a story in telling the story.<br>",KG,2020-11-11T13:18:50+00:00
Cluster,1.2.4,RL.4,Connection of Ideas,KG,2021-05-06T22:48:30+00:00
Standard,1.2.4.1,K.RL.4.1,"With support, describe the relationship between illustrations and the story in which they appear.<br>",KG,2020-11-11T13:19:36+00:00
Standard,1.2.4.2,K.RL.4.2,"With support, compare and contrast the adventures and experiences of characters in familiar stories.<br>",KG,2020-11-11T13:20:53+00:00
Strand,1.3,,Reading: Nonfiction,KG,2020-10-07T13:47:50+00:00
Learning Outcome,1.3.1,RN.1,Learning Outcome for Reading Nonfiction,KG,2020-10-07T13:47:50+00:00
Standard,1.3.1.1,K.RN.1,Actively engage in group reading activities with purpose and understanding.,KG,2020-10-07T13:47:50+00:00
Cluster,1.3.2,RN.2,Key Ideas and Textual Support,KG,2020-10-07T13:47:50+00:00
Standard,1.3.2.1,K.RN.2.1,"With support, ask and answer questions about important elements of a text (e.g., events, topics, concepts).",KG,2021-05-06T23:05:02+00:00
Standard,1.3.2.2,K.RN.2.2,"With support, retell the main idea and key details of a text.<br>",KG,2020-11-11T13:22:40+00:00
Standard,1.3.2.3,K.RN.2.3,"With support, describe the connection between two individuals, events, ideas, or pieces of information in a text.<br>",KG,2020-11-11T13:22:51+00:00
Cluster,1.3.3,RN.3,Structural Elements and Organization,KG,2020-10-07T13:47:50+00:00
Standard,1.3.3.1,K.RN.3.1,"Identify text features of a nonfiction text (e.g., title, author, illustrations) and describe the relationship between those features and the text in which they appear.",KG,2020-10-07T13:47:50+00:00
Standard,1.3.3.2,K.RN.3.2,Recognize that a nonfiction text can be structured to describe a topic.<br>,KG,2020-12-03T13:16:43+00:00
Placeholder,1.3.3.3,K.RN.3.3,"<i>Standard begins at second grade.</i><div><i>2.RN.3.3 Identify what the author wants to answer, explain, or describe in the text.</i></div>",,2021-06-17T22:20:54+00:00
Cluster,1.3.4,RN.4,Connections of Ideas,KG,2021-05-06T23:06:09+00:00
Standard,1.3.4.1,K.RN.4.1,"With support, identify the reasons an author gives to support points in a text.<br>",KG,2020-11-11T13:23:31+00:00
Standard,1.3.4.2,K.RN.4.2,"With support, identify basic similarities in and differences between two texts on the same topic. <br>",KG,2020-12-01T06:49:22+00:00
Placeholder,1.3.4.3,K.RN.4.3,<i>Standard begins at sixth grade&nbsp;</i><div><i>6.RN.4.3 Compare and contrast one author’s presentation of events with that of another.</i></div>,,2021-06-17T22:21:12+00:00
Strand,1.4,,Reading: Vocabulary,KG,2020-10-07T13:47:50+00:00
Learning Outcome,1.4.1,RV.1,Learning Outcome for Reading Vocabulary,KG,2020-10-07T13:47:50+00:00
Standard,1.4.1.1,K.RV.1,"Use words, phrases, and strategies acquired through conversations, reading and being read to, and responding to literature and nonfiction texts to build and apply vocabulary.",KG,2020-10-07T13:47:50+00:00
Cluster,1.4.2,RV.2,Vocabulary Building,KG,2020-10-07T13:47:50+00:00
Placeholder,1.4.2.1,K.RV.2.1,"<i>Standard begins at first grade.</i><div><i>1.RV.2.1 Demonstrate understanding that context clues (e.g., words and sentence clues) and text features (e.g.,
glossaries, illustrations) may be used to help understand unknown words.</i><br></div>",KG,2021-06-17T22:21:33+00:00
Standard,1.4.2.2,K.RV.2.2,"Identify and sort pictures of objects into categories (e.g., colors, shapes, opposites)<br>",KG,2020-11-17T07:23:15+00:00
Placeholder,1.4.2.3,K.RV.2.3,<i>Standard begins at sixth grade.</i><div><i>6.RV.2.3 Distinguish among the connotations of words with similar denotations.</i><br></div>,,2021-06-17T22:21:51+00:00
Standard,1.4.2.4,K.RV.2.4,"Recognize frequently occurring inflections (e.g., look, looks).",,2020-11-17T07:25:02+00:00
Placeholder,1.4.2.5,K.RV.2.5,"<i>Standard begins at second grade.</i><div><i>2.RV.2.5 Consult reference materials, both print and digital (e.g., dictionary), to determine or clarify the meanings of
words and phrases.</i></div>",,2021-06-17T22:22:35+00:00
Cluster,1.4.3,RV.3,Vocabulary in Literature and Nonfiction Texts,KG,2020-10-07T13:47:50+00:00
Standard,1.4.3.1,K.RV.3.1,"With support, ask and answer questions about unknown words in stories, poems, or songs.",KG,2020-10-07T13:47:50+00:00
