Item Type,Sequence,Human Code,Full Statement,Ed. Level,Last Modified
Course,1,,Academic Standards for Health & Wellness 2017: Grades PK - 12,,2020-10-08T12:48:13+00:00
Standard,1.1,1,"<b>Standard 1: </b>Students will comprehend concepts related to health promotion and disease prevention to enhance health.<br><br><i><b>Rationale: </b>The acquisition of basic health concepts and functional health knowledge provides a foundation for the promotion of health-enhancing behaviors and risk reduction among youth. This standard focuses on essential concepts that are based on established health behavior theories and models. Students apply knowledge of personal responsibility for health promotion and/or risk reduction. Students also describe the interrelationships of emotional, physical, social, and intellectual health and how they can be impacted by their surroundings.</i>",,2020-10-08T12:50:05+00:00
Grade Level,1.1.1,2.1,PreK-2,,2020-10-08T12:51:00+00:00
Indicator,1.1.1.1,2.1.1,Identify that healthy behaviors affect personal health. ,,2020-10-08T12:56:08+00:00
Indicator,1.1.1.2,2.1.2,"Recognize that there are multiple dimensions of health. (emotional, intellectual, physical, and social health).",,2020-10-08T12:57:07+00:00
Indicator,1.1.1.3,2.1.3,Describe ways to prevent communicable diseases. ,,2020-10-08T12:56:21+00:00
Indicator,1.1.1.4,2.1.4,List ways to prevent common childhood injuries.,,2020-10-19T09:18:25+00:00
Indicator,1.1.1.5,2.1.5,Describe why it is important to have regular medical checkups. ,,2020-10-19T09:24:12+00:00
Grade Level,1.1.2,5.1,Grades 3-5,,2020-10-08T12:51:13+00:00
Indicator,1.1.2.1,5.1.1,Describe the relationship between healthy behaviors and personal health. ,,2020-10-19T09:28:14+00:00
Indicator,1.1.2.2,5.1.2,"Identify examples of emotional, intellectual, physical, and social health. ",,2020-10-19T09:28:33+00:00
Indicator,1.1.2.3,5.1.3,Explain ways in which school and community environments can promote personal health. ,,2020-10-19T09:29:00+00:00
Indicator,1.1.2.4,5.1.4,Describe ways to prevent common childhood injuries and health problems. ,,2020-10-19T09:29:04+00:00
Indicator,1.1.2.5,5.1.5,Recognize when it is important to seek health care. ,,2020-10-19T09:29:10+00:00
Grade Level,1.1.3,8.1,Grades 6-8,,2020-10-08T12:51:20+00:00
Indicator,1.1.3.1,8.1.1,Analyze the relationship between healthy behaviors and personal health. ,,2020-10-19T09:29:20+00:00
Indicator,1.1.3.2,8.1.2,"Describe the interrelationships of emotional, intellectual, physical, and social health in adolescence.",,2020-10-08T12:58:02+00:00
Indicator,1.1.3.3,8.1.3,Analyze how the environment impacts personal health.,,2020-10-08T12:58:08+00:00
Indicator,1.1.3.4,8.1.4,Describe ways to reduce or prevent adolescent health problems and injuries.,,2020-10-08T12:58:15+00:00
Indicator,1.1.3.5,8.1.5,Explain how appropriate health care can promote personal health.,,2020-10-08T12:58:23+00:00
Indicator,1.1.3.6,8.1.6,Describe how family history can impact personal health.,,2020-10-08T12:58:30+00:00
Indicator,1.1.3.7,8.1.7,Describe the benefits of and barriers to practicing a variety of healthy behaviors.,,2020-10-08T12:58:37+00:00
Indicator,1.1.3.8,8.1.8,Examine the severity of injury and/or illness if engaging in unhealthy behaviors. ,,2020-10-19T09:29:58+00:00
Grade Level,1.1.4,12.1,Grades 9-12,,2020-10-08T12:51:28+00:00
Indicator,1.1.4.1,12.1.1,Predict how healthy behaviors can impact personal health.,,2020-10-08T12:59:18+00:00
Indicator,1.1.4.2,12.1.2,"Cite evidence that demonstrates the interrelationships of emotional, intellectual, physical, and social health across the lifespan.",,2020-10-08T12:59:22+00:00
Indicator,1.1.4.3,12.1.3,Analyze how environment and personal health are interrelated.,,2020-10-08T12:59:36+00:00
Indicator,1.1.4.4,12.1.4,Propose ways to reduce or prevent injuries and health problems. ,,2020-10-19T09:31:07+00:00
Indicator,1.1.4.5,12.1.5,Analyze the relationship between access to health care and personal health.,,2020-10-08T12:59:52+00:00
Indicator,1.1.4.6,12.1.6,Analyze how genetics and family history can affect personal health.,,2020-10-08T12:59:58+00:00
Indicator,1.1.4.7,12.1.7,Compare and contrast the benefits of and barriers to practicing a variety of healthy behaviors.,,2020-10-08T13:00:05+00:00
Indicator,1.1.4.8,12.1.8,Analyze the severity of injury and/or illness if engaging in unhealthy behaviors.,,2020-10-08T13:00:12+00:00
Indicator,1.1.4.9,12.1.9,"Analyze personal susceptibility to injury, illness or death if engaging in unhealthy behaviors.",,2020-10-08T13:00:21+00:00
Standard,1.2,2,"<b>Standard 2: </b>Students will analyze the influence of family, peers, culture, media, technology and other factors on health behaviors.<br><br><i><b>Rationale: </b>Health is impacted by a variety of influences within society. This standard focuses on identifying and understanding the diverse internal and external factors that can positively and/or negatively influence health practices and behaviors among youth. Students examine how the family, peers, culture, media, technology, and policies and regulations influence personal, family, and community health. Students analyze how personal values, beliefs, and perceived norms influence health.</i>",,2020-10-08T12:52:15+00:00
Grade Level,1.2.1,2.2,PreK-2,,2020-10-08T13:01:01+00:00
