Item Type,Sequence,Human Code,Full Statement,Ed. Level,Last Modified
Grade-Level Expectation,,8.W.2.A.a,"Narrative: Develop narratives including poems about real or imagined experiences which establish and maintain a consistent point of view and include clearly identified characters, well-structured event sequences, narrative techniques, and relevant descriptive details.",08,2023-11-19T00:00:00+00:00
Grade-Level Expectation,,8.W.2.A.b,"Expository: Develop informative/explanatory writing to examine a topic with relevant facts, examples, and details; establish relationships between ideas and supporting evidence.",08,2023-11-19T00:00:00+00:00
Grade-Level Expectation,,8.W.2.A.c,"Argumentative: Develop argumentative writing by introducing and supporting a claim with clear reasons and relevant evidence; acknowledging counterclaims; and establishing relationships among claims, counterclaims, and supporting evidence.",08,2023-11-19T00:00:00+00:00
Grade Level,1,,Kindergarten,KG,2023-11-19T00:00:00+00:00
Strand,1.1,,Reading,KG,2023-11-19T00:00:00+00:00
Big Idea,1.1.1,,Develop and apply skills to the reading process.,KG,2023-11-19T00:00:00+00:00
Concept,1.1.1.1,R.1.A,Comprehension,KG,2023-11-19T00:00:00+00:00
Grade-Level Expectation,1.1.1.1.1,K.R.1.A,"With assistance, develop and demonstrate reading skills in response to read-alouds by:",KG,2023-11-19T00:00:00+00:00
Grade-Level Expectation,1.1.1.1.1.1,K.R.1.A.a,"predicting what might happen next in a text based on the cover, title, and illustrations",KG,2023-11-19T00:00:00+00:00
Grade-Level Expectation,1.1.1.1.1.2,K.R.1.A.b,asking and responding to questions about texts read aloud,KG,2023-11-19T00:00:00+00:00
Grade-Level Expectation,1.1.1.1.1.3,K.R.1.A.c,retelling main ideas or important facts from a read aloud or familiar story,KG,2023-11-19T00:00:00+00:00
Grade-Level Expectation,1.1.1.1.1.4,K.R.1.A.d,connecting the information and events of a text to experiences,KG,2023-11-19T00:00:00+00:00
Grade-Level Expectation,1.1.1.1.1.5,K.R.1.A.e,"recognizing beginning, middle, and end",KG,2023-11-19T00:00:00+00:00
Concept,1.1.1.2,R.1.B,Vocabulary,KG,2023-11-19T00:00:00+00:00
Grade-Level Expectation,1.1.1.2.1,K.R.1.B,"With assistance, develop an understanding of vocabulary by:",KG,2023-11-19T00:00:00+00:00
Grade-Level Expectation,1.1.1.2.1.1,K.R.1.B.a,identifying and sorting pictures of objects into conceptual categories,KG,2023-11-19T00:00:00+00:00
Grade-Level Expectation,1.1.1.2.1.2,K.R.1.B.b,demonstrating understanding of opposites (antonyms),KG,2023-11-19T00:00:00+00:00
Grade-Level Expectation,1.1.1.2.1.3,K.R.1.B.c,distinguishing meaning between verbs describing the same action,KG,2023-11-19T00:00:00+00:00
