Item Type,Sequence,Human Code,Full Statement,Ed. Level,Last Modified
Standard Category,1,6.1,Economic Systems,KG-12,2023-11-19T00:00:00+00:00
Grade,1.1,6.1.3,Grade 3,03,2023-11-19T00:00:00+00:00
Standard,1.1.1,6.1.3.A,"Describe how individuals, families and communities with limited resources make choices.",03,2023-11-19T00:00:00+00:00
Standard,1.1.2,6.1.3.B,Describe alternative methods of allocating goods and services and advantages and disadvantages of each.,03,2023-11-19T00:00:00+00:00
Standard,1.1.3,6.1.3.C,Identify local economic activities.,03,2023-11-19T00:00:00+00:00
Standard,1.1.4,6.1.3.D,"Identify examples of local businesses opening, closing, expanding or contracting.",03,2023-11-19T00:00:00+00:00
Grade,1.2,6.1.6,Grade 6,06,2023-11-19T00:00:00+00:00
Standard,1.2.1,6.1.6.A,"Describe and identify the characteristics of traditional, command and market systems.",06,2023-11-19T00:00:00+00:00
Standard,1.2.2,6.1.6.B,Explain the three basic questions that all economic systems attempt to answer.,06,2023-11-19T00:00:00+00:00
Standard,1.2.3,6.1.6.C,Define measures of economic activity and relate them to the health of the economy.,06,2023-11-19T00:00:00+00:00
Standard,1.2.4,6.1.6.D,"Explain the importance of expansion and contraction on individual businesses (e.g., gourmet food shops, auto repair shops, ski resorts).",06,2023-11-19T00:00:00+00:00
Grade,1.3,6.1.9,Grade 9,09,2023-11-19T00:00:00+00:00
Standard,1.3.1,6.1.9.A,Analyze the similarities and differences in economic systems.,09,2023-11-19T00:00:00+00:00
Standard,1.3.2,6.1.9.B,"Explain how traditional, command and market economies answer the basic economic questions.",09,2023-11-19T00:00:00+00:00
Standard,1.3.3,6.1.9.C,Explain how economic indicators reflect changes in the economy.,09,2023-11-19T00:00:00+00:00
Standard,1.3.4,6.1.9.D,"Describe historical examples of expansion, recession and depression in the United States.",09,2023-11-19T00:00:00+00:00
Grade,1.4,6.1.12,Grade 12,12,2023-11-19T00:00:00+00:00
Standard,1.4.1,6.1.12.A,"Evaluate the strengths and weaknesses of traditional, command and market economies.",12,2023-11-19T00:00:00+00:00
Standard,1.4.2,6.1.12.B,"Analyze the impact of traditional, command and market economies on the United States economy.",12,2023-11-19T00:00:00+00:00
Standard,1.4.3,6.1.12.C,"Assess the strength of the regional, national and/or international economy and compare it to another time period based upon economic indicators.",12,2023-11-19T00:00:00+00:00
Standard,1.4.4,6.1.12.D,"Describe historical examples of expansion, recession, and depression internationally.",12,2023-11-19T00:00:00+00:00
Standard Category,2,6.2,Markets and the Functions of Governments,KG-12,2023-11-19T00:00:00+00:00
Grade,2.1,6.2.3,Grade 3,03,2023-11-19T00:00:00+00:00
Standard,2.1.1,6.2.3.A,"Define and identify goods, services, consumers and producers.",03,2023-11-19T00:00:00+00:00
Standard,2.1.2,6.2.3.B,Identify ways local businesses compete to get consumers.,03,2023-11-19T00:00:00+00:00
Standard,2.1.3,6.2.3.C,Identify and compare means of payment.,03,2023-11-19T00:00:00+00:00
Standard,2.1.4,6.2.3.D,Identify groups of competing producers in the local area.,03,2023-11-19T00:00:00+00:00
Standard,2.1.5,6.2.3.E,Identify who supplies a product and who demands a product.,03,2023-11-19T00:00:00+00:00
Standard,2.1.6,6.2.3.F,Define price and identify the prices of different items.,03,2023-11-19T00:00:00+00:00
Standard,2.1.7,6.2.3.G,Define what a tax is and identify a tax paid by most families.,03,2023-11-19T00:00:00+00:00
Standard,2.1.8,6.2.3.H,Identify government involvement in local economic activities.,03,2023-11-19T00:00:00+00:00
