Item Type,Sequence,Human Code,Full Statement,Ed. Level,Last Modified
Grade,1,,Kindergarten,KG,2025-05-23T19:06:38+00:00
Strand,1.1,,Reading Foundations,KG,2025-05-23T19:06:38+00:00
Learning Outcome,1.1.1,,"Students develop word recognition by building on print concepts, phonological awareness, and phonics to decode.",KG,2025-05-23T19:06:38+00:00
Cluster,1.1.1.1,,Print Concepts,KG,2025-05-23T19:06:38+00:00
Standard,1.1.1.1.1,K.RF.1,Demonstrate understanding that print moves from left to right across the page and from top to bottom.,KG,2025-05-23T19:06:38+00:00
Standard,1.1.1.1.2,K.RF.2,Recognize that written words are made up of sequences of letters.,KG,2025-05-23T19:06:38+00:00
Standard,1.1.1.1.3,K.RF.3,Identify and name all uppercase (capital) and lowercase letters of the alphabet. (E),KG,2025-05-23T19:06:38+00:00
Cluster,1.1.1.2,,Phonological Awareness,KG,2025-05-23T19:06:38+00:00
Standard,1.1.1.2.1,K.RF.4,Identify and produce rhyming words.,KG,2025-05-23T19:06:38+00:00
Standard,1.1.1.2.2,K.RF.5,"Orally pronounce, blend, and segment words into syllables. (E)",KG,2025-05-23T19:06:38+00:00
Standard,1.1.1.2.3,K.RF.6,"Identify and produce the beginning, middle (medial), and final sounds in three and four phoneme words. (E)",KG,2025-05-23T19:06:38+00:00
Cluster,1.1.1.3,,Decoding,KG,2025-05-23T19:06:38+00:00
Standard,1.1.1.3.1,K.RF.7,Use letter-sound knowledge to decode the sound of each consonant. (E),KG,2025-05-23T19:06:38+00:00
Standard,1.1.1.3.2,K.RF.8,"Use letter-sound knowledge to decode words, including open and closed syllables, consonant digraphs, and blends. (E)",KG,2025-05-23T19:06:38+00:00
Standard,1.1.1.3.3,K.RF.9,Orally read decodable texts with appropriate accuracy and automaticity.,KG,2025-05-23T19:06:38+00:00
Strand,1.2,,Reading Comprehension,KG,2025-05-23T19:06:38+00:00
Learning Outcome,1.2.1,,"Students comprehend grade-level text, including fiction and nonfiction, and can demonstrate their comprehension orally and through writing.",KG,2025-05-23T19:06:38+00:00
