Item Type,Sequence,Human Code,Full Statement,Ed. Level,Last Modified
K-8 Courses,1,,Standards for Math Content,KG-08,2021-05-14T04:21:50+00:00
Grade Level,1.1,,Kindergarten,KG,2020-09-14T09:31:20+00:00
Process Standards,1.1.1,,Process Standards ,,2021-05-14T04:22:29+00:00
Process Standard,1.1.1.1,PS.1,Make sense of problems and persevere in solving them.,,2020-09-14T09:31:20+00:00
Process Standard,1.1.1.2,PS.2,Reason abstractly and quantitatively.,,2020-09-14T09:31:20+00:00
Process Standard,1.1.1.3,PS.3,Construct viable arguments and critique the reasoning of others.,,2020-09-14T09:31:20+00:00
Process Standard,1.1.1.4,PS.4,Model with mathematics.,,2020-09-14T09:31:20+00:00
Process Standard,1.1.1.5,PS.5,Use appropriate tools strategically.,,2020-09-14T09:31:20+00:00
Process Standard,1.1.1.6,PS.6,Attend to precision.,,2020-09-14T09:31:20+00:00
Process Standard,1.1.1.7,PS.7,Look for and make use of structure.,,2020-09-14T09:31:20+00:00
Process Standard,1.1.1.8,PS.8,Look for and express regularity in repeated reasoning.,,2020-09-14T09:31:20+00:00
Strand,1.1.2,,Number Sense,KG,2020-09-25T13:32:52+00:00
Standard,1.1.2.1,K.NS.1,Count to at least 100 by ones and tens and count on by one from any number.,KG,2020-09-14T11:37:05+00:00
Standard,1.1.2.2,K.NS.2,Write whole numbers from zero to 20 and recognize number words from zero to 10. Represent a number of objects with a written numeral zero to 20 (with zero representing a count of no objects).,KG,2020-09-14T11:37:12+00:00
Standard,1.1.2.3,K.NS.3,Find the number that is one more than or one less than any whole number up to 20.,KG,2020-09-14T11:37:15+00:00
Standard,1.1.2.4,K.NS.4,"Say the number names in standard order when counting objects, pairing each object with one and only one number name and each number name with one and only one object.  Understand that the last number describes the number of objects counted and that the number of objects is the same regardless of their arrangement or the order in which they were counted.",KG,2021-05-13T22:59:56+00:00
Standard,1.1.2.5,K.NS.5,"Count up to 20 objects arranged in a line, a rectangular array, or a circle. Count up to 10 objects in a scattered configuration. Count out the number of objects, given a number from one to 20.",KG,2020-09-14T11:37:26+00:00
Standard,1.1.2.6,K.NS.6,Recognize sets of one to 10 objects in patterned arrangements and tell how many without counting.,KG,2020-09-14T11:37:37+00:00
Standard,1.1.2.7,K.NS.7,"Identify whether the number of objects in one group is greater than, less than, or equal to the number of objects in another group (e.g., by using matching and counting strategies).",KG,2020-09-14T11:37:43+00:00
Standard,1.1.2.8,K.NS.8,Compare the values of two numbers from 1 to 20 presented as written numerals.,KG,2020-09-14T11:37:47+00:00
Standard,1.1.2.9,K.NS.9,"Correctly use the words for comparison, including: one and many; none, some and all; more and less; most and least; and equal to, more than and less than.",KG,2020-09-14T11:37:51+00:00
Standard,1.1.2.10,K.NS.10,Separate sets of 10 or fewer objects into equal groups.,KG,2020-09-14T11:38:05+00:00
Standard,1.1.2.11,K.NS.11,Develop initial understandings of place value and the base 10 number system by showing equivalent forms of whole numbers from 10 to 20 as groups of tens and ones using objects and drawings.,KG,2020-09-14T11:38:09+00:00
Strand,1.1.3,,Computation and Algebraic Thinking,KG,2020-09-14T11:39:01+00:00
