Item Type,Sequence,Human Code,Full Statement,Ed. Level,Last Modified
Subchapter,1,110,Subchapter A. Elementary,,2022-04-11T00:41:52+00:00
Implementation,1.1,110.1,"Implementation of Texas Essential Knowledge and Skills for English Language Arts and Reading, Elementary, Adopted 2017.",,2022-04-11T00:44:05+00:00
Implementation,1.1.1,110.1.a,The provisions of this section and §§110.2-110.7 of this title shall be implemented by school districts.,,2022-04-11T00:44:05+00:00
Implementation,1.1.2,110.1.b,"No later than August 31, 2018, the commissioner of education shall determine whether instructional materials funding has been made available to Texas public schools for materials that cover the essential knowledge and skills for English language arts and reading as adopted in §§110.2-110.7 of this title.",,2022-04-11T00:44:05+00:00
Implementation,1.1.3,110.1.c,"If the commissioner makes the determination that instructional materials funding has been made available under subsection (b) of this section, §§110.2-110.7 of this title shall be implemented beginning with the 2019-2020 school year and apply to the 2019-2020 and subsequent school years.",,2022-04-11T00:44:05+00:00
Implementation,1.1.4,110.1.d,"If the commissioner does not make the determination that instructional materials funding has been made available under subsection (b) of this section, the commissioner shall determine no later than August 31 of each subsequent school year whether instructional materials funding has been made available. If the commissioner determines that instructional materials funding has been made available, the commissioner shall notify the State Board of Education and school districts that §§110.2-110.7 of this title shall be implemented for the following school year.",,2022-04-11T00:44:05+00:00
Implementation,1.1.5,110.1.e,Sections 110.11-110.16 of this title shall be superseded by the implementation of this section and §§110.2-110.7 of this title.,,2022-04-11T00:44:05+00:00
Grade/Course,1.2,110.2,"English Language Arts and Reading, Kindergarten, Adopted 2017.",,2022-04-11T00:41:52+00:00
Introduction,1.2.1,110.2.a,Introduction.,,2022-04-11T00:41:52+00:00
Introduction,1.2.1.1,110.2.a.1,"The English language arts and reading Texas Essential Knowledge and Skills (TEKS) embody the interconnected nature of listening, speaking, reading, writing, and thinking through the seven integrated strands of developing and sustaining foundational language skills; comprehension; response; multiple genres; author's purpose and craft; composition; and inquiry and research. The strands focus on academic oracy (proficiency in oral expression and comprehension), authentic reading, and reflective writing to ensure a literate Texas. The strands are integrated and progressive with students continuing to develop knowledge and skills with increased complexity and nuance in order to think critically and adapt to the ever-evolving nature of language and literacy.",,2022-04-11T00:41:52+00:00
Introduction,1.2.1.2,110.2.a.2,"The seven strands of the essential knowledge and skills for English language arts and reading are intended to be integrated for instructional purposes and are recursive in nature. Strands include the four domains of language (listening, speaking, reading, and writing) and their application in order to accelerate the acquisition of language skills so that students develop high levels of social and academic language proficiency. Although some strands may require more instructional time, each strand is of equal value, may be presented in any order, and should be integrated throughout the year. It is important to note that encoding (spelling) and decoding (reading) are reciprocal skills. Decoding is internalized when tactile and kinesthetic opportunities (encoding) are provided. Additionally, students should engage in academic conversations, write, read, and be read to on a daily basis with opportunities for cross-curricular content and student choice.",,2022-04-11T00:42:16+00:00
Introduction,1.2.1.3,110.2.a.3,"Text complexity increases with challenging vocabulary, sophisticated sentence structures, nuanced text features, cognitively demanding content, and subtle relationships among ideas (Texas Education Agency, <i>STAAR Performance Level Descriptors</i>, 2013). As skills and knowledge are obtained in each of the seven strands, students will continue to apply earlier standards with greater depth to increasingly complex texts in multiple genres as they become self-directed, critical learners who work collaboratively while continuously using metacognitive skills.",,2022-04-11T00:42:16+00:00
Introduction,1.2.1.4,110.2.a.4,"English language learners (ELLs) are expected to meet standards in a second language; however, their proficiency in English influences the ability to meet these standards. To demonstrate this knowledge throughout the stages of English language acquisition, comprehension of text requires additional scaffolds such as adapted text, translations, native language support, cognates, summaries, pictures, realia, glossaries, bilingual dictionaries, thesauri, and other modes of comprehensible input. ELLs can and should be encouraged to use knowledge of their first language to enhance vocabulary development; vocabulary needs to be in the context of connected discourse so that it is meaningful. Strategic use of the student's first language is important to ensure linguistic, affective, cognitive, and academic development in English.",,2022-04-11T00:42:16+00:00
Introduction,1.2.1.5,110.2.a.5,"Current research stresses the importance of effectively integrating second language acquisition with quality content area education in order to ensure that ELLs acquire social and academic language proficiency in English, learn the knowledge and skills, and reach their full academic potential. Instruction must be linguistically accommodated in accordance with the English Language Proficiency Standards (ELPS) and the student's English language proficiency levels to ensure the mastery of knowledge and skills in the required curriculum is accessible. For a further understanding of second language acquisition needs, refer to the ELPS and proficiency-level descriptors adopted in Chapter 74, Subchapter A, of this title (relating to Required Curriculum).",,2022-04-11T00:42:16+00:00
Introduction,1.2.1.6,110.2.a.6,"Oral language proficiency holds a pivotal role in school success; verbal engagement must be maximized across grade levels (Kinsella, 2010). In order for students to become thinkers and proficient speakers in science, social studies, mathematics, fine arts, language arts and reading, and career and technical education, they must have multiple opportunities to practice and apply the academic language of each discipline (Fisher, Frey, & Rothenberg, 2008).",,2022-04-11T00:42:16+00:00
Introduction,1.2.1.7,110.2.a.7,"Statements that contain the word ""including"" reference content that must be mastered, while those containing the phrase ""such as"" are intended as possible illustrative examples.",,2022-04-11T00:42:16+00:00
Knowledge and Skills,1.2.2,110.2.b,Knowledge and skills.,,2022-04-11T00:41:53+00:00
Strand,1.2.2.1,110.2.b.1,"Developing and sustaining foundational language skills: listening, speaking, discussion, and thinking--oral language. The student develops oral language through listening, speaking, and discussion. The student is expected to:",,2022-04-11T00:41:53+00:00
Student Expectation,1.2.2.1.1,110.2.b.1.A,listen actively and ask questions to understand information and answer questions using multi-word responses;,,2022-04-11T00:42:16+00:00
Student Expectation,1.2.2.1.2,110.2.b.1.B,"restate and follow oral directions that involve a short, related sequence of actions;",,2022-04-11T00:42:17+00:00
Student Expectation,1.2.2.1.3,110.2.b.1.C,share information and ideas by speaking audibly and clearly using the conventions of language;,,2022-04-11T00:42:17+00:00
