Item Type,Sequence,Human Code,Full Statement,Ed. Level,Last Modified
Grade Level,1,PFL.e,K-2,K-2,2023-07-06T21:08:27+00:00
Content Area,1.1,PFL.e.FM,Financial Mindset,,2023-07-06T21:08:27+00:00
Standard,1.1.1,PFL.e.FM.1,Students will develop strategies to make intentional financial decisions throughout their lifespan.,,2023-07-06T21:08:27+00:00
Learning Priority,1.1.1.1,PFL.e.FM.1.a,Critical Consumer,,2023-07-06T21:08:27+00:00
Performance Indicator,1.1.1.1.1,PFL.e.FM.1.a.1,"Differentiate between buyers (consumers) and sellers (producers).<div><br></div><div>List traits of being a responsible consumer (e.g., look at the price or compare the value of items).</div><div><br></div><div>Define advertising and list places advertisements can be found.</div>",,2023-07-06T21:08:28+00:00
Learning Priority,1.1.1.2,PFL.e.FM.1.b,Functions and Structure of Money,,2023-07-06T21:08:27+00:00
Performance Indicator,1.1.1.2.1,PFL.e.FM.1.b.1,"Categorize types of money (e.g., coins or bills), and explain why money is used.",,2023-07-06T21:08:28+00:00
Learning Priority,1.1.1.3,PFL.e.FM.1.c,Opportunity Costs,,2023-07-06T21:08:27+00:00
Performance Indicator,1.1.1.3.1,PFL.e.FM.1.c.1,Differentiate between a want and a need.,,2023-07-06T21:08:28+00:00
Standard,1.1.2,PFL.e.FM.2,Students will analyze how aspects of financial psychology impact financial well-being.,,2023-07-06T21:08:27+00:00
Learning Priority,1.1.2.1,PFL.e.FM.2.a,Values and Behavior,,2023-07-06T21:08:27+00:00
Performance Indicator,1.1.2.1.1,PFL.e.FM.2.a.1,"Identify why people decide to earn, save, spend, or give money.",,2023-07-06T21:08:28+00:00
Learning Priority,1.1.2.2,PFL.e.FM.2.b,Emotional Influences,,2023-07-06T21:08:27+00:00
Performance Indicator,1.1.2.2.1,PFL.e.FM.2.b.1,Identify how emotions may be the same or different from other people.,,2023-07-06T21:08:28+00:00
Learning Priority,1.1.2.3,PFL.e.FM.2.c,External Influences,,2023-07-06T21:08:27+00:00
Performance Indicator,1.1.2.3.1,PFL.e.FM.2.c.1,Identify external influences,,2023-07-06T21:08:28+00:00
Learning Priority,1.1.2.4,PFL.e.FM.2.d,Financial Goals,,2023-07-06T21:08:27+00:00
Performance Indicator,1.1.2.4.1,PFL.e.FM.2.d.1,"Identify the importance of a financial goal (e.g., purchasing a bicycle or toy).",,2023-07-06T21:08:28+00:00
Learning Priority,1.1.2.5,PFL.e.FM.2.e,Civic Engagement and Philanthropy,,2023-07-06T21:08:27+00:00
Performance Indicator,1.1.2.5.1,PFL.e.FM.2.e.1,"Recognize ways to give back (e.g., donating to a charity or volunteering) in our classroom, school, community, state, tribal nation, country, and in the world.",,2023-07-06T21:08:28+00:00
Standard,1.1.3,PFL.e.FM.3,Students will establish digital awareness to enhance their financial mindset.,,2023-07-06T21:08:27+00:00
Learning Priority,1.1.3.1,PFL.e.FM.3.a,Online and Account Security,,2023-07-06T21:08:27+00:00
Performance Indicator,1.1.3.1.1,PFL.e.FM.3.a.1,"Explain the importance of an online password, and identify reasons to use a password.",,2023-07-06T21:08:28+00:00
Learning Priority,1.1.3.2,PFL.e.FM.3.b,Digital Footprint,,2023-07-06T21:08:27+00:00
Performance Indicator,1.1.3.2.1,PFL.e.FM.3.b.1,"Define sources of digital information and storage (e.g., Internet, World Wide Web, and personal devices).",,2023-07-06T21:08:28+00:00
Learning Priority,1.1.3.3,PFL.e.FM.3.c,Digital Resources,,2023-07-06T21:08:27+00:00
Performance Indicator,1.1.3.3.1,PFL.e.FM.3.c.1,List websites or mobile apps and identify what types of information people access online.,,2023-07-06T21:08:28+00:00
Content Area,1.2,PFL.e.EE,Education and Employment,,2023-07-06T21:08:27+00:00
Standard,1.2.1,PFL.e.EE.1,Students will compare the effect of personal income on their goals.,,2023-07-06T21:08:27+00:00
Learning Priority,1.2.1.1,PFL.e.EE.1.a,Deductions and Taxes,,2023-07-06T21:08:27+00:00
Performance Indicator,1.2.1.1.1,PFL.e.EE.1.a.1,"Summarize goods and services that the government provides (e.g., roads, schools, or police).",,2023-07-06T21:08:28+00:00
Learning Priority,1.2.1.2,PFL.e.EE.1.b,Types of Compensation,,2023-07-06T21:08:27+00:00
Performance Indicator,1.2.1.2.1,PFL.e.EE.1.b.1,Identify ways people earn money.Identify ways people earn money.,,2023-07-06T21:08:28+00:00
Standard,1.2.2,PFL.e.EE.2,Students will evaluate the impact of lifelong learning on one’s ability to function effectively in a diverse and changing economy.,,2023-07-06T21:08:27+00:00
Learning Priority,1.2.2.1,PFL.e.EE.2.a,"Post-Secondary Education, Skills, and Training",,2023-07-06T21:08:27+00:00
Performance Indicator,1.2.2.1.1,PFL.e.EE.2.a.1,"Identify skills needed for different types of jobs. Discover the different skills associated with various job or career fields (e.g., what skills are needed to be a plumber, teacher, dentist, firefighter or store manager).",,2023-07-06T21:08:28+00:00
Learning Priority,1.2.2.2,PFL.e.EE.2.b,Emerging Employment and Education Trends,,2023-07-06T21:08:27+00:00
Performance Indicator,1.2.2.2.1,PFL.e.EE.2.b.1,Categorize jobs as high demand or low demand. Describe how specific jobs or career fields have changed over time.,,2023-07-06T21:08:28+00:00
Content Area,1.3,PFL.e.MM,Money Management,,2023-07-06T21:08:27+00:00
Standard,1.3.1,PFL.e.MM.1,Students will demonstrate their ability to use money management skills and strategies.,,2023-07-06T21:08:27+00:00
Learning Priority,1.3.1.1,PFL.e.MM.1.a,Budgeting,,2023-07-06T21:08:27+00:00
Performance Indicator,1.3.1.1.1,PFL.e.MM.1.a1,Explain the importance of a budget.,,2023-07-06T21:08:28+00:00
Learning Priority,1.3.1.2,PFL.e.MM.1.b,Financial Management,,2023-07-06T21:08:27+00:00
Performance Indicator,1.3.1.2.1,PFL.e.MM.1.b.1,"Identify that there are three ways you can use money - save, spend, and give.",,2023-07-06T21:08:28+00:00
Standard,1.3.2,PFL.e.MM.2,Students will utilize financial institutions and service providers to support money management.,,2023-07-06T21:08:27+00:00
Learning Priority,1.3.2.1,PFL.e.MM.2.a,Financial Institutions and Service Providers,,2023-07-06T21:08:27+00:00
Performance Indicator,1.3.2.1.1,PFL.e.MM.2.a.1,Identify financial institutions within the community.,,2023-07-06T21:08:28+00:00
Learning Priority,1.3.2.2,PFL.e.MM.2.b,Payment TypesPayment Types,,2023-07-06T21:08:27+00:00
Performance Indicator,1.3.2.2.1,PFL.e.MM.2.b.1,"Recognize that items of value, including money, can be earned and exchanged for goods and services.",,2023-07-06T21:08:28+00:00
Learning Priority,1.3.2.3,PFL.e.MM.2.c,Alternative Financial Currency,,2023-07-06T21:08:27+00:00
Performance Indicator,1.3.2.3.1,PFL.e.MM.2.c.1,Describe how paying for goods and services online is still using real money.,,2023-07-06T21:08:28+00:00
Content Area,1.4,PFL.e.SI,Saving and Investing,,2023-07-06T21:08:27+00:00
Standard,1.4.1,PFL.e.SI.1,Students will explore savings concepts and apply this knowledge to attain financial security.,,2023-07-06T21:08:27+00:00
Learning Priority,1.4.1.1,PFL.e.SI.1.a,Saving Principles,,2023-07-06T21:08:27+00:00
Performance Indicator,1.4.1.1.1,PFL.e.SI.1.a.1,Identify an experience of waiting to have enough money to buy something.,,2023-07-06T21:08:28+00:00
Learning Priority,1.4.1.2,PFL.e.SI.1.b,Savings Types and Features,,2023-07-06T21:08:27+00:00
Performance Indicator,1.4.1.2.1,PFL.e.SI.1.b.1,Identify places where something valuable would be secure.,,2023-07-06T21:08:28+00:00
Learning Priority,1.4.1.3,PFL.e.SI.1.c,Saving Goal Planning,,2023-07-06T21:08:27+00:00
Performance Indicator,1.4.1.3.1,PFL.e.SI.1.c.1,Describe strategies to save money.,,2023-07-06T21:08:28+00:00
Learning Priority,1.4.1.4,PFL.e.SI.1.d,Saving Risk and Reward,,2023-07-06T21:08:27+00:00
Performance Indicator,1.4.1.4.1,PFL.e.SI.1.d.1,Explain how choices we make now affect what we get in the future.<div>Explain how financial institutions help people make choices about how to save money.</div>,,2023-07-06T21:08:28+00:00
Standard,1.4.2,PFL.e.SI.2,Students will explore investing concepts and apply this knowledge to attain financial security.,,2023-07-06T21:08:27+00:00
Learning Priority,1.4.2.1,PFL.e.SI.2.a,Investing Principles,,2023-07-06T21:08:27+00:00
Performance Indicator,1.4.2.1.1,PFL.e.SI.2.a.1,Explain how gathering items of value may build net worth.,,2023-07-06T21:08:28+00:00
Learning Priority,1.4.2.2,PFL.e.SI.2.b,Investing Types and Features,,2023-07-06T21:08:27+00:00
Performance Indicator,1.4.2.2.1,PFL.e.SI.2.b.1,"Differentiate between owning something of value, keeping money in a financial institution, or giving money to someone else in return for future value.",,2023-07-06T21:08:28+00:00
Learning Priority,1.4.2.3,PFL.e.SI.2.c,Investing Goal Planning,,2023-07-06T21:08:27+00:00
Performance Indicator,1.4.2.3.1,PFL.e.SI.2.c.1,"Identify the difference between short-term and long-term (e.g., today versus Saturday versus the future or elementary versus middle school versus high school).",,2023-07-06T21:08:28+00:00
Learning Priority,1.4.2.4,PFL.e.SI.2.d,Investing Risks and Rewards,,2023-07-06T21:08:27+00:00
Performance Indicator,1.4.2.4.1,PFL.e.SI.2.d.1,Identify how items of value may fluctuate over time.,,2023-07-06T21:08:28+00:00
Content Area,1.5,PFL.e.CD,Credit and Debt,,2023-07-06T21:08:27+00:00
Standard,1.5.1,PFL.e.CD.1,Students will examine the benefits and costs of using credit.,,2023-07-06T21:08:27+00:00
Learning Priority,1.5.1.1,PFL.e.CD.1.a,Benefits of Using Credit,,2023-07-06T21:08:27+00:00
Performance Indicator,1.5.1.1.1,PFL.e.CD.1.a.1,Explain why something borrowed must be returned.,,2023-07-06T21:08:28+00:00
Learning Priority,1.5.1.2,PFL.e.CD.1.b,Costs of Using Credit,,2023-07-06T21:08:27+00:00
Performance Indicator,1.5.1.2.1,PFL.e.CD.1.b.1,Explain the difference between buying and borrowing.,,2023-07-06T21:08:28+00:00
Learning Priority,1.5.1.3,PFL.e.CD.1.c,Interest and Fees,,2023-07-06T21:08:27+00:00
Performance Indicator,1.5.1.3.1,PFL.e.CD.1.c.1,Explain how people can borrow money or an item if they promise to return it.,,2023-07-06T21:08:28+00:00
Learning Priority,1.5.1.4,PFL.e.CD.1.d,Debt Resolution,,2023-07-06T21:08:27+00:00
Performance Indicator,1.5.1.4.1,PFL.e.CD.1.d.1,"Identify actions a borrower can take to satisfy a lender when a borrowed item cannot be repaid, is lost, or damaged.<div><br></div><div>Explain who can assist in solving problems (e.g., parents, teachers, or counselors).</div>",,2023-07-06T21:08:28+00:00
Standard,1.5.2,PFL.e.CD.2,"Students will interpret lending options, consumer rights, and responsibilities.",,2023-07-06T21:08:27+00:00
Learning Priority,1.5.2.1,PFL.e.CD.2.a,Credit Products and Services,,2023-07-06T21:08:27+00:00
Performance Indicator,1.5.2.1.1,PFL.e.CD.2.a.1,"Identify different forms of payment methods (e.g., online, cash, debit card, credit card, or loan).<div><br></div><div>Identify people from whom a person could borrow an item.</div>",,2023-07-06T21:08:28+00:00
Learning Priority,1.5.2.2,PFL.e.CD.2.c,Consumer Credit Rights and Responsibilities,,2023-07-06T21:08:27+00:00
Performance Indicator,1.5.2.2.1,PFL.e.CD.2.c.1,Identify actions a borrower can take to satisfy a lender when a borrowed item is lost or damaged.,,2023-07-06T21:08:28+00:00
Content Area,1.6,PFL.e.RMI,Risk Management and Insurance,,2023-07-06T21:08:27+00:00
Standard,1.6.1,PFL.e.RMI.1,Students will contrast different types of risk and how it could affect their financial decisions.,,2023-07-06T21:08:27+00:00
Learning Priority,1.6.1.1,PFL.e.RMI.1.a,Risk,,2023-07-06T21:08:27+00:00
Performance Indicator,1.6.1.1.1,PFL.e.RMI.1.a.1,"Describe the feeling of losing an object (e.g., losing money, losing a favorite toy, or losing homework assignments).<div><br></div><div>Predict some risks in everyday situations (e.g., playing on the playground, staying up too late, or riding a bike) and explain ways to limit these risks.</div>",,2023-07-06T21:08:28+00:00
Learning Priority,1.6.1.2,PFL.e.RMI.1.b,Consequences of Financial Risk,,2023-07-06T21:08:27+00:00
Performance Indicator,1.6.1.2.1,PFL.e.RMI.1.b.1,Explain different ways a person can lose something valuable and the consequences.,,2023-07-06T21:08:28+00:00
Standard,1.6.2,PFL.e.RMI.2,Students will assess possible choices to protect themselves from financial risk.,,2023-07-06T21:08:27+00:00
Learning Priority,1.6.2.1,PFL.e.RMI.2.a,Purpose of Insurance,,2023-07-06T21:08:27+00:00
Performance Indicator,1.6.2.1.1,PFL.e.RMI.2.a.1,"Determine different types of situations where a person needs protection (e.g., staying near parents, riding a bike, or crossing a busy road).",,2023-07-06T21:08:28+00:00
Learning Priority,1.6.2.2,PFL.e.RMI.2.b,Types of Insurance,,2023-07-06T21:08:27+00:00
Performance Indicator,1.6.2.2.1,PFL.e.RMI.2.b.1,"Identify why someone would get insurance on valuable items (e.g., cell phone or game console).",,2023-07-06T21:08:28+00:00
Learning Priority,1.6.2.3,PFL.e.RMI.2.c,Cost Factors of Insurance,,2023-07-06T21:08:27+00:00
Performance Indicator,1.6.2.3.1,PFL.e.RMI.2.c.1,Predict consequences of not having protection for various scenarios.,,2023-07-06T21:08:28+00:00
Learning Priority,1.6.2.4,PFL.e.RMI.2.d,Meaning of Insurance Contracts,,2023-07-06T21:08:27+00:00
Performance Indicator,1.6.2.4.1,PFL.e.RMI.2.d.1,Illustrate what both people have to do when they enter an agreement.,,2023-07-06T21:08:28+00:00
Learning Priority,1.6.2.5,PFL.e.RMI.2.e,Loss Prevention Plan,,2023-07-06T21:08:27+00:00
Performance Indicator,1.6.2.5.1,PFL.e.RMI.2.e.1,"Determine the best type(s) of protection for given scenarios regarding risk (e.g., wearing a coat in the cold or wearing a bike helmet).",,2023-07-06T21:08:28+00:00
Grade Level,2,PFL.i,3-5,3-5,2023-07-06T21:08:27+00:00
Content Area,2.1,PFL.i.FM,Financial Mindset,,2023-07-06T21:08:27+00:00
Standard,2.1.1,PFL.i.FM.1,Students will develop strategies to make intentional financial decisions throughout their lifespan.,,2023-07-06T21:08:27+00:00
Learning Priority,2.1.1.1,PFL.i.FM.1.a,Critical Consumer,,2023-07-06T21:08:27+00:00
Performance Indicator,2.1.1.1.1,PFL.i.FM.1.a.1,"Describe the steps in making a purchase (i.e., consumer buying process).<div><br></div><div>Identify items that can be used in making consumer decisions (e.g., comparison shopping skills regarding price or substitutes). </div><div><br></div><div>Predict the motives of a sales claim and explain how consumers would verify information delivered through a range of advertisements (e.g., digital, print, audio, or product/service reviews).</div>",,2023-07-06T21:08:28+00:00
Learning Priority,2.1.1.2,PFL.i.FM.1.b,Functions and Structure of Money,,2023-07-06T21:08:27+00:00
Performance Indicator,2.1.1.2.1,PFL.i.FM.1.b.1,Describe the role of money in everyday life.,,2023-07-06T21:08:28+00:00
Learning Priority,2.1.1.3,PFL.i.FM.1.c,Opportunity Costs,,2023-07-06T21:08:27+00:00
Performance Indicator,2.1.1.3.1,PFL.i.FM.1.c.1,Compare and contrast the costs and benefits of a decision.<div><br></div><div>Explain that choices may have long-term unintended consequences.</div>,,2023-07-06T21:08:28+00:00
Standard,2.1.2,PFL.i.FM.2,Students will analyze how aspects of financial psychology impact financial well-being.,,2023-07-06T21:08:27+00:00
Learning Priority,2.1.2.1,PFL.i.FM.2.a,Values and Behavior,,2023-07-06T21:08:27+00:00
Performance Indicator,2.1.2.1.1,PFL.i.FM.2.a.1,Examine different cultural perspectives and behaviors regarding financial values and goals across communities.,,2023-07-06T21:08:28+00:00
Learning Priority,2.1.2.2,PFL.i.FM.2.b,Emotional Influences,,2023-07-06T21:08:27+00:00
Performance Indicator,2.1.2.2.1,PFL.i.FM.2.b.1,Describe how emotions impact financial decisions.,,2023-07-06T21:08:28+00:00
Learning Priority,2.1.2.3,PFL.i.FM.2.c,External Influences,,2023-07-06T21:08:27+00:00
Performance Indicator,2.1.2.3.1,PFL.i.FM.2.c.1,Explain ways financial decisions are influenced by external factors.,,2023-07-06T21:08:28+00:00
Learning Priority,2.1.2.4,PFL.i.FM.2.d,Financial Goals,,2023-07-06T21:08:27+00:00
Performance Indicator,2.1.2.4.1,PFL.i.FM.2.d.1,"Describe elements of a goal development strategy (e.g., SMART - specific, measurable, attainable, relevant, and time-bound).",,2023-07-06T21:08:28+00:00
Learning Priority,2.1.2.5,PFL.i.FM.2.e,Civic Engagement and Philanthropy,,2023-07-06T21:08:27+00:00
Performance Indicator,2.1.2.5.1,PFL.i.FM.2.e.1,"Describe the benefits of charitable giving, volunteerism, and charities in our classroom, school, community, state, tribal nation, country, and in the world.",,2023-07-06T21:08:28+00:00
Standard,2.1.3,PFL.i.FM.3,Students will establish digital awareness to enhance their financial mindset.,,2023-07-06T21:08:27+00:00
Learning Priority,2.1.3.1,PFL.i.FM.3.a,Online and Account Security,,2023-07-06T21:08:27+00:00
Performance Indicator,2.1.3.1.1,PFL.i.FM.3.a.1,"Compare and contrast strong and weak online passwords, and identify criteria for a strong password. Identify information that we protect with a password. Identify what personally identifiable information (PII) is private and should not be shared with others (digitally).",,2023-07-06T21:08:28+00:00
Learning Priority,2.1.3.2,PFL.i.FM.3.b,Digital Footprint,,2023-07-06T21:08:27+00:00
Performance Indicator,2.1.3.2.1,PFL.i.FM.3.b.1,Describe ways a person leaves a financial digital footprint. Explore under supervision information a person can obtain online about other individuals.,,2023-07-06T21:08:28+00:00
Learning Priority,2.1.3.3,PFL.i.FM.3.c,Digital Resources,,2023-07-06T21:08:27+00:00
Performance Indicator,2.1.3.3.1,PFL.i.FM.3.c.1,Determine criteria to identify safe websites and apps.,,2023-07-06T21:08:28+00:00
Content Area,2.2,PFL.i.EE,Education and Employment,,2023-07-06T21:08:27+00:00
Standard,2.2.1,PFL.i.EE.1,Students will compare the effect of personal income on their goals.,,2023-07-06T21:08:27+00:00
Learning Priority,2.2.1.1,PFL.i.EE.1.a,Deductions and Taxes,,2023-07-06T21:08:27+00:00
Performance Indicator,2.2.1.1.1,PFL.i.EE.1.a.1,List reasons a government taxes people.,,2023-07-06T21:08:28+00:00
Learning Priority,2.2.1.2,PFL.i.EE.1.b,Types of Compensation,,2023-07-06T21:08:27+00:00
Performance Indicator,2.2.1.2.1,PFL.i.EE.1.b.1,Describe the ways people are compensated. Identify reasons people earn different amounts of money.,,2023-07-06T21:08:28+00:00
Standard,2.2.2,PFL.i.EE.2,Students will evaluate the impact of lifelong learning on one’s ability to function effectively in a diverse and changing economy.,,2023-07-06T21:08:27+00:00
Learning Priority,2.2.2.1,PFL.i.EE.2.a,"Post-Secondary Education, Skills, and Training",,2023-07-06T21:08:27+00:00
Performance Indicator,2.2.2.1.1,PFL.i.EE.2.a.1,"Assess different types of jobs, based on the skills associated with each job. Interpret career information.",,2023-07-06T21:08:28+00:00
Learning Priority,2.2.2.2,PFL.i.EE.2.b,Emerging Employment and Education Trends,,2023-07-06T21:08:27+00:00
Performance Indicator,2.2.2.2.1,PFL.i.EE.2.b.1,"Explain how economic, social, and technological changes can impact employment trends and markets. Contrast jobs versus careers.",,2023-07-06T21:08:28+00:00
Content Area,2.3,PFL.i.MM,Money Management,,2023-07-06T21:08:27+00:00
Standard,2.3.1,PFL.i.MM.1,Students will demonstrate their ability to use money management skills and strategies.,,2023-07-06T21:08:27+00:00
Learning Priority,2.3.1.1,PFL.i.MM.1.a,Budgeting,,2023-07-06T21:08:27+00:00
Performance Indicator,2.3.1.1.1,PFL.i.MM.1.a.1,Provide examples of household expenses and sources of income.,,2023-07-06T21:08:28+00:00
Learning Priority,2.3.1.2,PFL.i.MM.1.b,Financial Management,,2023-07-06T21:08:27+00:00
Performance Indicator,2.3.1.2.1,PFL.i.MM.1.b.1,"Identify age-appropriate ways to save, spend, and give money. Identify the personal information necessary to establish a financial account (e.g., personal details, contact information, and social security number).",,2023-07-06T21:08:28+00:00
Standard,2.3.2,PFL.i.MM.2,Students will utilize financial institutions and service providers to support money management.,,2023-07-06T21:08:27+00:00
Learning Priority,2.3.2.1,PFL.i.MM.2.a,Financial Institutions and Service Providers,,2023-07-06T21:08:27+00:00
Performance Indicator,2.3.2.1.1,PFL.i.MM.2.a.1,Identify the services and resources that financial institutions provide consumers.,,2023-07-06T21:08:28+00:00
Learning Priority,2.3.2.2,PFL.i.MM.2.b,Payment TypesPayment Types,,2023-07-06T21:08:27+00:00
Performance Indicator,2.3.2.2.1,PFL.i.MM.2.b.1,Investigate multiple ways to pay for goods and services.<div><br></div><div>Compare digital banking methods and cash payments for purchasing goods and services.</div><div><br></div><div>Identify methods to prove income has been received and payment has been made.</div>,,2023-07-06T21:08:28+00:00
Learning Priority,2.3.2.3,PFL.i.MM.2.c,Alternative Financial Currency,,2023-07-06T21:08:27+00:00
Performance Indicator,2.3.2.3.1,PFL.i.MM.2.c.1,Differentiate between debit- and credit-types of financial currency.,,2023-07-06T21:08:28+00:00
Content Area,2.4,PFL.i.SI,Saving and Investing,,2023-07-06T21:08:27+00:00
Standard,2.4.1,PFL.i.SI.1,Students will explore savings concepts and apply this knowledge to attain financial security.,,2023-07-06T21:08:27+00:00
Learning Priority,2.4.1.1,PFL.i.SI.1.a,Saving Principles,,2023-07-06T21:08:27+00:00
Performance Indicator,2.4.1.1.1,PFL.i.SI.1.a.1,Describe reasons why people save money. Explain the phrase pay yourself first.,,2023-07-06T21:08:28+00:00
Learning Priority,2.4.1.2,PFL.i.SI.1.b,Savings Types and Features,,2023-07-06T21:08:27+00:00
Performance Indicator,2.4.1.2.1,PFL.i.SI.1.b.1,Describe why a person deposits money into a financial institution.<div><br></div><div>Describe characteristics of a secure savings account.</div>,,2023-07-06T21:08:28+00:00
Learning Priority,2.4.1.3,PFL.i.SI.1.c,Saving Goal Planning,,2023-07-06T21:08:27+00:00
Performance Indicator,2.4.1.3.1,PFL.i.SI.1.c.1,Identify steps to reach a savings goal.<div>Explain how people make spending and saving choices to meet personal savings goals.</div>,,2023-07-06T21:08:28+00:00
Learning Priority,2.4.1.4,PFL.i.SI.1.d,Saving Risk and Reward,,2023-07-06T21:08:27+00:00
Performance Indicator,2.4.1.4.1,PFL.i.SI.1.d.1,"Compare types of risks and rewards when saving (e.g., no loss of principal, interest- bearing).",,2023-07-06T21:08:28+00:00
Learning Priority,2.4.1.5,PFL.i.SI.1.e,Role of Government in Saving,,2023-07-06T21:08:27+00:00
Performance Indicator,2.4.1.5.1,PFL.i.SI.1.e.1,Identify the role that law enforcement has to protect personal financial assets.,,2023-07-06T21:08:28+00:00
Standard,2.4.2,PFL.i.SI.2,Students will explore investing concepts and apply this knowledge to attain financial security.,,2023-07-06T21:08:27+00:00
Learning Priority,2.4.2.1,PFL.i.SI.2.a,Investing Principles,,2023-07-06T21:08:27+00:00
Performance Indicator,2.4.2.1.1,PFL.i.SI.2.a.1,Describe the difference between saving and investing.<div><br></div><div>Describe reasons why people invest their money.</div>,,2023-07-06T21:08:28+00:00
Learning Priority,2.4.2.2,PFL.i.SI.2.b,Investing Types and Features,,2023-07-06T21:08:27+00:00
Performance Indicator,2.4.2.2.1,PFL.i.SI.2.b.1,"Identify different investing choices (e.g., collectibles, stocks, bonds, or mutual funds).<div><br></div><div>Predict financial outcomes based on investing choices.</div>",,2023-07-06T21:08:28+00:00
Learning Priority,2.4.2.3,PFL.i.SI.2.c,Investing Goal Planning,,2023-07-06T21:08:27+00:00
