Item Type,Sequence,Human Code,Full Statement,Ed. Level,Last Modified
,1,,Standards by Anchor Standards,,2022-11-02T01:28:22+00:00
,1.1,,Creating,,2022-10-26T20:59:48+00:00
Anchor Standard,1.1.1,Anchor Standard 1,Generate and conceptualize artistic ideas and work.,,2022-11-02T00:35:11+00:00
Understanding,1.1.1.1,1.1,**Enduring Understanding:** Choreographers use a variety of sources as inspiration and transform concepts and ideas into movement for artistic expression.,,2022-11-02T00:35:11+00:00
Cluster,1.1.1.1.1,,Cr3.1.a,,2022-11-02T00:35:11+00:00
Standard,1.1.1.1.1.1,DA:Cr1.1.PK.a,"**Explore** Respond in movement to a variety of sensory stimuli (for example, music/sound, visual, tactile).",PK,2023-09-27T23:19:21+00:00
Standard,1.1.1.1.1.2,DA:Cr1.1.K.a,"**Explore** Respond in movement to a variety of stimuli (for example, music/ sound, text, objects, images, symbols, observed dance).",KG,2023-10-02T20:44:14+00:00
Standard,1.1.1.1.1.3,DA:Cr1.1.1.a,"**Explore** Explore movement inspired by a variety of stimuli (for example, music/sound, text, objects, images, symbols, observed dance, experiences) and identify the source.",01,2023-09-27T23:19:35+00:00
Standard,1.1.1.1.1.4,DA:Cr1.1.2.a,"**Explore** Explore movement inspired by a variety of stimuli (for example, music/sound, text, objects, images, symbols, observed dance, experiences) and suggest additional sources for movement ideas.",02,2023-09-27T23:19:42+00:00
Standard,1.1.1.1.1.5,DA:Cr1.1.3.a,"**Explore** Experiment with a variety of self-identified stimuli (for example, music/sound, text, objects, images, notation, observed dance, experiences) for movement.",03,2023-09-27T23:19:50+00:00
Standard,1.1.1.1.1.6,DA:Cr1.1.4.a,"**Explore** Identify ideas for choreography generated from a variety of stimuli (for example, music/ sound, text, objects, images, notation, observed dance, experiences).",04,2023-09-27T23:19:57+00:00
Standard,1.1.1.1.1.7,DA:Cr1.1.5.a,"**Explore** Build content for choreography using several stimuli (for example, music/sound, text, objects, images, notation, observed dance, experiences, literary forms, natural phenomena, current news, social events).",05,2023-09-27T23:20:06+00:00
Standard,1.1.1.1.1.8,DA:Cr1.1.6.a,"**Explore** Relate similar or contrasting ideas to develop choreography using a variety of stimuli (for example, music, observed dance, literary forms, notation, natural phenomena, personal experience/ recall, current news, social events).",06,2023-09-27T23:20:22+00:00
Standard,1.1.1.1.1.9,DA:Cr1.1.7.a,"**Explore** Compare a variety of stimuli (for example, music, observed dance, literary forms, notation, natural phenomena, personal experience/ recall, current news, social events) and make selections to expand movement vocabulary and artistic expression.",07,2023-09-27T23:20:37+00:00
Standard,1.1.1.1.1.10,DA:Cr1.1.8.a,"**Explore** Implement movement from a variety of stimuli (for example, music, observed dance, literary forms, notation, natural phenomena, personal experience/recall, current news, social events) to develop dance content for an original dance study or dance.",08,2023-09-27T23:20:45+00:00
Standard,1.1.1.1.1.11,DA:Cr1.1.I.a,**Explore** Explore a variety of stimuli for sourcing movement to develop an improvisational or choreographed dance study. Analyze the process and the relationship between the stimuli and the movement.,09-10,2023-09-27T23:20:56+00:00
Standard,1.1.1.1.1.12,DA:Cr1.1.II.a,**Explore** Synthesize content generated from stimulus materials to choreograph dance studies or dances using original or codified movement.,10-11,2023-09-27T23:21:06+00:00
Standard,1.1.1.1.1.13,DA:Cr1.1.III.a,**Explore** Synthesize content generated from stimulus material. Experiment and take risks to discover a personal voice to communicate artistic intent.,11-12,2023-09-27T23:21:16+00:00
Cluster,1.1.1.1.2,,Cr1.1.b,,2022-11-02T00:35:11+00:00
