Item Type,Sequence,Human Code,Full Statement,Ed. Level,Last Modified
,1,,Academic Standards for Reading in History and Social Studies,,2023-11-19T00:00:00+00:00
Standard Category,1.1,8.5,"Reading Informational Text: Students read, understand, and respond to informational text - with emphasis on comprehension, making connections among ideas and between texts with focus on textual evidence.",06-12,2023-11-19T00:00:00+00:00
Grade Range,1.1.1,,Grade 6-8,06-08,2023-11-19T00:00:00+00:00
Cluster,1.1.1.1,,Key Ideas and Details,06-08,2023-11-19T00:00:00+00:00
Standard,1.1.1.1.1,CC.8.5.6-8.A,Cite specific textual evidence to support analysis of primary and secondary sources.,06-08,2023-11-19T00:00:00+00:00
Standard,1.1.1.1.2,CC.8.5.6-8.B,Determine the central ideas or information of a primary or secondary source; provide an accurate summary of the source distinct from prior knowledge or opinions.,06-08,2023-11-19T00:00:00+00:00
Standard,1.1.1.1.3,CC.8.5.6-8.C,"Identify key steps in a text's description of a process related to history/social studies (e.g., how a bill becomes law, how interest rates are raised or lowered).",06-08,2023-11-19T00:00:00+00:00
Cluster,1.1.1.2,,Craft and Structure,06-08,2023-11-19T00:00:00+00:00
Standard,1.1.1.2.1,CC.8.5.6-8.D,"Determine the meaning of words and phrases as they are used in a text, including vocabulary specific to domains related to history/social studies.",06-08,2023-11-19T00:00:00+00:00
Standard,1.1.1.2.2,CC.8.5.6-8.E,"Describe how a text presents information (e.g., sequentially, comparatively, causally).",06-08,2023-11-19T00:00:00+00:00
Standard,1.1.1.2.3,CC.8.5.6-8.F,"Identify aspects of a text that reveal an author's point of view or purpose (e.g., loaded language, inclusion or avoidance of particular facts).",06-08,2023-11-19T00:00:00+00:00
Cluster,1.1.1.3,,Integration of Knowledge and Ideas,06-08,2023-11-19T00:00:00+00:00
Standard,1.1.1.3.1,CC.8.5.6-8.G,"Integrate visual information (e.g., in charts, graphs, photographs, videos, or maps) with other information in print and digital texts.",06-08,2023-11-19T00:00:00+00:00
Standard,1.1.1.3.2,CC.8.5.6-8.H,"Distinguish among fact, opinion, and reasoned judgment in a text.",06-08,2023-11-19T00:00:00+00:00
Standard,1.1.1.3.3,CC.8.5.6-8.I,Analyze the relationship between a primary and secondary source on the same topic.,06-08,2023-11-19T00:00:00+00:00
Cluster,1.1.1.4,,Range of Reading and Level of Text Complexity,06-08,2023-11-19T00:00:00+00:00
Standard,1.1.1.4.1,CC.8.5.6-8.J,"By the end of grade 8, read and comprehend history/social studies texts in the grades 6—8 text complexity band independently and proficiently.",06-08,2023-11-19T00:00:00+00:00
Grade Range,1.1.2,,Grade 9-10,09-10,2023-11-19T00:00:00+00:00
Cluster,1.1.2.1,,Key Ideas and Details,,2023-11-19T00:00:00+00:00
Standard,1.1.2.1.1,CC.8.5.9-10.A,"Cite specific textual evidence to support analysis of primary and secondary sources, attending to such features as the date and origin of the information.",09-10,2023-11-19T00:00:00+00:00
Standard,1.1.2.1.2,CC.8.5.9-10.B,Determine the central ideas or information of a primary or secondary source; provide an accurate summary of how key events or ideas develop over the course of the text.,09-10,2023-11-19T00:00:00+00:00
Standard,1.1.2.1.3,CC.8.5.9-10.C,Analyze in detail a series of events described in a text; determine whether earlier events caused later ones or simply preceded them.,09-10,2023-11-19T00:00:00+00:00
Cluster,1.1.2.2,,Craft and Structure,,2023-11-19T00:00:00+00:00
Standard,1.1.2.2.1,CC.8.5.9-10.E,Analyze how a text uses structure to emphasize key points or advance an explanation or analysis,09-10,2023-11-19T00:00:00+00:00
Standard,1.1.2.2.2,CC.8.5.9-10.D,"Determine the meaning of words and phrases as they are used in a text, including vocabulary describing political, social, or economic aspects of history/social studies.",09-10,2023-11-19T00:00:00+00:00
Standard,1.1.2.2.3,CC.8.5.9-10.F,"Compare the point of view of two or more authors for how they treat the same or similar topics, including which details they include and emphasize in their respective accounts.",09-10,2023-11-19T00:00:00+00:00
Cluster,1.1.2.3,,Integration of Knowledge and Ideas,,2023-11-19T00:00:00+00:00
Standard,1.1.2.3.1,CC.8.5.9-10.G,"Integrate quantitative or technical analysis (e.g., charts, research data) with qualitative analysis in print or digital text.",09-10,2023-11-19T00:00:00+00:00
Standard,1.1.2.3.2,CC.8.5.9-10.H,Assess the extent to which the reasoning and evidence in a text support the author's claims.,09-10,2023-11-19T00:00:00+00:00
Standard,1.1.2.3.3,CC.8.5.9-10.I,Compare and contrast treatments of the same topic in several primary and secondary sources.,09-10,2023-11-19T00:00:00+00:00
Cluster,1.1.2.4,,Range of Reading and Level of Text Complexity,,2023-11-19T00:00:00+00:00
Standard,1.1.2.4.1,CC.8.5.9-10.J,"By the end of grade 10, read and comprehend history/social studies texts in the grades 9—10 text complexity band independently and proficiently.",09-10,2023-11-19T00:00:00+00:00
Grade Range,1.1.3,,Grade 11-12,11-12,2023-11-19T00:00:00+00:00
Cluster,1.1.3.1,,Key Ideas and Details,,2023-11-19T00:00:00+00:00
Standard,1.1.3.1.1,CC.8.5.11-12.A,"Cite specific textual evidence to support analysis of primary and secondary sources, connecting insights gained from specific details to an understanding of the text as a whole.",11-12,2023-11-19T00:00:00+00:00
Standard,1.1.3.1.2,CC.8.5.11-12.B,Determine the central ideas or information of a primary or secondary source; provide an accurate summary that makes clear the relationships among the key details and ideas.,11-12,2023-11-19T00:00:00+00:00
Standard,1.1.3.1.3,CC.8.5.11-12.C,"Evaluate various explanations for actions or events and determine which explanation best accords with textual evidence, acknowledging where the text leaves matters uncertain.",11-12,2023-11-19T00:00:00+00:00
Cluster,1.1.3.2,,Craft and Structure,,2023-11-19T00:00:00+00:00
Standard,1.1.3.2.1,CC.8.5.11-12.D,"Determine the meaning of words and phrases as they are used in a text, including analyzing how an author uses and refines the meaning of a key term over the course of a text (e.g., how Madison defines faction in Federalist No. 10).",11-12,2023-11-19T00:00:00+00:00
Standard,1.1.3.2.2,CC.8.5.11-12.E,"Analyze in detail how a complex primary source is structured, including how key sentences, paragraphs, and larger portions of the text contribute to the whole.",11-12,2023-11-19T00:00:00+00:00
Standard,1.1.3.2.3,CC.8.5.11-12.F,"Evaluate authors' differing points of view on the same historical event or issue by assessing the authors' claims, reasoning, and evidence.",11-12,2023-11-19T00:00:00+00:00
Cluster,1.1.3.3,,Integration of Knowledge and Ideas,,2023-11-19T00:00:00+00:00
Standard,1.1.3.3.1,CC.8.5.11-12.G,"Integrate and evaluate multiple sources of information presented in diverse formats and media (e.g., visually, quantitatively, as well as in words) in order to address a question or solve a problem.",11-12,2023-11-19T00:00:00+00:00
Standard,1.1.3.3.2,CC.8.5.11-12.H,"Evaluate an author's premises, claims, and evidence by corroborating or challenging them with other information.",11-12,2023-11-19T00:00:00+00:00
Standard,1.1.3.3.3,CC.8.5.11-12.I,"Integrate information from diverse sources, both primary and secondary, into a coherent understanding of an idea or event, noting discrepancies among sources.",11-12,2023-11-19T00:00:00+00:00
