Item Type,Sequence,Human Code,Full Statement,Ed. Level,Last Modified
,1,,Academic Standards for Reading in Science and Technical Subjects,,2024-02-12T18:17:50+00:00
Standard Category,1.1,3.5,"Reading Informational Text: Students read, understand, and respond to informational text – with emphasis on comprehension, making connections among ideas and between texts with focus on textual evidence.",06-12,2024-02-12T18:19:50+00:00
Grade Range,1.1.1,,Grade 6-8,06-08,2024-02-12T18:18:46+00:00
Cluster,1.1.1.1,,Key Ideas and Details,06-08,2024-02-12T18:18:46+00:00
Standard,1.1.1.1.1,CC.3.5.6-8.A,Cite specific textual evidence to support analysis of science and technical texts.,06-08,2024-02-12T18:18:46+00:00
Standard,1.1.1.1.2,CC.3.5.6-8.B,Determine the central ideas or conclusions of a text; provide an accurate summary of the text distinct from prior knowledge or opinions.,06-08,2024-02-12T18:18:46+00:00
Standard,1.1.1.1.3,CC.3.5.6-8.C,"Follow precisely a multistep procedure when carrying out experiments, taking measurements, or performing technical tasks.",06-08,2024-02-12T18:18:46+00:00
Cluster,1.1.1.2,,Craft and Structure,06-08,2024-02-12T18:18:46+00:00
Standard,1.1.1.2.1,CC.3.5.6-8.D,"Determine the meaning of symbols, key terms, and other domain-specific words and phrases as they are used in a specific scientific or technical context relevant to grades 6–8 texts and topics.",06-08,2024-02-12T18:18:46+00:00
Standard,1.1.1.2.2,CC.3.5.6-8.E,"Analyze the structure an author uses to organize a text, including how the major sections contribute to the whole and to an understanding of the topic.",06-08,2024-02-12T18:18:46+00:00
Standard,1.1.1.2.3,CC.3.5.6-8.F,"Analyze the author’s purpose in providing an explanation, describing a procedure, or discussing an experiment in a text.",06-08,2024-02-12T18:18:46+00:00
Cluster,1.1.1.3,,Integration of Knowledge and Ideas,06-08,2024-02-12T18:18:46+00:00
Standard,1.1.1.3.1,CC.3.5.6-8.G,"Integrate quantitative or technical information expressed in words in a text with a version of that information expressed visually (e.g., in a flowchart, diagram, model, graph, or table).",06-08,2024-02-12T18:18:46+00:00
Standard,1.1.1.3.2,CC.3.5.6-8.H,"Distinguish among facts, reasoned judgment based on research findings, and speculation in a text.",06-08,2024-02-12T18:18:46+00:00
Standard,1.1.1.3.3,CC.3.5.6-8.I,"Compare and contrast the information gained from experiments, simulations, video, or multimedia sources with that gained from reading a text on the same topic.",06-08,2024-02-12T18:18:46+00:00
Cluster,1.1.1.4,,Range and Level of Complex Texts,06-08,2024-02-12T18:18:46+00:00
Standard,1.1.1.4.1,CC.3.5.6-8.J,"By the end of grade 8, read and comprehend science/technical texts in the grades 6–8 text complexity band independently and proficiently.",06-08,2024-02-12T18:18:46+00:00
Grade Range,1.1.2,,Grade 9-10,09-10,2024-02-12T18:18:59+00:00
Cluster,1.1.2.1,,Key Ideas and Details,09-10,2024-02-12T18:18:59+00:00
Standard,1.1.2.1.1,CC.3.5.9-10.A,"Cite specific textual evidence to support analysis of science and technical texts, attending to the precise details of explanations or descriptions.",09-10,2024-02-12T18:18:59+00:00
Standard,1.1.2.1.2,CC.3.5.9-10.B,"Determine the central ideas or conclusions of a text; trace the text’s explanation or depiction of a complex process, phenomenon, or concept; provide an accurate summary of the text.",09-10,2024-02-12T18:18:59+00:00
Standard,1.1.2.1.3,CC.3.5.9-10.C,"Follow precisely a complex multistep procedure when carrying out experiments, taking measurements, or performing technical tasks, attending to special cases or exceptions defined in the text.",09-10,2024-02-12T18:18:59+00:00
Cluster,1.1.2.2,,Craft and Structure,09-10,2024-02-12T18:18:59+00:00
Standard,1.1.2.2.1,CC.3.5.9-10.D,"Determine the meaning of symbols, key terms, and other domain-specific words and phrases as they are used in a specific scientific or technical context relevant to grades 9–10 texts and topics.",09-10,2024-02-12T18:18:59+00:00
Standard,1.1.2.2.2,CC.3.5.9-10.E,"Analyze the structure of the relationships among concepts in a text, including relationships among key terms (e.g., force, friction, reaction force, energy).",09-10,2024-02-12T18:18:59+00:00
Standard,1.1.2.2.3,CC.3.5.9-10.F,"Analyze the author’s purpose in providing an explanation, describing a procedure, or discussing an experiment in a text, defining the question the author seeks to address.",09-10,2024-02-12T18:18:59+00:00
Cluster,1.1.2.3,,Integration of Knowledge and Ideas,09-10,2024-02-12T18:18:59+00:00
Standard,1.1.2.3.1,CC.3.5.9-10.G,"Translate quantitative or technical information expressed in words in a text into visual form (e.g., a table or chart) and translate information expressed visually or mathematically (e.g., in an equation) into words.",09-10,2024-02-12T18:18:59+00:00
Standard,1.1.2.3.2,CC.3.5.9-10.H,Assess the extent to which the reasoning and evidence in a text support the author’s claim or a recommendation for solving a scientific or technical problem.,09-10,2024-02-12T18:18:59+00:00
Standard,1.1.2.3.3,CC.3.5.9-10.I,"Compare and contrast findings presented in a text to those from other sources (including their own experiments), noting when the findings support or contradict previous explanations or accounts.",09-10,2024-02-12T18:18:59+00:00
Cluster,1.1.2.4,,Range and Level of Complex Texts,09-10,2024-02-12T18:18:59+00:00
Standard,1.1.2.4.1,CC.3.5.9-10.J,"By the end of grade 10, read and comprehend science/technical texts in the grades 9–10 text complexity band independently and proficiently.",09-10,2024-02-12T18:18:59+00:00
Grade Range,1.1.3,,Grade 11-12,11-12,2024-02-12T18:19:12+00:00
Cluster,1.1.3.1,,Key Ideas and Details,11-12,2024-02-12T18:19:12+00:00
Standard,1.1.3.1.1,CC.3.5.11-12.A,"Cite specific textual evidence to support analysis of science and technical texts, attending to important distinctions the author makes and to any gaps or inconsistencies in the account.",11-12,2024-02-12T18:19:12+00:00
Standard,1.1.3.1.2,CC.3.5.11-12.B,"Determine the central ideas or conclusions of a text; summarize complex concepts, processes, or information presented in a text by paraphrasing them in simpler but still accurate terms.",11-12,2024-02-12T18:19:12+00:00
Standard,1.1.3.1.3,CC.3.5.11-12.C,"Follow precisely a complex multistep procedure when carrying out experiments, taking measurements, or performing technical tasks; analyze the specific results based on explanations in the text.",11-12,2024-02-12T18:19:12+00:00
Cluster,1.1.3.2,,Craft and Structure,11-12,2024-02-12T18:19:12+00:00
Standard,1.1.3.2.1,CC.3.5.11-12.D,"Determine the meaning of symbols, key terms, and other domain-specific words and phrases as they are used in a specific scientific or technical context relevant to grades 11–12 texts and topics.",11-12,2024-02-12T18:19:12+00:00
Standard,1.1.3.2.2,CC.3.5.11-12.E,"Analyze how the text structures information or ideas into categories or hierarchies, demonstrating understanding of the information or ideas.",11-12,2024-02-12T18:19:12+00:00
Standard,1.1.3.2.3,CC.3.5.11-12.F,"Analyze the author’s purpose in providing an explanation, describing a procedure, or discussing an experiment in a text, identifying important issues that remain unresolved.",11-12,2024-02-12T18:19:12+00:00
Cluster,1.1.3.3,,Integration of Knowledge and Ideas,11-12,2024-02-12T18:19:12+00:00
Standard,1.1.3.3.1,CC.3.5.11-12.G,"Integrate and evaluate multiple sources of information presented in diverse formats and media (e.g., quantitative data, video, multimedia) in order to address a question or solve a problem.",11-12,2024-02-12T18:19:12+00:00
Standard,1.1.3.3.2,CC.3.5.11-12.H,"Evaluate the hypotheses, data, analysis, and conclusions in a science or technical text, verifying the data when possible and corroborating or challenging conclusions with other sources of information.",11-12,2024-02-12T18:19:12+00:00
Standard,1.1.3.3.3,CC.3.5.11-12.I,"Synthesize information from a range of sources (e.g., texts, experiments, simulations) into a coherent understanding of a process, phenomenon, or concept, resolving conflicting information when possible.",11-12,2024-02-12T18:19:12+00:00
Cluster,1.1.3.4,,Range and Level of Complex Texts,11-12,2024-02-12T18:19:12+00:00
Standard,1.1.3.4.1,CC.3.5.11-12.J,"By the end of grade 12, read and comprehend science/technical texts in the grades 11–12 text complexity band independently and proficiently.",11-12,2024-02-12T18:19:12+00:00
,2,,Academic Standards for Writing in Science and Technical Subjects,,2024-02-12T18:17:50+00:00
Standard Category,2.1,3.6,Writing: Students write for different purposes and audiences. Students write clear and focused text to convey a well-defined perspective and appropriate content.,06-12,2024-02-12T18:19:50+00:00
Grade Range,2.1.1,,Grade 6-8,06-08,2024-02-12T18:18:46+00:00
Cluster,2.1.1.1,,Text Types and Purposes,06-08,2024-02-12T18:18:46+00:00
Standard,2.1.1.1.1,CC.3.6.6-8.A,"Write arguments focused on discipline-specific content.
* Introduce claim(s) about a topic or issue, acknowledge and distinguish the claim(s) from alternate or opposing claims, and organize the reasons and evidence logically.
* Support claim(s) with logical reasoning and relevant, accurate data and evidence that demonstrate an understanding of the topic or text, using credible sources.
* Use words, phrases, and clauses to create cohesion and clarify the relationships among claim(s), counterclaims, reasons, and evidence.
* Establish and maintain a formal style.
* Provide a concluding statement or section that follows from and supports the argument presented.",06-08,2024-02-12T18:18:46+00:00
Standard,2.1.1.1.2,CC.3.6.6-8.B,"Write informative/explanatory texts, including the narration of historical events, scientific procedures/ experiments, or technical processes.
* Introduce a topic clearly, previewing what is to follow; organize ideas, concepts, and information into broader categories as appropriate to achieving purpose; include formatting (e.g., headings), graphics (e.g., charts, tables), and multimedia when useful to aiding comprehension.
* Develop the topic with relevant, well-chosen facts, definitions, concrete details, quotations, or other information and examples.
* Use appropriate and varied transitions to create cohesion and clarify the relationships among ideas and concepts.
* Use precise language and domain-specific vocabulary to inform about or explain the topic.
* Establish and maintain a formal style and objective tone.
* Provide a concluding statement or section that follows from and supports the information or explanation presented.",06-08,2024-02-12T18:18:46+00:00
Cluster,2.1.1.2,,Production and Distribution of Writing,06-08,2024-02-12T18:18:46+00:00
Standard,2.1.1.2.1,CC.3.6.6-8.C,"Produce clear and coherent writing in which the development, organization, and style are appropriate to task, purpose, and audience.",06-08,2024-02-12T18:18:46+00:00
Standard,2.1.1.2.2,CC.3.6.6-8.D,"With some guidance and support from peers and adults, develop and strengthen writing as needed by planning, revising, editing, rewriting, or trying a new approach, focusing on how well purpose and audience have been addressed.",06-08,2024-02-12T18:18:46+00:00
Standard,2.1.1.2.3,CC.3.6.6-8.E,"Use technology, including the Internet, to produce and publish writing and present the relationships between information and ideas clearly and efficiently.",06-08,2024-02-12T18:18:46+00:00
Cluster,2.1.1.3,,Research to Build and Present Knowledge,06-08,2024-02-12T18:18:46+00:00
Standard,2.1.1.3.1,CC.3.6.6-8.F,"Conduct short research projects to answer a question (including a self-generated question), drawing on several sources and generating additional related, focused questions that allow for multiple avenues of exploration.",06-08,2024-02-12T18:18:46+00:00
Standard,2.1.1.3.2,CC.3.6.6-8.G,"Gather relevant information from multiple print and digital sources, using search terms effectively; assess the credibility and accuracy of each source; and quote or paraphrase the data and conclusions of others while avoiding plagiarism and following a standard format for citation.",06-08,2024-02-12T18:18:46+00:00
Standard,2.1.1.3.3,CC.3.6.6-8.H,"Draw evidence from informational texts to support analysis reflection, and research.",06-08,2024-02-12T18:18:46+00:00
Cluster,2.1.1.4,,Range of Writing,06-08,2024-02-12T18:18:46+00:00
Standard,2.1.1.4.1,CC.3.6.6-8.J.I,"Write routinely over extended time frames (time for reflection and revision) and shorter time frames (a single sitting or a day or two) for a range of discipline-specific tasks, purposes, and audiences.",06-08,2024-02-12T18:18:46+00:00
Grade Range,2.1.2,,Grade 9-10,09-10,2024-02-12T18:18:59+00:00
Cluster,2.1.2.1,,Text Types and Purposes,09-10,2024-02-12T18:18:59+00:00
Standard,2.1.2.1.1,CC.3.6.9-10.A,"Write arguments focused on discipline-specific content.
* Introduce precise claim(s), distinguish the claim(s) from alternate or opposing claims, and create an organization that establishes clear relationships among the claim(s), counterclaims, reasons, and evidence.
* Develop claim(s) and counterclaims fairly, supplying data and evidence for each while pointing out the strengths and limitations of both claim(s) and counterclaims in a discipline-appropriate form and in a manner that anticipates the audience’s knowledge level and concerns.
* Use words, phrases, and clauses to link the major sections of the text, create cohesion, and clarify the relationships between claim(s) and reasons, between reasons and evidence, and between claim(s) and counterclaims.
* Establish and maintain a formal style and objective tone while attending to the norms and conventions of the discipline in which they are writing.
* Provide a concluding statement or section that follows from or supports the argument presented.",09-10,2024-02-12T18:18:59+00:00
Standard,2.1.2.1.2,CC.3.6.9-10.B,"Write informative/explanatory texts, including the narration of historical events, scientific procedures/experiments, or technical processes.
* Introduce a topic and organize ideas, concepts, and information to make important connections and distinctions; include formatting (e.g., headings), graphics (e.g., figures, tables), and multimedia when useful to aiding comprehension.
* Develop the topic with well-chosen, relevant, and sufficient facts, extended definitions, concrete details, quotations, or other information and examples appropriate to the audience’s knowledge of the topic.
* Use varied transitions and sentence structures to link the major sections of the text, create cohesion, and clarify the relationships among ideas and concepts.
* Use precise language and domain-specific vocabulary to manage the complexity of the topic and convey a style appropriate to the discipline and context as well as to the expertise of likely readers.
* Establish and maintain a formal style and objective tone while attending to the norms and conventions of the discipline in which they are writing.
* Provide a concluding statement or section that follows from and supports the information or explanation presented (e.g., articulating implications or the significance of the topic).",09-10,2024-02-12T18:18:59+00:00
Cluster,2.1.2.2,,Production and Distribution of Writing,09-10,2024-02-12T18:18:59+00:00
Standard,2.1.2.2.1,CC.3.6.9-10.C,"Produce clear and coherent writing in which the development, organization, and style are appropriate to task, purpose, and audience.",09-10,2024-02-12T18:18:59+00:00
Standard,2.1.2.2.2,CC.3.6.9-10.D,"Develop and strengthen writing as needed by planning, revising, editing, rewriting, or trying a new approach, focusing on addressing what is most significant for a specific purpose and audience.",09-10,2024-02-12T18:18:59+00:00
Standard,2.1.2.2.3,CC.3.6.9-10.E,"Use technology, including the Internet, to produce, publish, and update individual or shared writing products, taking advantage of technology’s capacity to link to other information and to display information flexibly and dynamically.",09-10,2024-02-12T18:18:59+00:00
Cluster,2.1.2.3,,Research to Build and Present Knowledge,09-10,2024-02-12T18:18:59+00:00
Standard,2.1.2.3.1,CC.3.6.9-10.F,"Conduct short as well as more sustained research projects to answer a question (including a selfgenerated question) or solve a problem; narrow or broaden the inquiry when appropriate; synthesize multiple sources on the subject, demonstrating understanding of the subject under investigation.",09-10,2024-02-12T18:18:59+00:00
Standard,2.1.2.3.2,CC.3.6.9-10.G,"Gather relevant information from multiple authoritative print and digital sources, using advanced searches effectively; assess the usefulness of each source in answering the research question; integrate information into the text selectively to maintain the flow of ideas, avoiding plagiarism and following a standard format for citation.",09-10,2024-02-12T18:18:59+00:00
Standard,2.1.2.3.3,CC.3.6.9-10.H,"Draw evidence from informational texts to support analysis, reflection, and research.",09-10,2024-02-12T18:18:59+00:00
Cluster,2.1.2.4,,Range of Writing,09-10,2024-02-12T18:18:59+00:00
Standard,2.1.2.4.1,CC.3.6.9-10.I,"Write routinely over extended time frames (time for reflection and revision) and shorter time frames (a single sitting or a day or two) for a range of discipline-specific tasks, purposes, and audiences.",09-10,2024-02-12T18:18:59+00:00
Grade Range,2.1.3,,Grade 11-12,11-12,2024-02-12T18:19:12+00:00
Cluster,2.1.3.1,,Text Types and Purposes,11-12,2024-02-12T18:19:12+00:00
Standard,2.1.3.1.1,CC.3.6.11-12.A,"Write arguments focused on discipline-specific content.
* Introduce precise, knowledgeable claim(s), establish the significance of the claim(s), distinguish the claim(s) from alternate or opposing claims, and create an organization that logically sequences the claim(s), counterclaims, reasons, and evidence.
* Develop claim(s) and counterclaims fairly and thoroughly, supplying the most relevant data and evidence for each while pointing out the strengths and limitations of both claim(s) and counterclaims in a disciplineappropriate form that anticipates the audience’s knowledge level, concerns, values, and possible biases.
* Use words, phrases, and clauses as well as varied syntax to link the major sections of the text, create cohesion, and clarify the relationships between claim(s) and reasons, between reasons and evidence, and between claim(s) and counterclaims.
* Establish and maintain a formal style and objective tone while attending to the norms and conventions of the discipline in which they are writing.
* Provide a concluding statement or section that follows from or supports the argument presented.",11-12,2024-02-12T18:19:12+00:00
Standard,2.1.3.1.2,CC.3.6.11-12.B,"Write informative/explanatory texts, including the narration of historical events, scientific procedures/experiments, or technical processes.
* Introduce a topic and organize complex ideas, concepts, and information so that each new element builds on that which precedes it to create a unified whole; include formatting (e.g., headings), graphics (e.g., figures, tables), and multimedia when useful to aiding comprehension.
* Develop the topic thoroughly by selecting the most significant and relevant facts, extended definitions, concrete details, quotations, or other information and examples appropriate to the audience’s knowledge of the topic.
* Use varied transitions and sentence structures to link the major sections of the text, create cohesion, and clarify the relationships among complex ideas and concepts.
* Use precise language, domain-specific vocabulary and techniques such as metaphor, simile, and analogy to manage the complexity of the topic; convey a knowledgeable stance in a style that responds to the discipline and context as well as to the expertise of likely readers.
* Provide a concluding statement or section that follows from and supports the information or explanation provided (e.g., articulating implications or the significance of the topic).",11-12,2024-02-12T18:19:12+00:00
Cluster,2.1.3.2,,Production and Distribution of Writing,11-12,2024-02-12T18:19:12+00:00
Standard,2.1.3.2.1,CC.3.6.11-12.C,"Produce clear and coherent writing in which the development, organization, and style are appropriate to task, purpose, and audience.",11-12,2024-02-12T18:19:12+00:00
Standard,2.1.3.2.2,CC.3.6.11-12.D,"Develop and strengthen writing as needed by planning, revising, editing, rewriting, or trying a new approach, focusing on addressing what is most significant for a specific purpose and audience.",11-12,2024-02-12T18:19:12+00:00
Standard,2.1.3.2.3,CC.3.6.11-12.E,"Use technology, including the Internet, to produce, publish, and update individual or shared writing products in response to ongoing feedback, including new arguments or information.",11-12,2024-02-12T18:19:12+00:00
Cluster,2.1.3.3,,Research to Build and Present Knowledge,11-12,2024-02-12T18:19:12+00:00
