Item Type,Sequence,Human Code,Full Statement,Ed. Level,Last Modified
,1,,Academic Standards,,2023-07-24T15:47:56+00:00
Course,1.1,,Kindergarten: Foundations of Social Studies,KG,2023-08-08T13:17:58+00:00
Strand,1.1.1,1.,Citizenship and Government,KG,2023-08-08T13:17:58+00:00
Substrand,1.1.1.1,1.,Civic Skills,KG,2023-08-08T13:17:58+00:00
Standard,1.1.1.1.1,1.,"Democratic government depends on informed and engaged citizens who exhibit civic skills and values, practice civic discourse, vote and participate in elections, apply inquiry and analysis skills, and take action to solve problems and shape public policy.",KG,2023-08-08T13:17:58+00:00
Benchmark,1.1.1.1.1.1,0.1.1.1.1,"Demonstrate civic skills in a classroom that reflect an understanding of civic values. For example: Civic skills—listening to others, participating in class discussions, taking turns, sharing with others, cooperating in class activities, wise or judicious exercise of authority. Civic values—fairness, individual dignity, self-control, justice, responsibility, courage, honesty, common good, respect, friendship.",KG,2023-08-08T13:17:58+00:00
Substrand,1.1.1.2,2.,Civic Values and Principles of Democracy,KG,2023-08-08T13:17:58+00:00
Standard,1.1.1.2.1,2.,"The civic identity of the United States is shaped by historical figures, places and events, and by key foundational documents and other symbolically important artifacts.",KG,2023-08-08T13:17:58+00:00
Benchmark,1.1.1.2.1.1,0.1.2.2.1,"Describe symbols, songs and traditions that identify our nation and state. For example: American Flag, bald eagle, White House, Statue of Liberty, Pledge of Allegiance, Minnesota state flag.",KG,2023-08-08T13:17:58+00:00
Substrand,1.1.1.3,4.,Governmental Institutions and Political Processes,KG,2023-08-08T13:17:58+00:00
Standard,1.1.1.3.1,7.,"The primary purposes of rules and laws within the United States constitutional government are to protect individual rights, promote the general welfare and provide order.",KG,2023-08-08T13:17:58+00:00
Benchmark,1.1.1.3.1.1,0.1.4.7.1,Identify examples of rules in the school community and explain why they exist; describe incentives for following rules and consequences for breaking rules.,KG,2023-08-08T13:17:58+00:00
Strand,1.1.2,2.,Economics,KG,2023-08-08T13:17:58+00:00
Substrand,1.1.2.1,1.,Economic Reasoning Skills,KG,2023-08-08T13:17:58+00:00
Standard,1.1.2.1.1,1.,"People make informed economic choices by identifying their goals, interpreting and applying data, considering the short- and longrun costs and benefits of alternative choices and revising their goals based on their analysis.",KG,2023-08-08T13:17:58+00:00
Benchmark,1.1.2.1.1.1,0.2.1.1.1,"Distinguish between individual needs (conditions necessary to survive) and individual wants (conditions desired to be happy). For example: Needs—to be fed, to be free from thirst, to be sheltered. Wants—to be entertained, to be famous, to be strong, to be helpful to others.",KG,2023-08-08T13:17:58+00:00
Benchmark,1.1.2.1.1.2,0.2.1.1.2,"Identify goods and services that could satisfy a specific need or want. For example: The need to be free from thirst could be satisfied by water, milk or orange juice. The desire (want) to be entertained could be satisfied by a toy, an amusement park ride or watching a movie.",KG,2023-08-08T13:17:58+00:00
Substrand,1.1.2.2,4.,Microeconomic Concepts,KG,2023-08-08T13:17:58+00:00
Standard,1.1.2.2.1,5.,"Individuals, businesses and governments interact and exchange goods, services and resources in different ways and for different reasons; interactions between buyers and sellers in a market determines the price and quantity exchanged of a good, service or resource.",KG,2023-08-08T13:17:58+00:00
