Item Type,Sequence,Human Code,Full Statement,Ed. Level,Last Modified
Grade Range,1,,Novice Low by the End of Grade 2,KG-02,2025-03-21T22:37:20+00:00
Disciplinary Concept,1.1,,Interpretive Mode of Communication,KG-02,2025-03-21T22:37:20+00:00
Proficiency Level Description,1.1.1,,"**Novice Low** learners identify a limited number of memorized or familiar words, symbols, or characters in very familiar contexts when they are supported by visuals in informational and fictional texts.",KG-02,2025-03-21T22:37:20+00:00
Core Idea,1.1.1.1,,"Learning a language involves interpreting meaning from listening, viewing, and reading culturally authentic materials in the target language.",KG-02,2025-03-21T22:37:20+00:00
Performance Expectation,1.1.1.1.1,7.1.NL.IPRET.1,"Identify a few memorized and practiced words contained in oral, viewed, and written chunks of language in culturally authentic materials when supported by visual cues such as pictures and gestures and text support such as bolded words, bulleted lists, and/or captions.",KG-02,2025-03-21T22:37:20+00:00
Performance Expectation,1.1.1.1.2,7.1.NL.IPRET.2,"Respond with physical actions and/or gestures to simple oral directions, commands, and requests.",KG-02,2025-03-21T22:37:20+00:00
Performance Expectation,1.1.1.1.3,7.1.NL.IPRET.3,Recognize a few common gestures associated with the target culture(s).,KG-02,2025-03-21T22:37:20+00:00
Performance Expectation,1.1.1.1.4,7.1.NL.IPRET.4,Recognize a few memorized words related to weather and climate in the target culture(s) and in students’ own cultures in highly contextualized oral texts.,KG-02,2025-03-21T22:37:20+00:00
Disciplinary Concept,1.2,,Interpersonal Mode of Communication,KG-02,2025-03-21T22:37:20+00:00
Proficiency Level Description,1.2.1,,**Novice Low** learners communicate using practiced and memorized words and phrases. They answer some formulaic questions on very familiar topics and express personal needs with memorized words and phrases. Novice Low learners often use gestures and pictures to convey meaning.,KG-02,2025-03-21T22:37:20+00:00
Core Idea,1.2.1.1,,Interpersonal communication is the exchange of information and the negotiation of meaning between and among individuals.,KG-02,2025-03-21T22:37:20+00:00
Performance Expectation,1.2.1.1.1,7.1.NL.IPERS.1,Respond to a few simple questions on very familiar topics using memorized words and phrases that have been repeatedly practiced.,KG-02,2025-03-21T22:37:20+00:00
Performance Expectation,1.2.1.1.2,7.1.NL.IPERS.2,"With the help of gestures and/or visuals, share with others basic needs on very familiar topics using memorized words and phrases that have been repeatedly practiced.",KG-02,2025-03-21T22:37:20+00:00
Performance Expectation,1.2.1.1.3,7.1.NL.IPERS.3,"Tell others a few basic preferences and/or feelings using memorized words and phrases, often supported by gestures or visuals.",KG-02,2025-03-21T22:37:20+00:00
Performance Expectation,1.2.1.1.4,7.1.NL.IPERS.4,"React to a few procedural instructions, directions, and commands in classroom situations.",KG-02,2025-03-21T22:37:20+00:00
Performance Expectation,1.2.1.1.5,7.1.NL.IPERS.5,Enact a few culturally authentic gestures when greeting others and during leave takings.,KG-02,2025-03-21T22:37:20+00:00
Performance Expectation,1.2.1.1.6,7.1.NL.IPERS.6,Share with others the names of a few memorized and practiced words and phrases related to climate change in the target culture(s) and in students’ own cultures.,KG-02,2025-03-21T22:37:20+00:00
Disciplinary Concept,1.3,,Presentational Mode of Communication,KG-02,2025-03-21T22:37:20+00:00
Proficiency Level Description,1.3.1,,"**Novice Low** learners express basic information about themselves using memorized words and phrases, with the help of gestures or visuals.",KG-02,2025-03-21T22:37:20+00:00
Core Idea,1.3.1.1,,"Presentational communication involves presenting information, concepts, and ideas to an audience of listeners or readers on a variety of topics.",KG-02,2025-03-21T22:37:20+00:00
Performance Expectation,1.3.1.1.1,7.1.NL.PRSNT.1,"Present very familiar personal information using memorized words and phrases that have been repeatedly practiced, often using gestures and visuals to support communication.",KG-02,2025-03-21T22:37:20+00:00
Performance Expectation,1.3.1.1.2,7.1.NL.PRSNT.2,Express a few basic preferences and/or feelings using memorized words and phrases that are supported by gestures or visuals.,KG-02,2025-03-21T22:37:20+00:00
Performance Expectation,1.3.1.1.3,7.1.NL.PRSNT.3,Imitate a few culturally authentic gestures when greeting others and during leave takings.,KG-02,2025-03-21T22:37:20+00:00
