Item Type,Sequence,Human Code,Full Statement,Ed. Level,Last Modified
Strand,1,,Financial Literacy Standards Framework,,2020-09-18T12:47:54+00:00
Cluster,1.1,FLE.1,<b>Financial Responsibility and Decision Making Standard: </b><i>Demonstrate management of individual and family finances by applying reliable information and systematic decision making.</i>,,2020-09-18T12:54:09+00:00
Standard,1.1.1,FLE.1.1,Demonstrate taking responsibility for personal financial decisions.,,2020-09-09T11:08:47+00:00
Standard,1.1.2,FLE.1.2,Analyze financial information from a variety of reliable sources.,,2020-09-09T11:08:59+00:00
Standard,1.1.3,FLE.1.3,Utilize consumer protection laws and resources.,,2020-09-09T11:09:33+00:00
Standard,1.1.4,FLE.1.4,Make financial decision by systematically considering alternatives and consequences.,,2020-09-09T11:09:42+00:00
Standard,1.1.5,FLE.1.5,Demonstrate communication strategies for discussing financial issues. ,,2020-09-09T11:09:52+00:00
Standard,1.1.6,FLE.1.6,Demonstrate strategies to control personal information. ,,2020-09-09T11:10:00+00:00
Cluster,1.2,FLE.2,"<b>Relating Income and Careers Standard: </b><i>Analyze how education, income, career, and life choices relate to achieving financial goals.</i>",,2020-09-18T12:54:18+00:00
Standard,1.2.1,FLE.2.1,"Describe how career choice, education, skills, entrepreneurship, and economic conditions affect income.",,2020-09-09T11:10:36+00:00
Standard,1.2.2,FLE.2.2,Identify sources of personal income.,,2020-09-09T11:10:47+00:00
Standard,1.2.3,FLE.2.3,Explain how taxes and employee benefits relate to disposable income.,,2020-09-09T11:10:57+00:00
Cluster,1.3,FLE.3,<b>Planning and Money Management Standard: </b><i>Manage money effectively by developing financial goals and budgets.</i>,,2020-09-18T12:54:25+00:00
Standard,1.3.1,FLE.3.1,Demonstrate ability to use money management skills and strategies.,,2020-09-09T11:11:29+00:00
Standard,1.3.2,FLE.3.2,Develop a system for keeping and using financial records.,,2020-09-09T11:11:38+00:00
Standard,1.3.3,FLE.3.3,Analyze services of financial institutions.,,2020-09-09T11:11:48+00:00
Standard,1.3.4,FLE.3.4,Apply consumer skills to purchase decisions. ,,2020-09-09T11:11:59+00:00
Standard,1.3.5,FLE.3.5,"Connect the role of charitable giving, volunteer service, and philanthropy to community development and quality of life.",,2020-09-09T11:12:11+00:00
Standard,1.3.6,FLE.3.6,Develop a personal financial plan.,,2020-09-09T11:12:24+00:00
Standard,1.3.7,FLE.3.7,Examine the purpose and value of estate planning.,,2020-09-09T11:12:33+00:00
Cluster,1.4,FLE.4,<b>Managing Credit and Debt Standard: </b><i>Manage credit and debt to remain both creditworthy and financially secure.</i>,,2020-09-18T12:54:31+00:00
Standard,1.4.1,FLE.4.1,Analyze the costs and benefits of various types of credit.,,2020-09-09T11:13:01+00:00
Standard,1.4.2,FLE.4.2,Analyze factors that influence establishing and maintaining a good credit rating.,,2020-09-09T11:13:09+00:00
Standard,1.4.3,FLE.4.3,Analyze methods and benefits of avoiding or correcting credit and debt problems.,,2020-09-09T11:13:18+00:00
Standard,1.4.4,FLE.4.4,Analyze major consumer credit laws.,,2020-09-09T11:13:27+00:00
Cluster,1.5,FLE.5 ,"<b>Risk Management and Insurance Standard: </b><i>Analyze the features of insurance, its role in balancing risk and benefits in financial planning.</i>",,2020-09-18T12:54:42+00:00
Standard,1.5.1,FLE.5.1,Analyze the nature of personal financial risk and the importance of protecting against financial loss.,,2020-09-09T11:14:14+00:00
Standard,1.5.2,FLE.5.2,Analyze the need for and value of various types of insurance across stages of the life cycle.,,2020-09-09T11:14:21+00:00
Standard,1.5.3,FLE.5.3,"Apply concepts related to financial risk, protection from loss, and financial planning.",,2020-09-09T11:14:31+00:00
Cluster,1.6,FLE.6,<b>Saving and Investing Standard: </b><i>Analyze saving and investing to build long-term financial security and wealth.</i>,,2020-09-18T12:55:00+00:00
Standard,1.6.1,FLE.6.1,Explain how saving contributes to financial wellbeing.,,2020-09-09T11:15:02+00:00
Standard,1.6.2,FLE.6.2,Apply strategies for creating wealth and building assets.,,2020-09-09T11:15:10+00:00
Standard,1.6.3,FLE.6.3,Compare investment alternatives.,,2020-09-09T11:15:18+00:00
Standard,1.6.4,FLE.6.4,Describe how to buy and sell investments.,,2020-09-09T11:15:26+00:00
Standard,1.6.5,FLE.6.5,Explain how taxes affect the rate of return on investments.,,2020-09-09T11:15:35+00:00
Standard,1.6.6,FLE.6.6,Analyze how agencies that regulate financial markets protect investors.,,2020-09-09T11:15:44+00:00
Strand,2,,Financial Literacy Standards for end of 8th Grade,,2020-09-18T12:55:38+00:00
Cluster,2.1,8-1,<b>Financial Responsibility and Decision Making Standard: </b><i>Demonstrate management of individual and family finances by applying reliable information and systematic decision making.</i>,,2020-09-18T12:56:57+00:00
Standard,2.1.1,8-1.1,Demonstrate taking responsibility for personal financial decisions. ,,2020-09-09T11:18:09+00:00
Component,2.1.1.1,8-1.1.1,Describe the benefits of financial responsibility and the costs of financial irresponsibility.,,2020-09-09T11:18:23+00:00
Standard,2.1.2,8-1.2,Analyze financial information from a variety of reliable sources.,,2020-09-09T11:18:37+00:00
Component,2.1.2.1,8-1.2.1,Analyze online and printed sources of financial information by describing strengths and weaknesses of each.,,2020-09-09T11:18:50+00:00
Standard,2.1.3,8-1.3,Utilize consumer protection laws and resources.,,2020-09-09T11:19:00+00:00
Component,2.1.3.1,8-1.3.1,Identify the primary consumer protection agency in Indiana,,2020-09-09T11:19:12+00:00
Component,2.1.3.2,8-1.3.2,Describe unfair or deceptive business practices that are forbidden by consumer protection laws.,,2020-09-09T11:19:27+00:00
Component,2.1.3.3,8-1.3.3,Explain steps for resolving a consumer complaint.,,2020-09-09T11:19:36+00:00
