Item Type,Sequence,Human Code,Full Statement,Ed. Level,Last Modified
,1,,Grades K-12 Academic Standards,,2023-05-25T17:56:39+00:00
Grade Band,1.1,,K-2,KG-02,2023-10-06T23:33:29+00:00
Grade,1.1.1,,Kindergarten,KG,2023-10-16T21:44:07+00:00
Discipline,1.1.1.1,,Physical Science,KG,2023-10-02T21:32:34+00:00
Standard,1.1.1.1.1,K.P2U1.1,"Investigate how senses can detect light, sound, and vibrations even when they come from far away; use the collected evidence to develop and support an explanation.",KG,2023-10-19T17:04:41+00:00
Standard,1.1.1.1.2,K.P2U2.2,Design and evaluate a tool that helps people extend their senses.,KG,2023-10-19T17:05:25+00:00
Discipline,1.1.1.2,,Earth and Space Science,KG,2023-10-02T22:00:36+00:00
Standard,1.1.1.2.1,K.E1U1.3,"Observe, record, and ask questions about temperature, precipitation, and other weather data to identify patterns or changes in local weather.",KG,2023-10-19T18:45:01+00:00
Standard,1.1.1.2.2,K.E1U1.4,"Observe, describe, ask questions, and predict seasonal weather patterns; and how those patterns impact plants and animals (including humans).",KG,2023-10-19T18:45:15+00:00
Standard,1.1.1.2.3,K.E2U1.5,"Observe and ask questions about patterns of the motion of the sun, moon, and stars in the sky.",KG,2023-10-19T18:48:32+00:00
Discipline,1.1.1.3,,Life Science,KG,2023-10-02T21:32:39+00:00
Standard,1.1.1.3.1,K.L1U1.6,"Obtain, evaluate, and communicate information about how organisms use different body parts for survival.",KG,2023-10-19T18:48:46+00:00
Standard,1.1.1.3.2,K.L1U1.7,"Observe, ask questions and explain how specialized structures found on a variety of plants and animals (including humans) help them sense and respond to their environment.",KG,2023-10-19T18:49:07+00:00
Standard,1.1.1.3.3,K.L2U1.8,"Observe, ask questions, and explain the differences between the characteristics of living and non-living things.",KG,2023-10-19T18:49:20+00:00
Grade,1.1.2,,First Grade,01,2023-10-16T21:44:32+00:00
Discipline,1.1.2.1,,Physical Science,01,2023-10-02T21:32:18+00:00
Standard,1.1.2.1.1,1.P2U1.1,Plan and carry out investigations demonstrating the effect of placing objects made with different materials in the path of a beam of light and predict how objects with similar properties will affect the beam of light.,01,2024-05-07T01:01:45+00:00
Standard,1.1.2.1.2,1.P2U1.2,Use models to provide evidence that vibrating matter creates sound and sound can make matter vibrate.,01,2023-10-19T18:50:42+00:00
Standard,1.1.2.1.3,1.P3U1.3,"Plan and carry out investigations which demonstrate how equal forces can balance objects and how unequal forces can push, pull, or twist objects, making them change their speed, direction, or shape.",01,2024-05-07T01:02:04+00:00
Standard,1.1.2.1.4,1.P4U2.4,Design and evaluate ways to increase or reduce heat from friction between two objects.,01,2023-10-19T18:51:21+00:00
Discipline,1.1.2.2,,Earth and Space Science,01,2023-10-02T21:32:21+00:00
Standard,1.1.2.2.1,1.E1U1.5,"Obtain, evaluate, and communicate information about the properties of Earth materials and investigate how humans use natural resources in everyday life.",01,2023-10-19T18:51:36+00:00
Discipline,1.1.2.3,,Life Science,01,2023-10-02T21:32:25+00:00
Standard,1.1.2.3.1,1.L1U1.6,"Observe, describe, and predict life cycles of animals and plants.",01,2023-10-19T18:51:53+00:00
Standard,1.1.2.3.2,1.L2U2.7,Develop and use models about how living things use resources to grow and survive; design and evaluate habitats for organisms using earth materials.,01,2023-10-19T18:52:28+00:00
Standard,1.1.2.3.3,1.L2U1.8,Construct an explanation describing how organisms obtain resources from the environment including materials that are used again by other organisms.,01,2023-10-19T18:53:05+00:00
Standard,1.1.2.3.4,1.L3U1.9,"Obtain, evaluate, and communicate information to support an evidence-based explanation that plants and animals produce offspring of the same kind, but offspring are generally not identical to each other or their parents.",01,2023-10-19T18:53:28+00:00
Standard,1.1.2.3.5,1.L4U1.10,Develop a model to describe how animals and plants are classified into groups and subgroups according to their similarities.,01,2023-10-19T18:53:39+00:00
Standard,1.1.2.3.6,1.L4U3.11,Ask questions and explain how factors can cause species to go extinct.,01,2023-10-19T18:53:51+00:00
Grade,1.1.3,,Second Grade,02,2023-10-16T21:44:48+00:00
Discipline,1.1.3.1,,Physical Science,02,2023-09-29T16:55:25+00:00
Standard,1.1.3.1.1,2.P1U1.1,"Plan and carry out an investigation to determine that matter has mass, takes up space, and is recognized by its observable properties; use the collected evidence to develop and support an explanation.",02,2023-10-19T18:55:59+00:00
Standard,1.1.3.1.2,2.P1U1.2,Plan and carry out investigations to gather evidence to support an explanation on how heating or cooling can cause a phase change in matter.,02,2023-10-19T18:56:27+00:00
Standard,1.1.3.1.3,2.P4U1.3,"Obtain, evaluate and communicate information about ways heat energy can cause change in objects or materials.",02,2023-10-19T18:56:39+00:00
Discipline,1.1.3.2,,Earth and Space Science,02,2023-09-29T16:55:25+00:00
Standard,1.1.3.2.1,2.E1U1.4,Observe and investigate how wind and water change the shape of the land resulting in a variety of landforms.,02,2023-10-19T18:56:56+00:00
Standard,1.1.3.2.2,2.E1U1.5,"Develop and use models to represent that water can exist in different states and is found in oceans, glaciers, lakes, rivers, ponds, and the atmosphere.",02,2023-10-19T18:58:19+00:00
Standard,1.1.3.2.3,2.E1U2.6,"Analyze patterns in weather conditions of various regions of the world and design, test, and refine solutions to protect humans from severe weather conditions.",02,2023-10-19T18:58:34+00:00
Standard,1.1.3.2.4,2.E1U3.7,Construct an argument from evidence regarding positive and negative changes in water and land systems that impact humans and the environment.,02,2023-10-19T18:58:50+00:00
Standard,1.1.3.2.5,2.E2U1.8,Observe and explain the Sun’s position at different times during a twenty-four-hour period and changes in the apparent shape of the Moon from one night to another.,02,2023-10-19T18:59:04+00:00
Discipline,1.1.3.3,,Life Science,02,2023-09-29T16:55:25+00:00
Standard,1.1.3.3.1,2.L2U1.9,"Obtain, analyze, and communicate evidence that organisms need a source of energy, air, water, and certain temperature conditions to survive.",02,2023-10-19T19:00:20+00:00
Standard,1.1.3.3.2,2.L2U1.10,Develop a model representing how life on Earth depends on energy from the Sun and energy from other organisms.,02,2023-10-19T19:00:42+00:00
Grade Band,1.2,,3-5,03-05,2023-10-06T23:34:56+00:00
Grade,1.2.1,,Third Grade,03,2023-10-16T21:47:32+00:00
Discipline,1.2.1.1,,Physical Science,03,2023-09-29T16:54:58+00:00
Standard,1.2.1.1.1,3.P2U1.1,"Ask questions and investigate the relationship between light, objects, and the human eye.",03,2023-10-19T22:04:02+00:00
Standard,1.2.1.1.2,3.P2U1.2,Plan and carry out an investigation to explore how sound waves affect objects at varying distances.,03,2023-10-19T22:04:48+00:00
Standard,1.2.1.1.3,3.P4U1.3,Develop and use models to describe how light and sound waves transfer energy.,03,2023-10-19T22:05:07+00:00
Discipline,1.2.1.2,,Earth and Space Science,03,2023-09-29T16:54:58+00:00
Standard,1.2.1.2.1,3.E1U1.4,Construct an explanation describing how the Sun is the primary source of energy impacting Earth systems.,03,2023-10-19T22:05:27+00:00
Discipline,1.2.1.3,,Life Science,03,2023-09-29T16:54:58+00:00
Standard,1.2.1.3.1,3.L1U1.5,"Develop and use models to explain that plants and animals (including humans) have internal and external structures that serve various functions that aid in growth, survival, behavior, and reproduction.",03,2023-10-19T22:05:42+00:00
Standard,1.2.1.3.2,3.L1U1.6,Plan and carry out investigations to demonstrate ways plants and animals react to stimuli.,03,2023-10-19T22:05:54+00:00
Standard,1.2.1.3.3,3.L2U1.7,Develop and use system models to describe the flow of energy from the Sun to and among living organisms.,03,2023-10-19T22:06:59+00:00
Standard,1.2.1.3.4,3.L2U1.8,Construct an argument from evidence that organisms are interdependent.,03,2023-10-19T22:07:18+00:00
Grade,1.2.2,,Fourth Grade,04,2023-10-16T21:47:49+00:00
Discipline,1.2.2.1,,Physical Science,04,2023-09-29T16:55:05+00:00
Standard,1.2.2.1.1,4.P4U1.1,Develop and use a model to demonstrate how a system transfers energy from one object to another even when the objects are not touching.,04,2023-10-19T22:08:10+00:00
Standard,1.2.2.1.2,4.P4U1.2,Develop and use a model that explains how energy is moved from place to place through electric currents.,04,2023-10-19T22:08:46+00:00
Standard,1.2.2.1.3,4.P2U1.3,Develop and use a model to demonstrate magnetic forces.,04,2023-10-19T22:08:59+00:00
Standard,1.2.2.1.4,4.P4U3.4,Engage in argument from evidence on the use and impact of renewable and nonrenewable resources to generate electricity.,04,2023-10-19T22:09:13+00:00
Discipline,1.2.2.2,,Earth and Space Science,04,2023-09-29T16:55:05+00:00
Standard,1.2.2.2.1,4.E1U1.5,Use models to explain seismic waves and their effect on the Earth.,04,2023-10-19T22:10:02+00:00
Standard,1.2.2.2.2,4.E1U1.6,Plan and carry out an investigation to explore and explain the interactions between Earth’s major systems and the impact on Earth’s surface materials and processes.,04,2023-10-19T22:10:45+00:00
Standard,1.2.2.2.3,4.E1U1.7,"Develop and/or revise a model using various rock types, fossils location, and landforms to show evidence that Earth’s surface has changed over time.",04,2023-10-19T22:11:24+00:00
Standard,1.2.2.2.4,4.E1U1.8,"Collect, analyze, and interpret data to explain weather and climate patterns.",04,2023-10-19T22:11:48+00:00
Standard,1.2.2.2.5,4.E1U3.9,Construct and support an evidence-based argument about the availability of water and its impact on life.,04,2023-10-19T22:12:07+00:00
Standard,1.2.2.2.6,4.E1U2.10,Define problem(s) and design solution(s) to minimize the effects of natural hazards.,04,2023-10-19T22:12:24+00:00
