Item Type,Sequence,Human Code,Full Statement,Ed. Level,Last Modified
,1,,Anchor Statements,,2025-02-13T04:38:41+00:00
Domain,1.1,,Language,,2025-02-13T04:38:41+00:00
Anchor Statement,1.1.1,RF,"**Foundational Skills: Reading Language:** By the end of grade 5, develop understanding and conceptual knowledge of, phonics, syllabication patterns, letter-sound correspondences, word analysis, morphology, and other basic conventions of written English.",KG-05,2025-02-13T04:39:17+00:00
Anchor Statement,1.1.2,WF,"**Foundational Skills: Writing Language:** By the end of grade 5, develop understanding and conceptual knowledge of print, phonological processing, letter formation and handwriting, and other basic conventions of the English writing system.",KG-05,2025-02-13T04:39:23+00:00
Anchor Statement,1.1.3,SS,"**System and Structure of Language:** By the end of grade 12, demonstrate command of grammar and usage, capitalization, punctuation, and spelling.",KG-12,2025-02-13T04:40:09+00:00
Anchor Statement,1.1.4,KL,"**Knowledge of Language:** By the end of grade 12, apply knowledge of language and command of vocabulary to understand how language functions in different contexts, to make effective choices for meaning or style, and to comprehend more fully when reading or listening.",KG-12,2025-02-13T04:40:09+00:00
Anchor Statement,1.1.5,VL,"**Vocabulary Acquisition, Use and Literal Meaning:** By the end of grade 12, determine the meaning of unknown and multiple-meaning words using analysis of word parts (morphemes), word solving strategies, and consulting general and specialized reference materials, as appropriate.",KG-12,2025-02-13T04:40:09+00:00
Anchor Statement,1.1.6,VI,"**Vocabulary Acquisition, Use and Interpretative Meaning:** By the end of grade 12, interpret figurative and connotative word meanings, including shades of meaning based on word relationships and context.",KG-12,2025-02-13T04:40:09+00:00
Domain,1.2,,Reading,,2025-02-13T04:38:41+00:00
Anchor Statement,1.2.1,CR,"**Close Reading of Text:** By the end of grade 12, read closely to determine what the text says explicitly and to make logical inferences and relevant connections from it; cite specific textual evidence when writing or speaking to support conclusions drawn from the text.",KG-12,2025-02-13T04:40:09+00:00
Anchor Statement,1.2.2,CI,"**Central Ideas and Themes of Texts:** By the end of grade 12, determine central ideas or themes of a text and analyze their development; summarize the key supporting details and ideas.",KG-12,2025-02-13T04:40:09+00:00
Anchor Statement,1.2.3,IT,"**Interactions Among Text Elements:** By the end of grade 12, analyze how and why individuals, events, and ideas develop and interact over the course of a text.",KG-12,2025-02-13T04:40:09+00:00
Anchor Statement,1.2.4,TS,"**Text Structure:** By the end of grade 12, analyze the structure of texts, including how specific sentences, paragraphs, and larger portions of the text (e.g., a section, chapter, scene, or stanza) relate to each other and the whole.",KG-12,2025-02-13T04:40:09+00:00
Anchor Statement,1.2.5,PP,"**Perspective and Purpose in Texts:** By the end of grade 12, assess how perspective or purpose shapes the content and style of a text.",KG-12,2025-02-13T04:40:09+00:00
Anchor Statement,1.2.6,MF,"**Diverse Media and Formats:** By the end of grade 12, synthesize content presented in diverse media and formats, including visually and quantitatively, as well as in words.",KG-12,2025-02-13T04:40:09+00:00
Anchor Statement,1.2.7,AA,"**Analysis of an Argument:** By the end of grade 12, evaluate the argument and specific claims in a text, including the validity of the reasoning, the credibility and accuracy of each source as well as the relevance and sufficiency of the evidence.",KG-12,2025-02-13T04:40:09+00:00
Anchor Statement,1.2.8,CT,"**Comparison of Texts:** By the end of grade 12, analyze and reflect on how two or more texts address similar themes or topics in order to build knowledge or to compare the approaches the authors take.",KG-12,2025-02-13T04:40:09+00:00
Domain,1.3,,Writing,,2025-02-13T04:38:41+00:00
Anchor Statement,1.3.1,AW,"**Argumentative Writing:** By the end of grade 12, write arguments to support claims in an analysis of substantive topics or texts, using valid reasoning and relevant and sufficient evidence.",KG-12,2025-02-13T04:40:09+00:00
Anchor Statement,1.3.2,IW,"**Informative and Explanatory Writing:** By the end of grade 12, write informative/explanatory texts to examine and convey complex ideas and information clearly and accurately through the effective selection, organization, and analysis of content.",KG-12,2025-02-13T04:40:09+00:00
Anchor Statement,1.3.3,NW,"**Narrative Writing:** By the end of grade 12, write narratives to develop real or imagined experiences or events using effective technique, well-chosen details, and well-structured event sequences.",KG-12,2025-02-13T04:40:09+00:00
Anchor Statement,1.3.4,WP,"**Writing Process:** By the end of grade 12, develop and strengthen writing as needed by planning, revising, editing, rewriting, and publishing.",KG-12,2025-02-13T04:40:09+00:00
Anchor Statement,1.3.5,WR,"**Writing Research:** By the end of grade 12, conduct short as well as more sustained research projects, utilizing an inquiry-based research process, based on focused questions, demonstrating understanding of the subject under investigation.",KG-12,2025-02-13T04:40:09+00:00
Anchor Statement,1.3.6,SE,"**Sources of Evidence:** By the end of grade 12, gather relevant information and evidence from multiple sources to support analysis, reflection, and research, while assessing the credibility and accuracy of each source, and integrating the information while avoiding plagiarism.",KG-12,2025-02-13T04:40:09+00:00
Anchor Statement,1.3.7,RW,"**Range of Writing:** By the end of grade 12, write routinely over extended time frames (time for research, reflection, and revision) and shorter time frames (a single sitting or a day or two) for a range of tasks, purposes, and audiences.",KG-12,2025-02-13T04:40:09+00:00
Domain,1.4,,Speaking and Listening,,2025-02-13T04:38:41+00:00
Anchor Statement,1.4.1,PE,"**Participate Effectively:** By the end of grade 12, prepare for and participate effectively in a range of conversations and collaborations with diverse partners, building on others’ ideas and expressing their own clearly and persuasively.",KG-12,2025-02-13T04:40:09+00:00
Anchor Statement,1.4.2,II,"**Integrate Information:** By the end of grade 12, integrate and evaluate information presented in diverse media and formats, including visually, quantitatively, and orally.",KG-12,2025-02-13T04:40:09+00:00
Anchor Statement,1.4.3,ES,"**Evaluate Speakers:** By the end of grade 12, evaluate a speaker’s point of view, reasoning, and use of evidence and rhetoric.",KG-12,2025-02-13T04:40:09+00:00
Anchor Statement,1.4.4,PI,"**Present Information:** By the end of grade 12, present information, findings, and supporting evidence such that listeners can follow the line of reasoning and the organization, development, and style are appropriate to task, purpose, and audience.",KG-12,2025-02-13T04:40:09+00:00
Anchor Statement,1.4.5,UM,"**Use Media:** By the end of grade 12, make strategic use of digital media and visual displays of data to express information and enhance understanding of presentations.",KG-12,2025-02-13T04:40:09+00:00
Anchor Statement,1.4.6,AS,"**Adapt Speech:** By the end of grade 12, adapt speech to a variety of contexts and communicative tasks, demonstrating command of formal English when indicated or appropriate.",KG-12,2025-02-13T04:40:09+00:00
Grade,2,,Kindergarten,KG,2025-02-13T04:38:41+00:00
Domain,2.1,,Language,KG,2025-02-13T04:38:41+00:00
Anchor Statement,2.1.1,,Foundational Skills: Reading Language,KG,2025-02-13T04:38:41+00:00
Cluster,2.1.1.1,,Print Concepts,KG,2025-02-13T04:38:41+00:00
Standard,2.1.1.1.1,L.RF.K.1,Demonstrate understanding of the organization and basic features of print.,KG,2025-02-13T04:38:41+00:00
Component,2.1.1.1.1.1,L.RF.K.1.A,"Follow words from left to right, top to bottom, and page by page.",KG,2025-02-13T04:38:41+00:00
Component,2.1.1.1.1.2,L.RF.K.1.B,Recognize that spoken words are represented in written language by specific sequences of letters.,KG,2025-02-13T04:38:41+00:00
Component,2.1.1.1.1.3,L.RF.K.1.C,Understand that words are separated by spaces in print.,KG,2025-02-13T04:38:41+00:00
Component,2.1.1.1.1.4,L.RF.K.1.D,Recognize and name all upper- and lowercase letters of the alphabet.,KG,2025-02-13T04:38:41+00:00
Cluster,2.1.1.2,,Phonological Awareness,KG,2025-02-13T04:38:41+00:00
Standard,2.1.1.2.1,L.RF.K.2,"Demonstrate understanding of spoken words, syllables, and sounds (phonemes).",KG,2025-02-13T04:38:41+00:00
Component,2.1.1.2.1.1,L.RF.K.2.A,Recognize and produce rhyming words.,KG,2025-02-13T04:38:41+00:00
Component,2.1.1.2.1.2,L.RF.K.2.B,"Count, pronounce, blend, and segment syllables in spoken words.",KG,2025-02-13T04:38:41+00:00
Component,2.1.1.2.1.3,L.RF.K.2.C,Blend and segment onsets and rimes of single-syllable spoken words.,KG,2025-02-13T04:38:41+00:00
Component,2.1.1.2.1.4,L.RF.K.2.D,Orally repeat multi-syllable words and pronounce the separate syllables.,KG,2025-02-13T04:38:41+00:00
Component,2.1.1.2.1.5,L.RF.K.2.E,"Isolate and pronounce the initial, final, and medial sounds (phonemes) in spoken, single-syllable words, (simple syllables that do not include final /l/, /m/, /r/, or /x/ sounds and consonant blends).",KG,2025-02-13T04:38:41+00:00
Component,2.1.1.2.1.6,L.RF.K.2.F,"Add or substitute individual sounds (phonemes) in simple, one-syllable words to make new words.",KG,2025-02-13T04:38:41+00:00
Cluster,2.1.1.3,,Phonics and Word Recognition,KG,2025-02-13T04:38:41+00:00
Standard,2.1.1.3.1,L.RF.K.3,Know and apply grade-level phonics and word analysis skills in decoding and encoding words.,KG,2025-02-13T04:38:41+00:00
Component,2.1.1.3.1.1,L.RF.K.3.A,Demonstrate basic knowledge of one-to-one letter-sound correspondences by producing many of the most frequently used sounds of each consonant.,KG,2025-02-13T04:38:41+00:00
Component,2.1.1.3.1.2,L.RF.K.3.B,Associate the long and short sounds with the common spellings (graphemes) for the five major vowels.,KG,2025-02-13T04:38:41+00:00
Component,2.1.1.3.1.3,L.RF.K.3.C,Read high-frequency words and grade level irregular words with automaticity.,KG,2025-02-13T04:38:41+00:00
Component,2.1.1.3.1.4,L.RF.K.3.D,Recognize the parts of high-frequency words that are regular and the parts that are irregular.,KG,2025-02-13T04:38:41+00:00
Component,2.1.1.3.1.5,L.RF.K.3.E,"Distinguish between similarly spelled words by identifying the sounds of the letters that differ (e.g., nap and tap; cat and cot).",KG,2025-02-13T04:38:41+00:00
Cluster,2.1.1.4,,Fluency,KG,2025-02-13T04:38:41+00:00
Standard,2.1.1.4.1,L.RF.K.4,"Read emergent-reader texts (decodable texts, including words with one-to-one letter-sound correspondences) orally with sufficient decoding accuracy to support comprehension.",KG,2025-02-13T04:38:41+00:00
Anchor Statement,2.1.2,,Foundational Skills: Writing Language,KG,2025-02-13T04:38:41+00:00
Cluster,2.1.2.1,,Sound-Letter Basics,KG,2025-02-13T04:38:41+00:00
Standard,2.1.2.1.1,L.WF.K.1,Demonstrate command of the conventions of writing.,KG,2025-02-13T04:38:41+00:00
Component,2.1.2.1.1.1,L.WF.K.1.A,Match upper and lowercase letters.,KG,2025-02-13T04:38:41+00:00
Component,2.1.2.1.1.2,L.WF.K.1.B,"Write upper and lowercase letters, with reference to a model.",KG,2025-02-13T04:38:41+00:00
Component,2.1.2.1.1.3,L.WF.K.1.C,Write left to right and include a space between words.,KG,2025-02-13T04:38:41+00:00
Component,2.1.2.1.1.4,L.WF.K.1.D,"Identify the letters used to represent vowel phonemes and those used to represent consonants, knowing that every syllable has a vowel.",KG,2025-02-13T04:38:41+00:00
Component,2.1.2.1.1.5,L.WF.K.1.E,Write a common grapheme (letter or letter group) for each phoneme.,KG,2025-02-13T04:38:41+00:00
Component,2.1.2.1.1.6,L.WF.K.1.F,"Orally segment the phonemes in any single syllable, spoken word.",KG,2025-02-13T04:38:41+00:00
Cluster,2.1.2.2,,Spelling,KG,2025-02-13T04:38:41+00:00
Standard,2.1.2.2.1,L.WF.K.2,"Demonstrate command of the conventions of encoding and spelling common, regular, single-syllable words by:",KG,2025-02-13T04:38:41+00:00
Component,2.1.2.2.1.1,L.WF.K.2.A,"Representing phonemes, first to last, in simple words, using letters with a transparent relationship to sound (e.g., the “o” in “rope” may be spelled with a single letter, o).",KG,2025-02-13T04:38:41+00:00
Component,2.1.2.2.1.2,L.WF.K.2.B,Writing or selecting a missing initial or final consonant when spelling a CVC (consonant-vowel-consonant) word.,KG,2025-02-13T04:38:41+00:00
Component,2.1.2.2.1.3,L.WF.K.2.C,"Spelling VC (vowel-consonant) [at, in] and CVC [pet, mud] words with short vowel sounds.",KG,2025-02-13T04:38:41+00:00
Component,2.1.2.2.1.4,L.WF.K.2.D,Writing frequently used words accurately.,KG,2025-02-13T04:38:41+00:00
Component,2.1.2.2.1.5,L.WF.K.2.E,Attempting phonetic spellings of unknown words.,KG,2025-02-13T04:38:41+00:00
Component,2.1.2.2.1.6,L.WF.K.2.F,"Writing initial and final consonant blends (must, slab, plump).",KG,2025-02-13T04:38:41+00:00
Cluster,2.1.2.3,,"Sentence Composition (Grammar, Syntax, and Punctuation)",KG,2025-02-13T04:38:41+00:00
Standard,2.1.2.3.1,L.WF.K.3,Demonstrate command of the conventions of sentence composition.,KG,2025-02-13T04:38:41+00:00
Component,2.1.2.3.1.1,L.WF.K.3.A,"Repeat a sentence, identifying how many words are in the sentence.",KG,2025-02-13T04:38:41+00:00
Component,2.1.2.3.1.2,L.WF.K.3.B,Write simple sentences.,KG,2025-02-13T04:38:41+00:00
Component,2.1.2.3.1.3,L.WF.K.3.C,"Capitalize the first word in a sentence, capitalize proper names, and include spaces between words.",KG,2025-02-13T04:38:41+00:00
Component,2.1.2.3.1.4,L.WF.K.3.D,Use end punctuation.,KG,2025-02-13T04:38:41+00:00
