Item Type,Sequence,Human Code,Full Statement,Ed. Level,Last Modified
Grade,1,,Kindergarten,KG,2023-10-23T17:11:57+00:00
,1.1,,Reading Foundational Skills,KG,2023-10-23T17:11:57+00:00
Skill,1.1.1,EL.K.RF.1,Phonological Awareness,KG,2023-12-15T18:21:53+00:00
Sub-skill,1.1.1.1,EL.K.RF.1a,Produce all individual phonemes in words using accurate articulation.,KG,2023-12-15T18:21:53+00:00
Sub-skill,1.1.1.2,EL.K.RF.1b,Produce initial and final sounds of words using accurate articulation.,KG,2023-12-15T18:21:53+00:00
Sub-skill,1.1.1.3,EL.K.RF.1c,Identify the initial and final sounds (not letters) of a spoken word.,KG,2023-12-15T18:21:53+00:00
Sub-skill,1.1.1.4,EL.K.RF.1d,"Produce rhyming words and short, simple, rhyming phrases and songs using accurate pronunciation as well as expressive phrasing and intonation.",KG,2023-12-15T18:21:53+00:00
Sub-skill,1.1.1.5,EL.K.RF.1e,Identify rhyming words in response to an oral prompt.,KG,2023-12-15T18:21:53+00:00
Sub-skill,1.1.1.6,EL.K.RF.1f,Segment one-syllable words into its phonemes.,KG,2023-12-15T18:21:53+00:00
Sub-skill,1.1.1.7,EL.K.RF.1g,Blend two or three spoken syllables to produce words.,KG,2023-12-15T18:21:53+00:00
Sub-skill,1.1.1.8,EL.K.RF.1h,"Produce and blend the initial, medial, and final sounds of CVC words using accurate articulation and pronunciation.",KG,2023-12-15T18:21:53+00:00
Sub-skill,1.1.1.9,EL.K.RF.1i,Blend spoken sounds to produce words.,KG,2023-12-15T18:21:53+00:00
Sub-skill,1.1.1.10,EL.K.RF.1j,"Discriminate between initial, medial, and final spoken sounds within a word.",KG,2023-12-15T18:21:53+00:00
Sub-skill,1.1.1.11,EL.K.RF.1k,"Produce and blend the initial, medial, and final sounds of grade- appropriate words using accurate articulation and pronunciation.",KG,2023-12-15T18:21:53+00:00
Sub-skill,1.1.1.12,EL.K.RF.1l,"Produce new words when initial sound(s), including digraphs, are changed (i.e., word families).",KG,2023-12-15T18:21:53+00:00
Sub-skill,1.1.1.13,EL.K.RF.1m,Orally form words by substituting simple onsets (/c/) with given rimes (/at/).,KG,2023-12-15T18:21:53+00:00
Skill,1.1.2,EL.K.RF.2,Print Concepts,KG,2023-12-15T18:21:53+00:00
Sub-skill,1.1.2.1,EL.K.RF.2a,"Demonstrate the command of left to right, top to bottom directionality, and return sweep when ""reading"" books.",KG,2023-12-15T18:21:53+00:00
