Item Type,Sequence,Human Code,Full Statement,Ed. Level,Last Modified
,1,,Standards by Disciplinary Core Ideas,,2023-06-06T21:33:05+00:00
Grade Band,1.1,,Primary School (K-2),KG-02,2023-09-12T17:23:30+00:00
Course,1.1.1,,Kindergarten,KG,2023-09-12T17:22:08+00:00
Topic,1.1.1.1,,Forces and Interactions: Pushes and Pulls,KG,2023-09-12T17:22:08+00:00
Performance Expectation,1.1.1.1.1,K-PS2-1,Plan and conduct an investigation to compare the effects of different strengths or different directions of pushes and pulls on the motion of an object.,KG,2023-09-12T17:22:08+00:00
Performance Expectation,1.1.1.1.2,K-PS2-2,"Analyze data to determine if a design solution works as intended to change the speed or direction of an object with a push or a pull. Interdependent Relationships in Ecosystems: Animals, Plants, and Their",KG,2023-09-12T17:22:08+00:00
Topic,1.1.1.2,,Environment,KG,2023-09-12T17:22:08+00:00
Performance Expectation,1.1.1.2.1,K-LS1-1,Use observations to describe patterns of what plants and animals (including humans) need to survive.,KG,2023-09-12T17:22:08+00:00
Performance Expectation,1.1.1.2.2,K-ESS2-2,Construct an argument supported by evidence for how plants and animals (including humans) can change the environment to meet their needs.,KG,2023-09-12T17:22:08+00:00
Performance Expectation,1.1.1.2.3,K-ESS3-1,Use a model to represent the relationship between the needs of different plants or animals (including humans) and the places they live.,KG,2023-09-12T17:22:08+00:00
Performance Expectation,1.1.1.2.4,K-ESS3-3,"Communicate solutions that will reduce the impact of humans on the land, water, air, and/or other living things in the local environment.",KG,2023-09-12T17:22:08+00:00
Topic,1.1.1.3,,Weather and Climate,KG,2023-09-12T17:22:08+00:00
Performance Expectation,1.1.1.3.1,K-PS3-1,Make observations to determine the effect of sunlight on Earth’s surface.,KG,2023-09-12T17:22:08+00:00
Performance Expectation,1.1.1.3.2,K-PS3-2,Use tools and materials to design and build a structure that will reduce the warming effect of sunlight on an area.,KG,2023-09-12T17:22:08+00:00
Performance Expectation,1.1.1.3.3,K-ESS2-1,Use and share observations of local weather conditions to describe patterns over time.,KG,2023-09-12T17:22:08+00:00
Performance Expectation,1.1.1.3.4,K-ESS3-2,"Ask questions to obtain information about the purpose of weather forecasting to prepare for, and respond to, severe weather.",KG,2023-09-12T17:22:08+00:00
Topic,1.1.1.4,,Engineering Design,KG,2023-09-12T17:22:08+00:00
Performance Expectation,1.1.1.4.1,K-2-ETS1-1,"Ask questions, make observations, and gather information about a situation people want to change to define a simple problem that can be solved through the development of a new or improved object or tool.",KG,2023-09-12T17:22:08+00:00
Performance Expectation,1.1.1.4.2,K-2-ETS1-2,"Develop a simple sketch, drawing, or physical model to illustrate how the shape of an object helps it function as needed to solve a given problem.",KG,2023-09-12T17:22:08+00:00
Performance Expectation,1.1.1.4.3,K-2-ETS1-3,Analyze data from tests of two objects designed to solve the same problem to compare the strengths and weaknesses of how each performs.,KG,2023-09-12T17:22:08+00:00
Course,1.1.2,,1st Grade,01,2023-09-12T17:22:16+00:00
Topic,1.1.2.1,,Waves: Light and Sound,01,2023-09-12T17:22:16+00:00
Performance Expectation,1.1.2.1.1,1-PS4-1,Plan and conduct investigations to provide evidence that vibrating materials can make sound and that sound can make materials vibrate.,01,2023-09-12T17:22:16+00:00
Performance Expectation,1.1.2.1.2,1-PS4-2,Make observations to construct an evidence-based account that objects can be seen only when illuminated.,01,2023-09-12T17:22:16+00:00
Performance Expectation,1.1.2.1.3,1-PS4-3,Plan and conduct an investigation to determine the effect of placing objects made with different materials in the path of a beam of light.,01,2023-09-12T17:22:16+00:00
