Item Type,Sequence,Human Code,Full Statement,Ed. Level,Last Modified
Discipline,1,WI.TS,Teacher Development and Licensure,,2020-02-26T14:04:09+00:00
Domain,1.1,WI.TS,Professional Learning and Ethical Practice,,2020-02-26T14:52:19+00:00
Standard,1.1.1,WI.TS.9,"The teacher engages in ongoing professional learning. The teacher uses evidence to continuously evaluate the teacher’s practice, including the effects of the teacher’s choices and actions on pupils, their families, other educators, and the community. The teacher adapts the teacher’s practice to meet the needs of each pupil.",,2020-02-26T14:52:34+00:00
Domain,1.2,WI.TS,Instructional Strategies,,2020-02-26T14:51:51+00:00
Standard,1.2.1,WI.TS.8,"The teacher plans instruction that supports every pupil in meeting rigorous learning goals by drawing upon knowledge of content areas, curriculum, cross-disciplinary skills, pedagogy, pupils, and pupils’ communities.",,2020-02-26T14:52:06+00:00
Domain,1.3,WI.TS,Planning for Instruction,,2020-02-26T14:51:20+00:00
Standard,1.3.1,WI.TS.7,"The teacher plans instruction that supports every pupil in meeting rigorous learning goals by drawing upon knowledge of content areas, curriculum, cross-disciplinary skills, pedagogy, pupils, and pupils’ communities.",,2020-02-26T14:51:38+00:00
Domain,1.4,WI.TS,Application of Content,,2020-02-26T14:49:53+00:00
Standard,1.4.1,WI.TS.5,"The teacher understands how to connect concepts and use differing perspectives to engage pupils in critical thinking, creativity, and collaborative problem solving related to authentic local and global issues.",,2020-02-26T14:50:10+00:00
Domain,1.5,WI.TS,Pupil Development,,2020-02-26T14:04:34+00:00
Standard,1.5.1,WI.TS.1,"The teacher understands how pupils grow and develop, recognizing that patterns of learning and development vary individually within and across the cognitive, linguistic, social, emotional, and physical areas. The teacher designs and implements developmentally appropriate and challenging learning experiences for pupils.",,2020-02-26T14:04:57+00:00
Domain,1.6,WI.TS,Content Knowledge,,2020-02-26T14:49:14+00:00
Standard,1.6.1,WI.TS.4,"The teacher understands the central concepts, tools of inquiry, and structures of each discipline he or she teaches. The teacher creates learning experiences that make the discipline accessible and meaningful for pupils to assure mastery of the content.",,2020-02-26T14:49:33+00:00
Domain,1.7,WI.TS,Learning Differences,,2020-02-26T14:05:13+00:00
Standard,1.7.1,WI.TS.2,The teacher uses his or her understanding of individual pupil differences and diverse cultures and communities to ensure inclusive learning environments that enable each pupil to meet high standards.,,2020-02-26T14:05:34+00:00
Domain,1.8,WI.TS,Leadership and Collaboration,,2020-02-26T14:52:44+00:00
Standard,1.8.1,WI.TS.10,"The teacher seeks appropriate leadership roles and opportunity in order to take responsibility for pupil learning, to collaborate with pupils, their families, educators, and the community, and to advance the profession.",,2020-02-26T14:53:09+00:00
Domain,1.9,WI.TS,Assessment,,2020-02-26T14:50:51+00:00
Standard,1.9.1,WI.TS.6,"The teacher understands and uses multiple methods of assessment to engage pupils in their own growth, to monitor pupil progress, and to guide the teacher’s and pupil’s decision making.",,2020-02-26T14:51:06+00:00
Domain,1.10,WI.TS,Learning Environments,,2020-02-26T14:47:28+00:00
Standard,1.10.1,WI.TS.3,"The teacher works with others to create environments that support individual and collaborative learning, and that encourage positive social interaction, active engagement in learning, and self-motivation.",,2020-02-26T14:47:54+00:00
