Item Type,Sequence,Human Code,Full Statement,Ed. Level,Last Modified
Grade Band,1,,Grades K-2,KG-02,2025-03-06T21:30:53+00:00
Concept,1.1,,Computing Systems,KG-02,2025-03-06T21:30:53+00:00
Subconcept,1.1.1,,Devices,KG-02,2025-03-06T21:30:53+00:00
Standard,1.1.1.1,K-2.ComputingSystems.Devices,People use computing devices to perform a variety of tasks accurately and quickly. Computing devices interpret and follow the instructions they are given literally.,KG-02,2025-03-06T21:30:53+00:00
Subconcept,1.1.2,,Hardware and Software,KG-02,2025-03-06T21:30:53+00:00
Standard,1.1.2.1,K-2.ComputingSystems.Hardware and Software,"A computing system is composed of hardware and software. Hardware consists of physical components, while software provides instructions for the system. These instructions are represented in a form that a computer can understand.",KG-02,2025-03-06T21:30:53+00:00
Subconcept,1.1.3,,Troubleshooting,KG-02,2025-03-06T21:30:53+00:00
Standard,1.1.3.1,K-2.ComputingSystems.Troubleshooting,Computing systems might not work as expected because of hardware or software problems. Clearly describing a problem is the first step toward finding a solution.,KG-02,2025-03-06T21:30:53+00:00
Concept,1.2,,Networks and the Internet,KG-02,2025-03-06T21:30:53+00:00
Subconcept,1.2.1,,Network Communication and Organization,KG-02,2025-03-06T21:30:53+00:00
Standard,1.2.1.1,K-2.Networks and the Internet.Network Communication and Organization,"Computer networks can be used to connect people to other people, places, information, and ideas. The Internet enables people to connect with others worldwide through many different points of connection.",KG-02,2025-03-06T21:30:53+00:00
Subconcept,1.2.2,,Cybersecurity,KG-02,2025-03-06T21:30:53+00:00
Standard,1.2.2.1,K-2.Networks and the Internet.Cybersecurity,"Connecting devices to a network or the Internet provides great benefit, care must be taken to use authentication measures, such as strong passwords, to protect devices and information from unauthorized access.",KG-02,2025-03-06T21:30:53+00:00
Concept,1.3,,Data and Analysis,KG-02,2025-03-06T21:30:53+00:00
Subconcept,1.3.1,,Collection,KG-02,2025-03-06T21:30:53+00:00
Standard,1.3.1.1,K-2.Data and Analysis.Collection,Everyday digital devices collect and display data over time. The collection and use of data about individuals and the world around them is a routine part of life and influences how people live.,KG-02,2025-03-06T21:30:53+00:00
Subconcept,1.3.2,,Storage,KG-02,2025-03-06T21:30:53+00:00
Standard,1.3.2.1,K-2.Data and Analysis.Storage,"Computers store data that can be retrieved later. Identical copies of data can be made and stored in multiple locations for a variety of reasons, such as to protect against loss.",KG-02,2025-03-06T21:30:53+00:00
Subconcept,1.3.3,,Visualization and Transformation,KG-02,2025-03-06T21:30:53+00:00
Standard,1.3.3.1,K-2.Data and Analysis.Visualization and Transformation,"Variables Data can be displayed for communication in many ways. People use  computers to transform data into new forms, such as graphs and charts.",KG-02,2025-03-10T13:31:47+00:00
Subconcept,1.3.4,,Inference and Models,KG-02,2025-03-06T21:30:53+00:00
Standard,1.3.4.1,K-2.Data and Analysis.Inference and Models,Data can be used to make inferences or predictions about the world.,KG-02,2025-03-06T21:30:53+00:00
Concept,1.4,,Algorithms and Programming,KG-02,2025-03-06T21:30:53+00:00
Subconcept,1.4.1,,Algorithms,KG-02,2025-03-06T21:30:53+00:00
Standard,1.4.1.1,K-2.Algorithms and Programming.Algorithms,People follow and create processes as part of daily life. Many of these processes can be expressed as algorithms that computers can follow.,KG-02,2025-03-06T21:30:53+00:00
Subconcept,1.4.2,,Variables,KG-02,2025-03-06T21:30:53+00:00
Standard,1.4.2.1,K-2.Algorithms and Programming.Variables,"Information in the real world can be represented in computer programs. Programs store and manipulate data, such as numbers, words, colors, and images. The type of data determines the actions and attributes associated with it.",KG-02,2025-03-10T13:32:32+00:00
Subconcept,1.4.3,,Control,KG-02,2025-03-06T21:30:53+00:00
Standard,1.4.3.1,K-2.Algorithms and Programming.Control,Computers follow precise sequences of instructions that automate tasks. Program execution can also be non-sequential by repeating patterns of instructions and using events to initiate instructions.,KG-02,2025-03-10T13:32:53+00:00
Subconcept,1.4.4,,Modularity,KG-02,2025-03-06T21:30:53+00:00
Standard,1.4.4.1,K-2.Algorithms and Programming.Modularity,"Complex tasks can be broken down into simpler instructions, some of which can be broken down even further. Likewise, instructions can be combined to accomplish complex tasks.",KG-02,2025-03-06T21:30:53+00:00
Subconcept,1.4.5,,Program Development,KG-02,2025-03-06T21:30:53+00:00
Standard,1.4.5.1,K-2.Algorithms and Programming.Program Development,"People develop programs collaboratively and for a purpose, such as expressing ideas or addressing problems.",KG-02,2025-03-06T21:30:53+00:00
Concept,1.5,,Impacts of Computing,KG-02,2025-03-06T21:30:53+00:00
Subconcept,1.5.1,,Culture,KG-02,2025-03-06T21:30:53+00:00
Standard,1.5.1.1,K-2.Impacts of Computing.Culture,"Computing technology has positively and negatively changed the way people live and work. Computing devices can be used for entertainment and as productivity tools, and they can affect relationships and lifestyles.",KG-02,2025-03-06T21:30:53+00:00
Subconcept,1.5.2,,Social Interactions,KG-02,2025-03-06T21:30:53+00:00
Standard,1.5.2.1,K-2.Impacts of Computing.Social Interactions,"Computing has positively and negatively changed the way people communicate. People can have access to information and each other instantly, anywhere, and at any time, but they are at the risk of cyberbullying and reduced privacy.",KG-02,2025-03-06T21:30:53+00:00
Subconcept,1.5.3,,"Safety, Law, and, Ethics",KG-02,2025-03-06T21:30:53+00:00
Standard,1.5.3.1,K-2.Impacts of Computing.Safety Law and Ethics,"People use computing technology in ways that can help or hurt themselves or others. Harmful behaviors, such as sharing private information and interacting with strangers, should be recognized and avoided.",KG-02,2025-03-06T21:30:53+00:00
Practice,1.6,,K-2 Practices,KG-02,2025-03-06T21:30:53+00:00
Core Practice,1.6.1,K-2.P1,Fostering an Inclusive Computing Culture,KG-02,2025-03-06T21:30:53+00:00
Standard,1.6.1.1,K-2.P1.1,Include the unique perspectives of others and reflect on one’s own perspectives when designing and developing computational products.,KG-02,2025-03-06T21:30:53+00:00
Standard,1.6.1.2,K-2.P1.2,Address the needs of diverse end users during the design process to produce artifacts with broad accessibility and usability.,KG-02,2025-03-06T21:30:53+00:00
Standard,1.6.1.3,K-2.P1.3,"Employ self- and peer-advocacy to address bias in interactions, product design, and development methods.",KG-02,2025-03-06T21:30:53+00:00
Core Practice,1.6.2,K-2.P2,Collaborating Around Computing,KG-02,2025-03-06T21:30:53+00:00
Standard,1.6.2.1,K-2.P2.1,"Cultivate working relationships with individuals possessing diverse perspectives, skills, and personalities.",KG-02,2025-03-06T21:30:53+00:00
Standard,1.6.2.2,K-2.P2.2,"Create team norms, expectations, and equitable workloads to increase efficiency and effectiveness.",KG-02,2025-03-06T21:30:53+00:00
Standard,1.6.2.3,K-2.P2.3,"Solicit and incorporate feedback from, and provide constructive feedback to, team members and other stakeholders.",KG-02,2025-03-06T21:30:53+00:00
Standard,1.6.2.4,K-2.P2.4,Evaluate and select technological tools that can be used to collaborate on a project.,KG-02,2025-03-06T21:30:53+00:00
Core Practice,1.6.3,K-2.P3,Recognizing and Defining Computational Problems,KG-02,2025-03-06T21:30:53+00:00
Standard,1.6.3.1,K-2.P3.1,"Identify complex, interdisciplinary, real-world problems that can be solved computationally.",KG-02,2025-03-06T21:30:53+00:00
Standard,1.6.3.2,K-2.P3.2,Decompose complex real-world problems into manageable subproblems that could integrate existing solutions or procedures.,KG-02,2025-03-06T21:30:53+00:00
Standard,1.6.3.3,K-2.P3.3,Evaluate whether it is appropriate and feasible to solve a problem computationally.,KG-02,2025-03-06T21:30:53+00:00
Core Practice,1.6.4,K-2.P4,Developing and Using Abstractions,KG-02,2025-03-06T21:30:53+00:00
