Item Type,Sequence,Human Code,Full Statement,Ed. Level,Last Modified
Standard,1,5.1,Principles and Documents of Government,,2024-01-26T23:29:23+00:00
Grade,1.1,5.1.PK,Pre-K,PK,2024-01-29T17:31:02+00:00
Element,1.1.1,5.1.PK.A,*Rule of Law* States rules.,PK,2024-01-26T23:29:23+00:00
Element,1.1.2,5.1.PK.B,*Laws and Government* Intentionally blank,PK,2024-01-26T23:29:23+00:00
Element,1.1.3,5.1.PK.C,*Principles and Ideals that Shape Government* Intentionally blank,PK,2024-01-26T23:29:23+00:00
Element,1.1.4,5.1.PK.D,*Documents and Ideals that Shape Pennsylvania and US Government* Intentionally blank,PK,2024-01-26T23:29:23+00:00
Element,1.1.5,5.1.PK.E,*Individual Rights* Intentionally blank,PK,2024-01-26T23:29:23+00:00
Element,1.1.6,5.1.PK.F,"*Symbols* Identify basic American symbols (e.g., American flag).",PK,2024-01-26T23:29:23+00:00
Grade,1.2,5.1.K,Kindergarten,KG,2024-01-29T17:31:09+00:00
Element,1.2.1,5.1.K.A,*Rule of Law* Identify the purpose of a rule.,KG,2024-01-26T23:29:23+00:00
Element,1.2.2,5.1.K.B,*Laws and Government* Intentionally blank,KG,2024-01-26T23:29:23+00:00
Element,1.2.3,5.1.K.C,*Principles and Ideals that Shape Government* Intentionally blank,KG,2024-01-26T23:29:23+00:00
Element,1.2.4,5.1.K.D,*Documents and Ideals that Shape Pennsylvania and US Government* Intentionally blank,KG,2024-01-26T23:29:23+00:00
Element,1.2.5,5.1.K.E,*Individual Rights* Intentionally blank,KG,2024-01-26T23:29:23+00:00
Element,1.2.6,5.1.K.F,*Symbols* Identify significant American holidays.,KG,2024-01-26T23:29:23+00:00
Grade,1.3,5.1.1,Grade 1,01,2024-01-29T17:31:14+00:00
Element,1.3.1,5.1.1.A,*Rule of Law* Explain the purposes of rules in the classroom,01,2024-01-26T23:29:23+00:00
Element,1.3.2,5.1.1.B,*Laws and Government* Explain the importance of rules in the classroom.,01,2024-01-26T23:29:23+00:00
Element,1.3.3,5.1.1.C,*Principles and Ideals that Shape Government* Intentionally blank,01,2024-01-26T23:29:23+00:00
Element,1.3.4,5.1.1.D,*Documents and Ideals that Shape Pennsylvania and US Government* Intentionally blank,01,2024-01-26T23:29:23+00:00
Element,1.3.5,5.1.1.E,*Individual Rights* Intentionally blank,01,2024-01-26T23:29:23+00:00
Element,1.3.6,5.1.1.F,"*Symbols* Identify state symbols, national symbols, and national holidays.",01,2024-01-26T23:29:23+00:00
Grade,1.4,5.1.2,Grade 2,02,2024-01-29T17:31:18+00:00
Element,1.4.1,5.1.2.A,*Rule of Law* Explain the purposes of rules in the classroom and school community,02,2024-01-26T23:29:23+00:00
Element,1.4.2,5.1.2.B,*Laws and Government* Explain the importance of rules in the classroom and school community.,02,2024-01-26T23:29:23+00:00
Element,1.4.3,5.1.2.C,*Principles and Ideals that Shape Government* Intentionally blank,02,2024-01-26T23:29:23+00:00
Element,1.4.4,5.1.2.D,*Documents and Ideals that Shape Pennsylvania and US Government* Intentionally blank,02,2024-01-26T23:29:23+00:00
Element,1.4.5,5.1.2.E,*Individual Rights* Intentionally blank,02,2024-01-26T23:29:23+00:00
Element,1.4.6,5.1.2.F,"*Symbols* Identify state symbols, national symbols, and national holidays.",02,2024-01-26T23:29:23+00:00
Grade,1.5,5.1.3,Grade 3,03,2024-01-29T17:31:25+00:00
Element,1.5.1,5.1.3.A,"*Rule of Law* Explain the purposes of rules, laws, and consequences.",03,2024-01-26T23:29:23+00:00
Element,1.5.2,5.1.3.B,"*Laws and Government* Explain rules and laws for the classroom, school, and community.",03,2024-01-26T23:29:23+00:00
Element,1.5.3,5.1.3.C,"*Principles and Ideals that Shape Government* Define the principles and ideals shaping local government.
* Liberty / Freedom
* Democracy
* Justice
* Equality",03,2024-01-26T23:29:23+00:00
Element,1.5.4,5.1.3.D,"*Documents and Ideals that Shape Pennsylvania and US Government* Identify key ideas about government found in significant documents:
* Declaration of Independence
* United States Constitution
* Bill of Rights
* Pennsylvania Constitution Individual Rights",03,2024-01-26T23:29:23+00:00
Element,1.5.5,5.1.3.E,*Individual Rights* Intentionally Blank,03,2024-01-26T23:29:23+00:00
Element,1.5.6,5.1.3.F,"*Symbols* Identify state symbols, national symbols, and national holidays.",03,2024-01-26T23:29:23+00:00
Grade,1.6,5.1.4,Grade 4,04,2024-01-29T17:31:32+00:00
Element,1.6.1,5.1.4.A,*Rule of Law* Examine school rules and consequences.,04,2024-01-26T23:29:23+00:00
Element,1.6.2,5.1.4.B,"*Laws and Government* Explain rules and laws for the classroom, school, community, and state.",04,2024-01-26T23:29:23+00:00
Element,1.6.3,5.1.4.C,"*Principles and Ideals that Shape Government* Explain the principles and ideals shaping local and state government.
* Liberty / Freedom
* Democracy
* Justice
* Equality",04,2024-01-26T23:29:23+00:00
Element,1.6.4,5.1.4.D,"*Documents and Ideals that Shape Pennsylvania and US Government* Identify key ideas about government found in significant documents: 
* Declaration of Independence 
* United States Constitution 
* Bill of Rights 
* Pennsylvania Constitution.",04,2024-01-26T23:31:11+00:00
Element,1.6.5,5.1.4.E,*Individual Rights* Intentionally Blank,04,2024-01-26T23:29:23+00:00
Element,1.6.6,5.1.4.F,"*Symbols* Identify state symbols, national symbols, and national holidays.",04,2024-01-26T23:29:23+00:00
Grade,1.7,5.1.5,Grade 5,05,2024-01-29T17:31:38+00:00
Element,1.7.1,5.1.5.A,"*Rule of Law* Understand the rule of law in protecting property rights, individual rights and the common good.",05,2024-01-26T23:29:23+00:00
Element,1.7.2,5.1.5.B,"*Laws and Government* Describe the basic purposes of government in the classroom, school, community, state, and nation.",05,2024-01-26T23:29:23+00:00
Element,1.7.3,5.1.5.C,"*Principles and Ideals that Shape Government* Describe the principles and ideals shaping local state, and national government.
* Liberty / Freedom
* Democracy
* Justice
* Equality",05,2024-01-26T23:29:23+00:00
Element,1.7.4,5.1.5.D,"*Documents and Ideals that Shape Pennsylvania and US Government* Interpret key ideas about government found in significant documents: 
* Declaration of Independence
* United States Constitution
* Bill of Rights
* Pennsylvania Constitution",05,2024-01-26T23:32:36+00:00
Element,1.7.5,5.1.5.E,*Individual Rights* Identify the individual rights guaranteed by the PA Constitution and the U.S. Constitution.,05,2024-01-26T23:29:23+00:00
Element,1.7.6,5.1.5.F,"*Symbols* Explain the significance of state symbols, national symbols, and national holidays.",05,2024-01-26T23:29:23+00:00
Grade,1.8,5.1.6,Grade 6,06,2024-01-29T17:31:44+00:00
Element,1.8.1,5.1.6.A,"*Rule of Law* Explain the effect of the rule of law in protecting property rights, individual rights, and the common good.",06,2024-01-26T23:29:23+00:00
Element,1.8.2,5.1.6.B,*Laws and Government* Compare and contrast a direct democracy with a republican form of government.,06,2024-01-26T23:29:23+00:00
Element,1.8.3,5.1.6.C,"*Principles and Ideals that Shape Government* Explain how the principles and ideals shape local, state, and national government.
* Liberty / Freedom
* Democracy
* Justice
* Equality",06,2024-01-26T23:29:23+00:00
Element,1.8.4,5.1.6.D,"*Documents and Ideals that Shape Pennsylvania and US Government* Explain the basic principles and ideals within documents and the roles played by the framers as found in significant documents: 
* Declaration of Independence 
* United States Constitution
* Bill of Rights
* Pennsylvania Constitution",06,2024-01-26T23:33:01+00:00
Element,1.8.5,5.1.6.E,*Individual Rights* Summarize individual rights guaranteed by the PA Constitution and the U.S. Constitution.,06,2024-01-26T23:29:23+00:00
Element,1.8.6,5.1.6.F,*Symbols* Describe how citizens and leaders use political symbols.,06,2024-01-26T23:29:23+00:00
Grade,1.9,5.1.7,Grade 7,07,2024-01-29T17:31:49+00:00
Element,1.9.1,5.1.7.A,"*Rule of Law* Cite functional examples of how the rule of law protects property rights, individual rights, and the common good.",07,2024-01-26T23:29:23+00:00
