Item Type,Sequence,Human Code,Full Statement,Ed. Level,Last Modified
,1,,K-12 Social Studies Framework,,2023-11-19T00:00:00+00:00
Grade Band,1.1,,NYS K-8 Social Studies Framework,,2023-11-19T00:00:00+00:00
Grade,1.1.1,,Grade K: Self and Others,,2023-11-19T00:00:00+00:00
Domain,1.1.1.1,,Individual Development and Cultural Identity,,2023-11-19T00:00:00+00:00
Standard,1.1.1.1.1,K.1,"Children’s sense of self is shaped by experiences that are unique to them and their families, and by common experiences shared by a community or nation.",,2023-11-19T00:00:00+00:00
Element,1.1.1.1.1.1,K.1a,"A sense of self is developed through physical and cultural characteristics and through the development of personal likes, dislikes, talents, and skills.",,2023-11-19T00:00:00+00:00
Element,1.1.1.1.1.2,K.1b,"Personal experiences shape our sense of self and help us understand our likes, dislikes, talents, and skills, as well as our connections to others.",,2023-11-19T00:00:00+00:00
Standard,1.1.1.1.2,K.2,"Children, families, and communities exhibit cultural similarities and differences.",,2023-11-19T00:00:00+00:00
Element,1.1.1.1.2.1,K.2a,"Each person is unique but also shares common characteristics with other family, school, and community members.",,2023-11-19T00:00:00+00:00
Element,1.1.1.1.2.2,K.2b,Unique family activities and traditions are important parts of an individual’s culture and sense of self.,,2023-11-19T00:00:00+00:00
Element,1.1.1.1.2.3,K.2c,"Children and families from different cultures all share some common characteristics, but also have specific differences that make them unique.",,2023-11-19T00:00:00+00:00
Standard,1.1.1.1.3,K.3,Symbols and traditions help develop a shared culture and identity within the United States.,,2023-11-19T00:00:00+00:00
Element,1.1.1.1.3.1,K.3a,"Diverse cultural groups within the community and nation embrace unique traditions and beliefs, and celebrate distinct holidays.",,2023-11-19T00:00:00+00:00
Element,1.1.1.1.3.2,K.3b,"The study of American symbols, holidays, and celebrations helps to develop a shared sense of history, community, and culture.",,2023-11-19T00:00:00+00:00
Domain,1.1.1.2,,Civic Ideals and Practices,,2023-11-19T00:00:00+00:00
Standard,1.1.1.2.1,K.4,"Children and adults have rights and responsibilities at home, at school, in the classroom, and in the community.",,2023-11-19T00:00:00+00:00
Element,1.1.1.2.1.1,K.4a,"Children have basic universal rights or protections as members of a family, school, community, nation, and the world.",,2023-11-19T00:00:00+00:00
Element,1.1.1.2.1.2,K.4b,Children can be responsible members of a family or classroom and can perform important duties to promote the safety and general welfare of the group.,,2023-11-19T00:00:00+00:00
Standard,1.1.1.2.2,K.5,"Rules affect children and adults, and people make and change rules for many reasons.",,2023-11-19T00:00:00+00:00
Element,1.1.1.2.2.1,K.5a,"Children and adults must follow rules within the home, school, and community to provide for a safe and orderly environment.",,2023-11-19T00:00:00+00:00
Element,1.1.1.2.2.2,K.5b,People in authority make rules and laws that provide for the health and safety of all.,,2023-11-19T00:00:00+00:00
Element,1.1.1.2.2.3,K.5c,Children and adults have opportunities to contribute to the development of rules and/or laws.,,2023-11-19T00:00:00+00:00
Domain,1.1.1.3,,"Geography, Humans, and the Environment",,2023-11-19T00:00:00+00:00
Standard,1.1.1.3.1,K.6,Maps and globes are representations of Earth’s surface that are used to locate and better understand places and regions.,,2023-11-19T00:00:00+00:00
Element,1.1.1.3.1.1,K.6a,"A globe represents Earth, and maps can be used to represent the world as well as local places or specific regions.",,2023-11-19T00:00:00+00:00
Element,1.1.1.3.1.2,K.6b,"Places and regions can be located on a map or globe, using geographic vocabulary.",,2023-11-19T00:00:00+00:00
Element,1.1.1.3.1.3,K.6c,"Places, physical features, and man-made structures can be located on a map or globe and described using specific geographic vocabulary.",,2023-11-19T00:00:00+00:00
Standard,1.1.1.3.2,K.7,People and communities are affected by and adapt to their physical environment.,,2023-11-19T00:00:00+00:00
Element,1.1.1.3.2.1,K.7a,"Climate, seasonal weather changes, and the physical features associated with the community and region all affect how people live.",,2023-11-19T00:00:00+00:00
Domain,1.1.1.4,,"Time, Continuity, and Change",,2023-11-19T00:00:00+00:00
Standard,1.1.1.4.1,K.8,"The past, present and future describe points in time and help us examine and understand events.",,2023-11-19T00:00:00+00:00
Element,1.1.1.4.1.1,K.8a,Specific words and phrases related to chronology and time should be used when recounting events and experiences.,,2023-11-19T00:00:00+00:00
Element,1.1.1.4.1.2,K.8b,"People use folktales, legends, oral histories, and music to teach values, ideas, traditions, and important events from the past.",,2023-11-19T00:00:00+00:00
Domain,1.1.1.5,,Economic Systems,,2023-11-19T00:00:00+00:00
Standard,1.1.1.5.1,K.9,People have economic needs and wants. Goods and services can satisfy people’s wants. Scarcity is the condition of not being able to have all of the goods and services that a person wants or needs.,,2023-11-19T00:00:00+00:00
Element,1.1.1.5.1.1,K.9a,"A need is something that a person must have for health and survival, while a want is something that a person would like to have.",,2023-11-19T00:00:00+00:00
Element,1.1.1.5.1.2,K.9b,Goods are objects that can satisfy people’s needs and wants; services are activities that can satisfy people’s needs and wants.,,2023-11-19T00:00:00+00:00
Grade,1.1.2,,"Grade 1: My Family and Other Families, Now and Long Ago",,2023-11-19T00:00:00+00:00
Domain,1.1.2.1,,Individual Development and Cultural Identity,,2023-11-19T00:00:00+00:00
Standard,1.1.2.1.1,1.1,"Language, beliefs, customs, and traditions help shape the identity and culture of a family and a community.",,2023-11-19T00:00:00+00:00
Element,1.1.2.1.1.1,1.1a,"Families are a basic unit of all societies, and different people define family differently.",,2023-11-19T00:00:00+00:00
Element,1.1.2.1.1.2,1.1b,"People and families of diverse racial, religious, national, and ethnic groups share their beliefs, customs, and traditions, which creates a multicultural community.",,2023-11-19T00:00:00+00:00
Element,1.1.2.1.1.3,1.1c,Awareness of America’s rich diversity fosters intercultural understanding.,,2023-11-19T00:00:00+00:00
Standard,1.1.2.1.2,1.2,"There are significant individuals, historical events, and symbols that are important to American cultural identity.",,2023-11-19T00:00:00+00:00
Element,1.1.2.1.2.1,1.2a,"The study of historical events, historical figures, and folklore enables Americans with diverse cultural backgrounds to feel connected to a common national heritage.",,2023-11-19T00:00:00+00:00
Element,1.1.2.1.2.2,1.2b,"The Pledge of Allegiance and patriotic songs play an important role in understanding and examining the nation’s history, values, and beliefs.",,2023-11-19T00:00:00+00:00
Domain,1.1.2.2,,Civic Ideals and Practices,,2023-11-19T00:00:00+00:00
Standard,1.1.2.2.1,1.3,A citizen is a member of a community or group. Students are citizens of their local and global communities.,,2023-11-19T00:00:00+00:00
Element,1.1.2.2.1.1,1.3a,An engaged and active citizen participates in the activities of the group or community and makes positive contributions.,,2023-11-19T00:00:00+00:00
Element,1.1.2.2.1.2,1.3b,"Traits of a responsible citizen include respecting others* , behaving honestly, helping others, obeying rules and laws, being informed, and sharing needed resources.",,2023-11-19T00:00:00+00:00
Element,1.1.2.2.1.3,1.3c,"As global citizens, we are connected to people and cultures beyond our own community and nation, and we have a shared responsibility to protect and respect our world.",,2023-11-19T00:00:00+00:00
Standard,1.1.2.2.2,1.4,People create governments in order to create peace and establish order. Laws are created to protect the rights and define the responsibilities of individuals and groups.,,2023-11-19T00:00:00+00:00
Element,1.1.2.2.2.1,1.4a,Rules and laws are developed to protect people’s rights and for the safety and welfare of the community.,,2023-11-19T00:00:00+00:00
Element,1.1.2.2.2.2,1.4b,"Governments exist at the local, state, and national levels to represent the needs of the people, create and enforce laws, and help resolve conflicts.",,2023-11-19T00:00:00+00:00
Element,1.1.2.2.2.3,1.4c,"Children can participate in problem solving, decision making, and conflict resolution within their home, school, and community.",,2023-11-19T00:00:00+00:00
Domain,1.1.2.3,,"Geography, Humans, and the Environment",,2023-11-19T00:00:00+00:00
Standard,1.1.2.3.1,1.5,The location and place of physical features and man-made structures can be described and interpreted by using symbols and geographic vocabulary.,,2023-11-19T00:00:00+00:00
Element,1.1.2.3.1.1,1.5a,"Maps and map tools, such as legends and cardinal directions, can help us navigate from one place to the next, provide directions, or trace important routes.",,2023-11-19T00:00:00+00:00
Element,1.1.2.3.1.2,1.5b,"Maps are used to locate important places in the community, state, and nation, such as capitals, monuments, hospitals, museums, schools, and cultural centers. * According to the Dignity for All Students Act, “others” includes, but is not limited to, people of different races, weights, national origins, ethnic groups, religions, religious practices, mental or physical abilities, sexual orientations, gender identity, and sexes.",,2023-11-19T00:00:00+00:00
Element,1.1.2.3.1.3,1.5c,Symbols are used to represent physical features and man-made structures on maps and globes.,,2023-11-19T00:00:00+00:00
Standard,1.1.2.3.2,1.6,People and communities depend on and modify their physical environment in order to meet basic needs.,,2023-11-19T00:00:00+00:00
Element,1.1.2.3.2.1,1.6a,People and communities depend on the physical environment for natural resources.,,2023-11-19T00:00:00+00:00
Element,1.1.2.3.2.2,1.6b,"Roads, dams, bridges, farms, parks, and dwellings are all examples of how people modify the physical environment to meet needs and wants.",,2023-11-19T00:00:00+00:00
Element,1.1.2.3.2.3,1.6c,People interact with their physical environment in ways that may have a positive or a negative effect.,,2023-11-19T00:00:00+00:00
Domain,1.1.2.4,,"Time, Continuity, and Change",,2023-11-19T00:00:00+00:00
Standard,1.1.2.4.1,1.7,Families have a past and change over time. There are different types of documents that relate family histories. (NOTE: Teachers will use their professional judgment and demonstrate sensitivity regarding the varied family structures of their students and availability of information.),,2023-11-19T00:00:00+00:00
Element,1.1.2.4.1.1,1.7a,Personal and family history is a source of information for individuals about the people and places around them.,,2023-11-19T00:00:00+00:00
Element,1.1.2.4.1.2,1.7b,"Families change over time, and family growth and change can be documented and recorded.",,2023-11-19T00:00:00+00:00
Element,1.1.2.4.1.3,1.7c,Families of long ago have similarities and differences with families today.,,2023-11-19T00:00:00+00:00
