Item Type,Sequence,Human Code,Full Statement,Ed. Level,Last Modified
Grade Level,1,,Kindergarten,KG,2023-11-19T00:00:00+00:00
Topic,1.1,,Forces and Motion: Pushes and Pulls,KG,2023-11-19T00:00:00+00:00
Performance Expectation,1.1.1,K-PS2-1,Plan and conduct an investigation to compare the effects of different strengths or different directions of pushes and pulls on the motion of an object.,KG,2023-11-19T00:00:00+00:00
Science and Engineering Practice,1.1.1.1,,Science and Engineering Practices,KG,2023-11-19T00:00:00+00:00
Science and Engineering Practice,1.1.1.1.1,,Planning and Carrying Out Investigations,KG,2023-11-19T00:00:00+00:00
Science and Engineering Practice,1.1.1.1.1.1,,"With guidance, plan and conduct an investigation in collaboration with peers.",KG,2023-11-19T00:00:00+00:00
Disciplinary Core Idea,1.1.1.2,,Disciplinary Core Ideas,KG,2023-11-19T00:00:00+00:00
Sub-Idea,1.1.1.2.1,PS2.A,Forces and Motion,KG,2023-11-19T00:00:00+00:00
Grade-Level Sub-Idea,1.1.1.2.1.1,,Pushes and pulls can have different strengths and directions.,KG,2023-11-19T00:00:00+00:00
Grade-Level Sub-Idea,1.1.1.2.1.2,,Pushing or pulling on an object can change the speed or direction of its motion and can start or stop it.,KG,2023-11-19T00:00:00+00:00
Sub-Idea,1.1.1.2.2,PS2.B,Types of Interactions,KG,2023-11-19T00:00:00+00:00
Grade-Level Sub-Idea,1.1.1.2.2.1,,"When objects touch or collide, they push on one another and can change motion.",KG,2023-11-19T00:00:00+00:00
Sub-Idea,1.1.1.2.3,PS3.C,Relationship Between Energy and Forces,KG,2023-11-19T00:00:00+00:00
Grade-Level Sub-Idea,1.1.1.2.3.1,,A bigger push or pull makes things speed up or slow down more quickly.,KG,2023-11-19T00:00:00+00:00
Crosscutting Concept,1.1.1.3,,Crosscutting Concepts,KG,2023-11-19T00:00:00+00:00
Crosscutting Concept,1.1.1.3.1,,Cause and Effect,KG,2023-11-19T00:00:00+00:00
Crosscutting Concept,1.1.1.3.1.1,,Simple tests can be designed to gather evidence to support or refute student ideas about causes.,KG,2023-11-19T00:00:00+00:00
Connections to the Nature of Science,1.1.1.4,,Connections to Nature of Science,KG,2023-11-19T00:00:00+00:00
Connections to the Nature of Science,1.1.1.4.1,,Scientific Investigations Use a Variety of Methods,KG,2023-11-19T00:00:00+00:00
Connections to the Nature of Science,1.1.1.4.1.1,,Scientists use different ways to study the world,KG,2023-11-19T00:00:00+00:00
Performance Expectation,1.1.2,K-PS2-2,Analyze data to determine if a design solution works as intended to change the speed or direction of an object with a push or a pull.,KG,2023-11-19T00:00:00+00:00
Science and Engineering Practice,1.1.2.1,,Science and Engineering Practices,KG,2023-11-19T00:00:00+00:00
Science and Engineering Practice,1.1.2.1.1,,Analyzing and Interpreting Data,KG,2023-11-19T00:00:00+00:00
Science and Engineering Practice,1.1.2.1.1.1,,Analyze data from tests of an object or tool to determine if it works as intended.,KG,2023-11-19T00:00:00+00:00
Disciplinary Core Idea,1.1.2.2,,Disciplinary Core Ideas,KG,2023-11-19T00:00:00+00:00
Sub-Idea,1.1.2.2.1,PS2.A,Forces and Motion,KG,2023-11-19T00:00:00+00:00
Grade-Level Sub-Idea,1.1.2.2.1.1,,Pushes and pulls can have different strengths and directions.,KG,2023-11-19T00:00:00+00:00
Grade-Level Sub-Idea,1.1.2.2.1.2,,Pushing or pulling on an object can change the speed or direction of its motion and can start or stop it.,KG,2023-11-19T00:00:00+00:00
Sub-Idea,1.1.2.2.2,ETS1.A,Defining Engineering Problems,KG,2023-11-19T00:00:00+00:00
Grade-Level Sub-Idea,1.1.2.2.2.1,,A situation that people want to change or create can be approached as a problem to be solved through engineering. Such problems may have many acceptable solutions.,KG,2023-11-19T00:00:00+00:00
Crosscutting Concept,1.1.2.3,,Crosscutting Concepts,KG,2023-11-19T00:00:00+00:00
Crosscutting Concept,1.1.2.3.1,,Cause and Effect,KG,2023-11-19T00:00:00+00:00
Crosscutting Concept,1.1.2.3.1.1,,Simple tests can be designed to gather evidence to support or refute student ideas about causes.,KG,2023-11-19T00:00:00+00:00
Topic,1.2,,Weather and Climate,KG,2023-11-19T00:00:00+00:00
Performance Expectation,1.2.1,K-PS3-1,Make observations to determine the effect of sunlight on Earth’s surface.,KG,2023-11-19T00:00:00+00:00
Science and Engineering Practice,1.2.1.1,,Science and Engineering Practices,KG,2023-11-19T00:00:00+00:00
Science and Engineering Practice,1.2.1.1.1,,Planning and Carrying out Investigations,KG,2023-11-19T00:00:00+00:00
Science and Engineering Practice,1.2.1.1.1.1,,Make observations (firsthand or from media) to collect data that can be used to make comparisons.,KG,2023-11-19T00:00:00+00:00
Disciplinary Core Idea,1.2.1.2,,Disciplinary Core Ideas,KG,2023-11-19T00:00:00+00:00
Sub-Idea,1.2.1.2.1,PS3.B,Conservation of Energy and Energy Transfer,KG,2023-11-19T00:00:00+00:00
Grade-Level Sub-Idea,1.2.1.2.1.1,,Sunlight warms Earth’s surface.,KG,2023-11-19T00:00:00+00:00
Crosscutting Concept,1.2.1.3,,Crosscutting Concepts,KG,2023-11-19T00:00:00+00:00
Crosscutting Concept,1.2.1.3.1,,Cause and Effect,KG,2023-11-19T00:00:00+00:00
Crosscutting Concept,1.2.1.3.1.1,,Events have causes that generate observable patterns.,KG,2023-11-19T00:00:00+00:00
Connections to the Nature of Science,1.2.1.4,,Connections to Nature of Science,KG,2023-11-19T00:00:00+00:00
Connections to the Nature of Science,1.2.1.4.1,,Scientific Investigations Use a Variety of Methods,KG,2023-11-19T00:00:00+00:00
Connections to the Nature of Science,1.2.1.4.1.1,,Scientists use different ways to study the world.,KG,2023-11-19T00:00:00+00:00
Performance Expectation,1.2.2,K-PS3-2,Use tools and materials to design and build a structure that will reduce the warming effect of sunlight on an area.,KG,2023-11-19T00:00:00+00:00
Science and Engineering Practice,1.2.2.1,,Science and Engineering Practices,KG,2023-11-19T00:00:00+00:00
Science and Engineering Practice,1.2.2.1.1,,Constructing Explanations and Designing Solutions,KG,2023-11-19T00:00:00+00:00
Science and Engineering Practice,1.2.2.1.1.1,,Use tools and materials provided to design and build a device that solves a specific problem or a solution to a specific problem.,KG,2023-11-19T00:00:00+00:00
Disciplinary Core Idea,1.2.2.2,,Disciplinary Core Ideas,KG,2023-11-19T00:00:00+00:00
Sub-Idea,1.2.2.2.1,PS3.B,Conservation of Energy and Energy Transfer,KG,2023-11-19T00:00:00+00:00
Grade-Level Sub-Idea,1.2.2.2.1.1,,Sunlight warms Earth’s surface.,KG,2023-11-19T00:00:00+00:00
Crosscutting Concept,1.2.2.3,,Crosscutting Concepts,KG,2023-11-19T00:00:00+00:00
Crosscutting Concept,1.2.2.3.1,,Cause and Effect,KG,2023-11-19T00:00:00+00:00
Crosscutting Concept,1.2.2.3.1.1,,Events have causes that generate observable patterns.,KG,2023-11-19T00:00:00+00:00
Performance Expectation,1.2.3,K-ESS2-1,Use and share observations of local weather conditions to describe patterns over time.,KG,2023-11-19T00:00:00+00:00
Science and Engineering Practice,1.2.3.1,,Science and Engineering Practices,KG,2023-11-19T00:00:00+00:00
Science and Engineering Practice,1.2.3.1.1,,Analyzing and Interpreting Data,KG,2023-11-19T00:00:00+00:00
Science and Engineering Practice,1.2.3.1.1.1,,Use observations (firsthand or from media) to describe patterns in the natural world in order to answer scientific questions.,KG,2023-11-19T00:00:00+00:00
Disciplinary Core Idea,1.2.3.2,,Disciplinary Core Ideas,KG,2023-11-19T00:00:00+00:00
Sub-Idea,1.2.3.2.1,ESS2.D:,Weather and Climate,KG,2023-11-19T00:00:00+00:00
Grade-Level Sub-Idea,1.2.3.2.1.1,,"Weather is the combination of sunlight, wind, snow or rain, and temperature in a particular region at a particular time. People measure these conditions to describe and record the weather and to notice patterns over time.",KG,2023-11-19T00:00:00+00:00
Crosscutting Concept,1.2.3.3,,Crosscutting Concepts,KG,2023-11-19T00:00:00+00:00
Crosscutting Concept,1.2.3.3.1,,Patterns,KG,2023-11-19T00:00:00+00:00
Crosscutting Concept,1.2.3.3.1.1,,"Patterns in the natural world can be observed, used to describe phenomena, and used as evidence.",KG,2023-11-19T00:00:00+00:00
Connections to the Nature of Science,1.2.3.4,,Connections to Nature of Science,KG,2023-11-19T00:00:00+00:00
Connections to the Nature of Science,1.2.3.4.1,,Science Knowledge is Based on Empirical Evidence,KG,2023-11-19T00:00:00+00:00
Connections to the Nature of Science,1.2.3.4.1.1,,Scientists look for patterns and order when making observations about the world.,KG,2023-11-19T00:00:00+00:00
Performance Expectation,1.2.4,K-ESS3-2,"Ask questions to obtain information about the purpose of weather forecasting to prepare for, and respond to, severe weather.",KG,2023-11-19T00:00:00+00:00
Science and Engineering Practice,1.2.4.1,,Science and Engineering Practices,KG,2023-11-19T00:00:00+00:00
Science and Engineering Practice,1.2.4.1.1,,Asking Questions and Defining Problems,KG,2023-11-19T00:00:00+00:00
Science and Engineering Practice,1.2.4.1.1.1,,Ask questions based on observations to find more information about the designed world.,KG,2023-11-19T00:00:00+00:00
Science and Engineering Practice,1.2.4.1.2,,"Obtaining, Evaluating, and Communicating Information",KG,2023-11-19T00:00:00+00:00
Science and Engineering Practice,1.2.4.1.2.1,,Read grade-appropriate texts and/or use media to obtain scientific information to describe patterns in the natural world.,KG,2023-11-19T00:00:00+00:00
Disciplinary Core Idea,1.2.4.2,,Disciplinary Core Ideas,KG,2023-11-19T00:00:00+00:00
Sub-Idea,1.2.4.2.1,ESS3.B,Natural Hazards,KG,2023-11-19T00:00:00+00:00
