Item Type,Sequence,Human Code,Full Statement,Ed. Level,Last Modified
Course,1,,Kindergarten,KG,2025-02-26T05:04:39+00:00
Domain,1.1,,History,KG,2025-02-11T17:17:29+00:00
Learning Outcome,1.1.1,,Students examine the connections of their own environment with the past. They begin to distinguish between events and people of the past and the present and use a sense of time in classroom planning and participation.,KG,2025-02-11T17:17:29+00:00
Standard,1.1.1.1,K.H.1,Compare children and families of today with those from the past.,KG,2025-02-11T17:17:49+00:00
Standard,1.1.1.2,K.H.2,"Identify ways by which people, heritage, and events are commemorated and recognized. (E)",KG,2025-02-11T17:17:29+00:00
Standard,1.1.1.3,K.H.3,Identify events and place events in a sequence. (E),KG,2025-02-11T17:17:29+00:00
Standard,1.1.1.4,K.H.4,Explain that calendars are used to represent the days of the week and months of the year. (E),KG,2025-02-11T17:17:29+00:00
Domain,1.2,,Civics and Government,KG,2025-02-11T17:17:29+00:00
Learning Outcome,1.2.1,,"Students learn they are citizens of their school, community, and the United States and identify symbols of the nation. They learn the importance of being a responsible citizen who explains why rules are needed and follows them.",KG,2025-02-11T17:17:29+00:00
Standard,1.2.1.1,K.C.1,"Give examples of classroom and school rules, and explain the importance of following these rules to ensure order and safety. (E)",KG,2025-02-11T17:17:29+00:00
Standard,1.2.1.2,K.C.2,Give examples of how to be a responsible family member and member of a group.,KG,2025-02-11T17:17:29+00:00
Domain,1.3,,Geography,KG,2025-02-11T17:17:29+00:00
Learning Outcome,1.3.1,,"Students understand that maps and globes are different representations of the Earth’s surface and begin to explore the physical and human geographic characteristics of their school, neighborhood, and community.",KG,2025-02-11T17:17:29+00:00
Standard,1.3.1.1,K.G.1,"Use words related to location, direction, and distance, including here/there, over/under, left/right, above/below, forward/backward, and between. (E)",KG,2025-02-11T17:17:29+00:00
Standard,1.3.1.2,K.G.2,"Identify maps and globes as ways of representing Earth and understand the basic difference between a map and globe, including the difference in water/oceans and land/continents.",KG,2025-02-11T17:17:29+00:00
Standard,1.3.1.3,K.G.3,"Locate and describe places in the school and community using words such as here/there, over/under, left/right, above/below, forward/backward, and between.",KG,2025-02-11T17:17:29+00:00
Standard,1.3.1.4,K.G.4,Identify and describe the address and location of the school; understand the importance of an address.,KG,2025-02-11T17:17:29+00:00
Standard,1.3.1.5,K.G.5,"Identify and compare similarities and differences in families, classmates, neighbors and neighborhoods, and ethnic and cultural groups.",KG,2025-02-11T17:17:29+00:00
Domain,1.4,,Economics,KG,2025-02-11T17:17:29+00:00
Learning Outcome,1.4.1,,Students explain that people do different jobs and work to meet basic economic wants.,KG,2025-02-11T17:17:29+00:00
Standard,1.4.1.1,K.E.1,Explain that people work to earn money to buy the things they want.,KG,2025-02-11T17:17:29+00:00
Standard,1.4.1.2,K.E.2,Identify and describe different kinds of jobs that people do and the tools or equipment used in these jobs. (E),KG,2025-02-11T17:17:29+00:00
Standard,1.4.1.3,K.E.3,Explain why people in a community choose different jobs.,KG,2025-02-11T17:17:29+00:00
Course,2,,Grade 1,01,2025-02-26T05:04:39+00:00
Domain,2.1,,History,01,2025-02-11T17:17:29+00:00
Learning Outcome,2.1.1,,"Students identify continuity and change in the different communities around them, including school and neighborhood communities, and identify individuals, events, and symbols that are important to our country.",01,2025-02-11T17:17:29+00:00
Standard,2.1.1.1,1.H.1,Identify continuity and change between past and present in community life using primary sources.,01,2025-02-11T17:17:29+00:00
Standard,2.1.1.2,1.H.2,"Identify American songs and symbols, and discuss their origins.",01,2025-02-11T17:17:29+00:00
Standard,2.1.1.3,1.H.3,Identify local people from the past who have demonstrated good citizenship.,01,2025-02-11T17:17:29+00:00
Standard,2.1.1.4,1.H.4,Identify people and events observed in national celebrations and holidays. (E),01,2025-02-11T17:17:29+00:00
Standard,2.1.1.5,1.H.5,Develop a simple timeline of important events in the student’s life. (E),01,2025-02-11T17:17:29+00:00
Standard,2.1.1.6,1.H.6,"Use the terms past and present; yesterday, today, and tomorrow; and next week and last week to sequentially order events that have occurred in the school. (E)",01,2025-02-11T17:17:29+00:00
Standard,2.1.1.7,1.H.7,Explain how clocks and calendars are used to measure time.,01,2025-02-11T17:17:29+00:00
Standard,2.1.1.8,1.H.8,Distinguish between historical fact and fiction in American folktales and legends that are part of American culture.,01,2025-02-11T17:17:29+00:00
Domain,2.2,,Civics and Government,01,2025-02-11T17:17:29+00:00
Learning Outcome,2.2.1,,Students explain the meaning of government and why rules and laws are needed in the school and community. They identify individual rights and responsibilities and use a variety of sources to learn about the functions of government and roles of citizens.,01,2025-02-11T17:17:29+00:00
Standard,2.2.1.1,1.C.1,Identify rights that people have and the responsibilities that accompany these rights. (E),01,2025-02-11T17:17:29+00:00
Standard,2.2.1.2,1.C.2,"Define and give examples of rules and laws in the school and the community, and explain the benefits of these rules and laws.",01,2025-02-11T17:17:29+00:00
Standard,2.2.1.3,1.C.3,Describe ways that individual actions can contribute to the common good of the classroom or community.,01,2025-02-11T17:17:29+00:00
Standard,2.2.1.4,1.C.4,Define the term citizens and describe the characteristics of good citizenship. (E),01,2025-02-11T17:17:29+00:00
Standard,2.2.1.5,1.C.5,Repeat the Pledge of Allegiance and understand that it is a promise to be loyal to the United States.,01,2025-02-11T17:17:29+00:00
Domain,2.3,,Geography,01,2025-02-11T17:17:29+00:00
Learning Outcome,2.3.1,,"Students identify the basic elements of maps and globes. They identify selected geographic characteristics of their home, school, and neighborhood.",01,2025-02-11T17:17:29+00:00
Standard,2.3.1.1,1.G.1,"Identify the cardinal directions (i.e., north, south, east, and west) on maps and globes and at the classroom/school. (E)",01,2025-02-11T17:17:29+00:00
Standard,2.3.1.2,1.G.2,"Identify and describe continents, hemispheres, oceans, cities, and roads on maps and globes. (E)",01,2025-02-11T17:17:29+00:00
Standard,2.3.1.3,1.G.3,Identify and describe the relative locations of places in the school setting.,01,2025-02-11T17:17:29+00:00
Standard,2.3.1.4,1.G.4,"Identify and describe physical features and human features of the local community, including home, school, and neighborhood.",01,2025-02-11T17:17:29+00:00
Standard,2.3.1.5,1.G.5,"Compare cultural similarities and differences of various ethnic and cultural groups found in Indiana, such as family traditions and customs and traditional clothing and food.",01,2025-02-11T17:17:29+00:00
Domain,2.4,,Economics,01,2025-02-11T17:17:29+00:00
Learning Outcome,2.4.1,,Students explain how people in the school and community use goods and services and make choices as both producers and consumers.,01,2025-02-11T17:17:29+00:00
Standard,2.4.1.1,1.E.1,"Identify goods (e.g., tangible objects, such as food or toys, that can satisfy people’s wants) that people use. (E)",01,2025-02-11T17:17:29+00:00
Standard,2.4.1.2,1.E.2,"Identify services (e.g., actions that someone does for someone else) that people do for each other. (E)",01,2025-02-11T17:17:29+00:00
Standard,2.4.1.3,1.E.3,"Explain that people have to make choices about goods and services because resources are limited in relation to people’s wants (e.g., scarcity).",01,2025-02-11T17:17:29+00:00
Course,3,,Grade 2,02,2025-02-26T05:04:39+00:00
Domain,3.1,,History,02,2025-02-11T17:17:29+00:00
Learning Outcome,3.1.1,,"Students differentiate between events that happened in the past and recently, recognize examples of continuity and change in local and regional communities, and consider ways that people and events of the past and present influence their lives.",02,2025-02-11T17:17:29+00:00
Standard,3.1.1.1,2.H.1,"Identify when the local community was established, and identify its founders and early settlers. (E)",02,2025-02-11T17:17:29+00:00
Standard,3.1.1.2,2.H.2,Identify continuity and change between past and present community life using primary sources.,02,2025-02-11T17:17:29+00:00
Standard,3.1.1.3,2.H.3,Identify actions and individuals who had a positive impact on the local community.,02,2025-02-11T17:17:29+00:00
Standard,3.1.1.4,2.H.4,"Identify and describe community celebrations, symbols, and traditions, and explain why they are important.",02,2025-02-11T17:17:29+00:00
Standard,3.1.1.5,2.H.5,Develop a timeline of important events in the history of the school and/or school community. (E),02,2025-02-11T17:17:29+00:00
Standard,3.1.1.6,2.H.6,"Create and maintain a calendar of important school days, holidays, and community events.",02,2025-02-11T17:17:29+00:00
Standard,3.1.1.7,2.H.7,"Read about and summarize historical community events using a variety of resources (e.g., the library, digital media, print media, electronic media, and community resources). (E)",02,2025-02-11T17:17:29+00:00
Domain,3.2,,Civics and Government,02,2025-02-11T17:17:29+00:00
