Item Type,Sequence,Human Code,Full Statement,Ed. Level,Last Modified
Competency Grouping,1,,Standards for Math Content,KG-08,2025-05-21T23:30:33+00:00
Grade,1.1,,Kindergarten,KG,2025-05-21T23:30:33+00:00
Process Standards Grouping,1.1.1,,Mathematics Process Standards,KG,2025-05-21T23:30:33+00:00
Process Standard,1.1.1.1,K.PS.1,Make sense of problems and persevere in solving them.,KG,2025-05-21T23:30:33+00:00
Process Standard,1.1.1.2,K.PS.2,Reason abstractly and quantitatively.,KG,2025-05-21T23:30:33+00:00
Process Standard,1.1.1.3,K.PS.3,Construct viable arguments and critique the reasoning of others.,KG,2025-05-21T23:30:33+00:00
Process Standard,1.1.1.4,K.PS.4,Model with mathematics.,KG,2025-05-21T23:30:33+00:00
Process Standard,1.1.1.5,K.PS.5,Use appropriate tools strategically.,KG,2025-05-21T23:30:33+00:00
Process Standard,1.1.1.6,K.PS.6,Attend to precision.,KG,2025-05-21T23:30:33+00:00
Process Standard,1.1.1.7,K.PS.7,Look for and make use of structure.,KG,2025-05-21T23:30:33+00:00
Process Standard,1.1.1.8,K.PS.8,Look for and express regularity in repeated reasoning.,KG,2025-05-21T23:30:33+00:00
Domain,1.1.2,,Number Sense,KG,2025-05-21T23:30:33+00:00
Learning Outcome,1.1.2.1,,"Students explore the foundations of numbers through counting strategies, one-to-one correspondence, and place value of numbers up to 20.",KG,2025-05-21T23:30:33+00:00
Standard,1.1.2.1.1,K.NS.1,Count to at least 100 by ones and tens. Count by one from any given number. (E),KG,2025-05-21T23:30:33+00:00
Standard,1.1.2.1.2,K.NS.2,Write whole numbers from 0 to 20 and identify number words from 0 to 10. Represent a number of objects with a written numeral 0-20 (with 0 representing a count of no objects). (E),KG,2025-05-21T23:30:33+00:00
Standard,1.1.2.1.3,K.NS.3,"Say the number names in standard order when counting objects, pairing each object with one and only one number name and each number name with one and only one object. Understand that the last number name said describes the number of objects counted and that the number of objects is the same regardless of their arrangement or the order in which they were counted. Count out the number of objects, given a number from 1 to 20. (E)",KG,2025-05-21T23:30:33+00:00
Standard,1.1.2.1.4,K.NS.4,Identify sets of 1 to 10 objects in patterned arrangements and tell how many without counting. (E),KG,2025-05-21T23:30:33+00:00
Standard,1.1.2.1.5,K.NS.5,"Identify whether the number of objects in one group is greater than, less than, or equal to the number of objects in another group (e.g., by using matching and counting strategies).",KG,2025-05-21T23:30:33+00:00
Standard,1.1.2.1.6,K.NS.6,Compare the values of two numbers from 1 to 20 presented as written numerals.,KG,2025-05-21T23:30:33+00:00
Standard,1.1.2.1.7,K.NS.7,"Define and model a ""ten"" as a group of ten ones. Model equivalent forms of whole numbers from 10 to 20 as groups of tens and ones using objects and drawings. (E)",KG,2025-05-21T23:30:33+00:00
Domain,1.1.3,,Computation and Algebraic Thinking,KG,2025-05-21T23:30:33+00:00
Learning Outcome,1.1.3.1,,"Within the numbers 1-10, students use objects and drawings to model the composing (addition) and decomposing (subtraction) of numbers, and solve real-world problems. Students investigate beginning algebra concepts through simple repeating and growing patterns.",KG,2025-05-21T23:30:33+00:00
Standard,1.1.3.1.1,K.CA.1,Solve real-world problems that involve addition and subtraction within 10 using modeling with objects or drawings. (E),KG,2025-05-21T23:30:33+00:00
Standard,1.1.3.1.2,K.CA.2,Use objects or drawings to model the decomposition of numbers less than 10 into pairs in more than one way. Identify corresponding equations. (E),KG,2025-05-21T23:30:33+00:00
Standard,1.1.3.1.3,K.CA.3,"Find the number that makes 10 when added to the given number for any number from 1 to 9 (e.g., by using objects or drawings), and record the answer with a drawing or an equation. (E)",KG,2025-05-21T23:30:33+00:00
Standard,1.1.3.1.4,K.CA.4,"Create, extend, and give an appropriate rule for simple repeating and growing patterns with numbers and shapes.",KG,2025-05-21T23:30:33+00:00
Domain,1.1.4,,Geometry,KG,2025-05-21T23:30:33+00:00
Learning Outcome,1.1.4.1,,Students investigate and compare two- and three-dimensional shapes based on simple attributes.,KG,2025-05-21T23:30:33+00:00
Standard,1.1.4.1.1,K.G.1,"Compare two- and three-dimensional shapes in different sizes and orientations, using informal language to describe their similarities, differences, parts (e.g., number of sides and vertices/""corners""), and other attributes (e.g., having sides of equal length).",KG,2025-05-21T23:30:33+00:00
Domain,1.1.5,,Measurement,KG,2025-05-21T23:30:33+00:00
Learning Outcome,1.1.5.1,,"Students investigate beginning concepts of length, weight, capacity, temperature, and time through observations of direct comparisons.",KG,2025-05-21T23:30:33+00:00
Standard,1.1.5.1.1,K.M.1,"Make direct comparisons of the length, capacity, weight, and temperature of objects, and identify which object is shorter, longer, taller, lighter, heavier, warmer, cooler, or holds more. (E)",KG,2025-05-21T23:30:33+00:00
Standard,1.1.5.1.2,K.M.2,"Identify and use appropriate terms to describe intervals of time including: morning, afternoon, evening, today, yesterday, tomorrow, day, week, month, and year; describe how calendars and clocks are tools to measure time.",KG,2025-05-21T23:30:33+00:00
Domain,1.1.6,,Data Analysis,KG,2025-05-21T23:30:33+00:00
Learning Outcome,1.1.6.1,,Students begin interacting with data to create and interpret data for patterns and comparison.,KG,2025-05-21T23:30:33+00:00
Standard,1.1.6.1.1,K.DA.1,"With guidance, collect and organize data into simple bar graphs, pictographs, and/or tables to identify patterns and make comparisons. (E)",KG,2025-05-21T23:30:33+00:00
Grade,1.2,,Grade 1,01,2025-05-21T23:30:33+00:00
Process Standards Grouping,1.2.1,,Mathematics Process Standards,01,2025-05-21T23:30:33+00:00
Process Standard,1.2.1.1,1.PS.1,Make sense of problems and persevere in solving them.,01,2025-05-21T23:30:33+00:00
Process Standard,1.2.1.2,1.PS.2,Reason abstractly and quantitatively.,01,2025-05-21T23:30:33+00:00
Process Standard,1.2.1.3,1.PS.3,Construct viable arguments and critique the reasoning of others.,01,2025-05-21T23:30:33+00:00
Process Standard,1.2.1.4,1.PS.4,Model with mathematics.,01,2025-05-21T23:30:33+00:00
Process Standard,1.2.1.5,1.PS.5,Use appropriate tools strategically.,01,2025-05-21T23:30:33+00:00
Process Standard,1.2.1.6,1.PS.6,Attend to precision.,01,2025-05-21T23:30:33+00:00
Process Standard,1.2.1.7,1.PS.7,Look for and make use of structure.,01,2025-05-21T23:30:33+00:00
Process Standard,1.2.1.8,1.PS.8,Look for and express regularity in repeated reasoning.,01,2025-05-21T23:30:33+00:00
Domain,1.2.2,,Number Sense,01,2025-05-21T23:30:33+00:00
Learning Outcome,1.2.2.1,,"Students fluently count, read, and represent numbers up to 120 and apply place value concepts to two-digit numbers.",01,2025-05-21T23:30:33+00:00
Standard,1.2.2.1.1,1.NS.1,"Count to at least 120 by ones, fives, and tens from any given number. In this range, read and write numerals and represent a number of objects with a written numeral. (E)",01,2025-05-21T23:30:33+00:00
Standard,1.2.2.1.2,1.NS.2,"Model place value concepts of two-digit numbers, multiples of 10, and equivalent forms of whole numbers using objects and drawings. (E)",01,2025-05-21T23:30:33+00:00
Standard,1.2.2.1.3,1.NS.3,"Match the ordinal numbers (e.g., first, second, third) with an ordered set of up to 20 items.",01,2025-05-21T23:30:33+00:00
Standard,1.2.2.1.4,1.NS.4,"Use place value understanding to compare two two-digit numbers based on meanings of the tens and ones digits, recording the results of comparisons with the symbols > , = , and <. (E)",01,2025-05-21T23:30:33+00:00
Domain,1.2.3,,Computation and Algebraic Thinking,01,2025-05-21T23:30:33+00:00
Learning Outcome,1.2.3.1,,"Learning Outcome: Within the numbers 1-20, students demonstrate fluency and apply addition and subtraction strategies to solve real-world problems. Students apply place value and number sense to add numbers within 100 and investigate beginning algebra concepts through the growing number patterns within
100.",01,2025-05-21T23:30:33+00:00
Standard,1.2.3.1.1,1.CA.1,"Demonstrate fluency with addition facts and the corresponding subtraction facts within 20. Use strategies such as counting on; making ten (e.g., 8 + 6 = 8 + 2 + 4 = 10 + 4 = 14); decomposing a number leading to a 10 (e.g., 13 – 4 = 13 – 3 – 1 = 10 – 1 = 9); using the relationship between addition and subtraction (e.g., knowing that 8 + 4 = 12, one knows 12 –
8 = 4); and creating equivalent but easier or known sums (e.g., adding 6 + 7 by creating the known equivalent 6 + 6 + 1 = 12 + 1 = 13). Model the role of 0 and the equal sign in addition and subtraction using objects or drawings. (E)",01,2025-05-21T23:30:33+00:00
Standard,1.2.3.1.2,1.CA.2,"Solve real-world problems involving addition and subtraction within 20 in situations of adding to, taking from, putting together, taking apart, and comparing, with unknowns in all parts of the addition or subtraction problem (e.g., by using objects, drawings, and equations with a symbol for the unknown number to represent the problem). (E)",01,2025-05-21T23:30:33+00:00
Standard,1.2.3.1.3,1.CA.3,"Using number sense and place value strategies, add within 100, including adding a two-digit number and a one-digit number, and adding a two-digit number and a multiple of 10. Use models or drawings and strategies based on place value, properties of operations, and/or the relationship between addition and subtraction; describe the strategy and explain the reasoning used. (E)",01,2025-05-21T23:30:33+00:00
Standard,1.2.3.1.4,1.CA.4,"Create, extend, and give an appropriate rule for number patterns using addition within 100.",01,2025-05-21T23:30:33+00:00
Domain,1.2.4,,Geometry,01,2025-05-21T23:30:33+00:00
Learning Outcome,1.2.4.1,,"Students make observations about a shape's defining attributes and utilize them to classify, draw, and compose two-dimensional or three-dimensional shapes. Students begin exploring fractional foundations through the partitioning of rectangles and circles.",01,2025-05-21T23:30:33+00:00
Standard,1.2.4.1.1,1.G.1,"Distinguish between defining attributes of two- and three-dimensional shapes (e.g., triangles are closed and three-sided) versus non-defining attributes (e.g., color, orientation, overall size). Create and draw two-dimensional shapes with defining attributes.",01,2025-05-21T23:30:33+00:00
Standard,1.2.4.1.2,1.G.2,"Use two-dimensional shapes (e.g., rectangles, squares, trapezoids, triangles, half-circles, quarter-circles) or three-dimensional shapes (e.g., cubes, right rectangular prisms, right circular cones, and right circular cylinders) to create a composite shape, and compose new shapes from the composite shape. [In grade 1, students do not need to learn formal names such as ""right rectangular prism.""]",01,2025-05-21T23:30:33+00:00
Standard,1.2.4.1.3,1.G.3,"Partition circles and rectangles into two and four equal parts; describe the parts using the words halves, fourths, and quarters; and use the phrases half of, fourth of, and quarter of. Describe the whole as two of, or four of, the parts. Understand for partitioning circles and rectangles into two and four equal parts that decomposing into equal parts creates smaller parts.",01,2025-05-21T23:30:33+00:00
Domain,1.2.5,,Measurement,01,2025-05-21T23:30:33+00:00
Learning Outcome,1.2.5.1,,"Using standard and non-standard measurements, students compare and order objects, tell time to the hour and half-hour, and investigate beginning concepts of money.",01,2025-05-21T23:30:33+00:00
Standard,1.2.5.1.1,1.M.1,"Use direct comparison or a nonstandard unit to compare and order objects according to length, area, capacity, weight, and temperature. (E)",01,2025-05-21T23:30:33+00:00
Standard,1.2.5.1.2,1.M.2,"Tell and write time to the nearest half-hour and relate time to events (before/after, shorter/longer) using analog clocks. Explain how to read hours and minutes using digital clocks. (E)",01,2025-05-21T23:30:33+00:00
Standard,1.2.5.1.3,1.M.3,"Identify the value of a penny, nickel, dime, and a collection of pennies, nickels, and dimes.",01,2025-05-21T23:30:33+00:00
Domain,1.2.6,,Data Analysis,01,2025-05-21T23:30:33+00:00
Learning Outcome,1.2.6.1,,"Students collect, organize, and evaluate simple data using grade-level appropriate strategies.",01,2025-05-21T23:30:33+00:00
Standard,1.2.6.1.1,1.DA.1,"With guidance, collect data from a simple survey or collaborative investigation; organize data into appropriate single-unit bar graphs, pictographs, and/or tables and draw conclusions based on mathematical observations, comparisons, and grade-level computation strategies. (E)",01,2025-05-21T23:30:33+00:00
Grade,1.3,,Grade 2,02,2025-05-21T23:30:33+00:00
Process Standards Grouping,1.3.1,,Mathematics Process Standards,02,2025-05-21T23:30:33+00:00
Process Standard,1.3.1.1,2.PS.1,Make sense of problems and persevere in solving them.,02,2025-05-21T23:30:33+00:00
Process Standard,1.3.1.2,2.PS.2,Reason abstractly and quantitatively.,02,2025-05-21T23:30:33+00:00
Process Standard,1.3.1.3,2.PS.3,Construct viable arguments and critique the reasoning of others.,02,2025-05-21T23:30:33+00:00
Process Standard,1.3.1.4,2.PS.4,Model with mathematics.,02,2025-05-21T23:30:33+00:00
Process Standard,1.3.1.5,2.PS.5,Use appropriate tools strategically.,02,2025-05-21T23:30:33+00:00
Process Standard,1.3.1.6,2.PS.6,Attend to precision.,02,2025-05-21T23:30:33+00:00
Process Standard,1.3.1.7,2.PS.7,Look for and make use of structure.,02,2025-05-21T23:30:33+00:00
Process Standard,1.3.1.8,2.PS.8,Look for and express regularity in repeated reasoning.,02,2025-05-21T23:30:33+00:00
Domain,1.3.2,,Number Sense,02,2025-05-21T23:30:33+00:00
Learning Outcome,1.3.2.1,,"Students fluently count, read, and represent numbers up to 1,000 using place value concepts.",02,2025-05-21T23:30:33+00:00
Standard,1.3.2.1.1,2.NS.1,"Count by ones, twos, fives, tens, and hundreds up to at least 1,000 from any given number. (E)",02,2025-05-21T23:30:33+00:00
Standard,1.3.2.1.2,2.NS.2,"Read and write whole numbers up to 1,000. Use words, models, standard form, and expanded form to represent and show equivalent forms of whole numbers up to 1,000. (E)",02,2025-05-21T23:30:33+00:00
Standard,1.3.2.1.3,2.NS.3,"Determine whether a group of objects (up to 20) has an odd or even number of members (e.g., by placing that number of objects in two groups of the same size and recognizing that for even numbers no object will be left over and for odd numbers one object will be left over, or by pairing objects or counting them by twos).",02,2025-05-21T23:30:33+00:00
Standard,1.3.2.1.4,2.NS.4,"Define and model a ""hundred"" as a group of ten tens. Model place value concepts of three-digit numbers, multiples of 100, and equivalent forms of whole numbers using objects and drawings. (E)",02,2025-05-21T23:30:33+00:00
Standard,1.3.2.1.5,2.NS.5,"Use place value understanding to compare two three-digit numbers based on meanings of the hundreds, tens, and ones digits, using > , = , and < symbols to record the results of comparisons. (E)",02,2025-05-21T23:30:33+00:00
Domain,1.3.3,,Computation and Algebraic Thinking,02,2025-05-21T23:30:33+00:00
Learning Outcome,1.3.3.1,,"Within the numbers 1-100, students apply place value concepts and addition and subtraction concepts to solve real-world problems and reason about their strategies and solutions. Students explore effects of properties of addition on solutions and investigate number patterns, and apply concepts of addition and subtraction within 1,000.",02,2025-05-21T23:30:33+00:00
Standard,1.3.3.1.1,2.CA.1,"Solve real-world problems involving addition and subtraction within 100 in situations of adding to, taking from, putting together, taking apart, and comparing, with unknowns in all parts of the addition or subtraction problem (e.g., by using drawings and equations with a symbol for the unknown number to represent the problem). Use estimation to decide whether answers are reasonable in addition problems. (E)",02,2025-05-21T23:30:33+00:00
Standard,1.3.3.1.2,2.CA.2,"Using number sense and place value strategies, add and subtract within 1,000, including composing and decomposing tens and hundreds. Use models, drawings, and strategies based on place value, properties of operations, and/or the relationship between addition and subtraction; describe the strategy and explain the reasoning used.",02,2025-05-21T23:30:33+00:00
Standard,1.3.3.1.3,2.CA.3,Show that the order in which two numbers are added (commutative property) and how the numbers are grouped in addition (associative property) will not change the sum. These properties can be used to show that numbers can be added in any order. (E),02,2025-05-21T23:30:33+00:00
Standard,1.3.3.1.4,2.CA.4,"Create, extend, and give an appropriate rule for number patterns using addition and subtraction within 1,000.",02,2025-05-21T23:30:33+00:00
Domain,1.3.4,,Geometry,02,2025-05-21T23:30:33+00:00
Learning Outcome,1.3.4.1,,"Students investigate and classify two- and three-dimensional shapes based on faces, sides, and vertices, and investigate the results of composing and decomposing each shape. Students continue to build foundational fraction knowledge through specific partitioning and naming of rectangles and circles.",02,2025-05-21T23:30:33+00:00
Standard,1.3.4.1.1,2.G.1,"Identify, describe, and classify two- and three-dimensional shapes (i.e., triangle, square, rectangle, cube, right rectangular prism) according to the number and shape of faces and the number of sides and/or vertices. Draw two-dimensional shapes.",02,2025-05-21T23:30:33+00:00
Standard,1.3.4.1.2,2.G.2,Investigate and predict the result of composing and decomposing two- and three-dimensional shapes.,02,2025-05-21T23:30:33+00:00
Standard,1.3.4.1.3,2.G.3,Partition a rectangle into rows and columns of same-size (unit) squares and count to find the total number of same-size squares.,02,2025-05-21T23:30:33+00:00
Standard,1.3.4.1.4,2.G.4,"Partition circles and rectangles into two, three, or four equal parts; describe the shares using the words halves, thirds, half of, a third of, etc.; and describe the whole as two halves, three thirds, or four",02,2025-05-21T23:30:33+00:00
Domain,1.3.5,,Measurement,02,2025-05-21T23:30:33+00:00
Learning Outcome,1.3.5.1,,"Students use appropriate tools, computation strategies, and relationships of measurement to solve real-world problems including measurements of length and capacity, telling time to the nearest five minutes, and collections of coins and dollars.",02,2025-05-21T23:30:33+00:00
Standard,1.3.5.1.1,2.M.1,"Describe the relationships among an inch, foot, and yard. Describe the relationship between a centimeter and meter.",02,2025-05-21T23:30:33+00:00
Standard,1.3.5.1.2,2.M.2,"Estimate and measure the length of an object by selecting and using appropriate tools, such as rulers, yardsticks, meter sticks, and measuring tapes to the nearest inch, foot, yard, centimeter, and meter. (E)",02,2025-05-21T23:30:33+00:00
Standard,1.3.5.1.3,2.M.3,Estimate and measure volume (capacity) using cups and pints. Add and subtract to solve real-world problems involving capacities that are given in the same units or obtained through investigations. (E),02,2025-05-21T23:30:33+00:00
