Item Type,Sequence,Human Code,Full Statement,Ed. Level,Last Modified
Standard,1,,Social Emotional Development,PK,2023-12-14T18:05:04+00:00
Strand,1.1,,Self-Awareness and Emotional Skills,PK,2023-10-30T18:24:30+00:00
Concept,1.1.1,SED.1.1,**Self-Awareness:** The child demonstrates an awareness of self. Children develop a sense of personal identity as they begin to recognize the characteristics that make them unique as individuals and to build self-esteem.,PK,2025-01-13T20:31:12+00:00
Indicator,1.1.1.1,SED.1.1.a,Demonstrates self-confidence.,PK,2023-10-30T18:24:30+00:00
Indicator,1.1.1.2,SED.1.1.b,Makes personal preferences known to others.,PK,2023-10-30T18:24:30+00:00
Indicator,1.1.1.3,SED.1.1.c,Demonstrates knowledge of self-identity/autonomy.,PK,2023-10-30T18:24:30+00:00
Indicator,1.1.1.4,SED.1.1.d,Displays an awareness of similarities and differences between self and others.,PK,2023-10-30T18:24:30+00:00
Indicator,1.1.1.5,SED.1.1.e,Demonstrates developmentally appropriate cultural curiosity and responsiveness.,PK,2023-10-30T18:24:30+00:00
Concept,1.1.2,SED.1.2,**Recognizes and Expresses Feelings:** The child recognizes and expresses feelings of self and others. Children develop emotional literacy through the ability to identify and acknowledge their feelings and feelings of others through daily interactions.,PK,2025-01-13T20:31:35+00:00
Indicator,1.1.2.1,SED.1.2a,"Associates emotions with words, facial expressions, and body language.",PK,2024-12-27T16:54:30+00:00
Indicator,1.1.2.2,SED.1.2b,"Identifies, describes, and expresses their own feelings.",PK,2024-12-27T16:48:36+00:00
Indicator,1.1.2.3,SED.1.2c,Identifies and describes feelings of others.,PK,2024-12-27T16:48:44+00:00
Indicator,1.1.2.4,SED.1.2d,Expresses feelings of satisfaction in independent activities,PK,2024-12-27T16:48:53+00:00
Indicator,1.1.2.5,SED.1.2e,Expresses **empathy** for others.,PK,2024-12-27T16:49:03+00:00
Concept,1.1.3,SED 1.3,"**Self-Regulation:** The child manages the expression of feelings, thoughts, impulses, and behaviors. Young children develop self-control as they acquire the ability to regulate their impulses with decreasing support from adults. This enables children to function successfully and independently in both personal and social contexts. Temperament displays itself through the way a child manages their behaviors in daily activity; temperament is driven by both nature and nurture.",PK,2025-01-13T20:31:58+00:00
Indicator,1.1.3.1,SED.1.3a,Understands and follows expectations in the learning environment.,PK,2024-12-27T16:54:58+00:00
Indicator,1.1.3.2,SED.1.3b,"Adjusts behavior and adapts to transitions, daily routines, and unexpected events.",PK,2024-12-27T16:55:08+00:00
Indicator,1.1.3.3,SED.1.3c,Chooses appropriate words and actions.,PK,2024-12-27T16:55:16+00:00
Strand,1.2,,Relationships and Social Skills,PK,2023-10-30T18:24:30+00:00
Concept,1.2.1,SED.2.1,"**Attachment:** The child demonstrates the ability to engage in and maintain secure relationships.** Positive social relationships between adults and children develop in an environment where children feel safe and secure. When caregivers provide a secure base of physical and emotional support, children construct secure attachments with their caregivers which supports them in moving into deeper and more complex learning.",PK,2025-01-13T20:32:48+00:00
Indicator,1.2.1.1,SED.2.1a,"Expresses interest, curiosity, and trust with familiar adults.",PK,2024-12-27T16:59:05+00:00
Indicator,1.2.1.2,SED.2.1b,Seeks support from familiar adults.,PK,2024-12-27T16:59:13+00:00
Indicator,1.2.1.3,SED.2.1c,Separates from familiar adult with minimal distress.,PK,2024-12-27T16:59:19+00:00
Concept,1.2.2,SED.2.2,**Social Interactions:** The child displays positive social behavior. A child’s relationship with peers and adults reflect their ability to initiate and sustain positive and appropriate interactions while increasing their capacity to acknowledge someone else’s perspective.,PK,2025-01-13T20:33:18+00:00
Indicator,1.2.2.1,SED.2.2a,Responds when adults or other children initiate interactions.,PK,2024-12-27T16:59:52+00:00
Indicator,1.2.2.2,SED.2.2b,Initiates and sustains positive interactions with adults and other children.,PK,2024-12-27T16:59:47+00:00
Indicator,1.2.2.3,SED.2.2c,Acknowledges someone’s perspective by demonstrating positive ways to resolve conflict.,PK,2024-12-27T16:59:42+00:00
