Item Type,Sequence,Human Code,Full Statement,Ed. Level,Last Modified
Course,1,,Kindergarten: Foundations of Social Studies—Family and Community,KG,2025-05-22T22:51:57+00:00
Strand,1.1,K.1,Citizenship and Government,KG,2025-05-22T22:51:57+00:00
Standard,1.1.1,K.1.1,Civic Skills: Apply civic reasoning and demonstrate civic skills for the purpose of informed and engaged lifelong civic participation.,KG,2025-05-22T22:51:57+00:00
Benchmark,1.1.1.1,K.1.1.1,Demonstrate civic skills in a classroom that reflect an understanding of civic values by identifying a classroom goal and listing ways that students work together using civic skills to address a need or goal.,KG,2025-05-22T22:51:57+00:00
Standard,1.1.2,K.1.2,"Democratic Values and Principles: Explain democratic values and principles that guide governments, societies and communities. Analyze the tensions within the United States constitutional government.",KG,2025-05-22T22:51:57+00:00
Benchmark,1.1.2.1,K.1.2.1,Consider and describe ways group members show they belong to the group.,KG,2025-05-22T22:51:57+00:00
Standard,1.1.3,K.1.3,"Rights and Responsibilities: Explain and evaluate rights, duties and responsibilities in democratic society.",KG,2025-05-22T22:51:57+00:00
Benchmark,1.1.3.1,K.1.3.1,List personal group associations and name personal roles and responsibilities to each of those groups.,KG,2025-05-22T22:51:57+00:00
Standard,1.1.4,K.1.4,"Governmental Institutions and Political Processes: Explain and evaluate processes, rules and laws of United States governmental institutions at local, state and federal levels and within Tribal Nations.",KG,2025-05-22T22:51:57+00:00
Benchmark,1.1.4.1,K.1.4.1,Identify examples of rules in the school and neighborhood community and explain why they exist. Describe incentives for following rules and consequences for breaking rules.,KG,2025-05-22T22:51:57+00:00
Strand,1.2,K.2,Economics,KG,2025-05-22T22:51:57+00:00
Standard,1.2.1,K.2.7,Economic Inquiry: Use economic models and reasoning and data analysis to construct an argument and propose a solution related to an economic question. Evaluate the impact of the proposed solution on various communities that would be affected.,KG,2025-05-22T22:51:57+00:00
Benchmark,1.2.1.1,K.2.7.1,Use cost-benefit analysis as a group to solve a problem.,KG,2025-05-22T22:51:57+00:00
Standard,1.2.2,K.2.9,"Personal Finance: Apply economic concepts and models to develop individual and collective financial goals and strategies for achieving these goals, taking into consideration historical and contemporary conditions that either inhibit or advance the creation of individual and generational wealth.",KG,2025-05-22T22:51:57+00:00
Benchmark,1.2.2.1,K.2.9.1,Distinguish between individual needs (conditions necessary to survive) and individual wants (conditions desired to be happy).,KG,2025-05-22T22:51:57+00:00
Standard,1.2.3,K.2.10,"Microeconomics: Explain and evaluate how resources are used and how goods and services are distributed within different economic systems. Analyze how incentives influence the decisions of consumers, producers, and governments. Evaluate the intended and unintended consequences of these decisions from multiple perspectives.",KG,2025-05-22T22:51:57+00:00
Benchmark,1.2.3.1,K.2.10.1,Distinguish between goods (objects that can be seen or touched) and services (actions or activities). Identify goods and services that could satisfy a specific need or want.,KG,2025-05-22T22:51:57+00:00
Standard,1.2.4,K.2.12,Global and International: Explain why people trade and why nations encourage or limit trade. Analyze the costs and benefits of international trade and globalization on communities and the environment.,KG,2025-05-22T22:51:57+00:00
Benchmark,1.2.4.1,K.2.12.1,Explain why people agree to trade.,KG,2025-05-22T22:51:57+00:00
Strand,1.3,K.3,Geography,KG,2025-05-22T22:51:57+00:00
Standard,1.3.1,K.3.13,"Geospatial Skills and Inquiry: Apply geographic tools, including geospatial technologies, and geographic inquiry to solve spatial problems.",KG,2025-05-22T22:51:57+00:00
Benchmark,1.3.1.1,K.3.13.1,Explain or show routes between locations using both fixed and dynamic maps from local to global scales.,KG,2025-05-22T22:51:57+00:00
Standard,1.3.2,K.3.14,"Places and Regions: Describe places and regions, explaining how they are influenced by power structures.",KG,2025-05-22T22:51:57+00:00
Benchmark,1.3.2.1,K.3.14.1,Identify physical and human characteristics and find examples in the local community and within stories.,KG,2025-05-22T22:51:57+00:00
Standard,1.3.3,K.3.17,Culture: Investigate how sense of place is impacted by different cultural perspectives.,KG,2025-05-22T22:51:57+00:00
Benchmark,1.3.3.1,K.3.17.1,Create a representation of a favorite place. Explain why it is important to them and how it makes them feel.,KG,2025-05-22T22:51:57+00:00
Strand,1.4,K.4,History,KG,2025-05-22T22:51:57+00:00
Standard,1.4.1,K.4.18,"Context, Change, and Continuity: Ask historical questions about context, change and continuity in order to identify and analyze dominant and nondominant narratives about the past.",KG,2025-05-22T22:51:57+00:00
Benchmark,1.4.1.1,K.4.18.1,"Ask historical questions about a past event in an individual’s family, school or local community.",KG,2025-05-22T22:51:57+00:00
Standard,1.4.2,K.4.19,"Historical Perspectives: Identify diverse points of view, and describe how one’s frame of reference influences historical perspective.",KG,2025-05-22T22:51:57+00:00
Benchmark,1.4.2.1,K.4.19.1,Identify how different families and communities celebrate or commemorate events and engage in respectful conversation about traditions within an individual’s family/community and those of other families/communities.,KG,2025-05-22T22:51:57+00:00
Standard,1.4.3,K.4.20,"Historical Sources and Evidence: Investigate a variety of historical sources by:

a) analyzing primary and secondary sources;

b) identifying perspectives and narratives that are absent from the available sources; and

c) interpreting the historical context, intended audience, purpose, and author’s point of view of these sources.",KG,2025-05-22T22:51:57+00:00
Benchmark,1.4.3.1,K.4.20.1,Describe how people learn about the past by identifying different types of historical sources and asking what can be learned from those sources.,KG,2025-05-22T22:51:57+00:00
Standard,1.4.4,K.4.21,Causation and Argumentation: Integrate evidence from multiple historical sources and interpretations into a reasoned argument or compelling narrative about the past.,KG,2025-05-22T22:51:57+00:00
Benchmark,1.4.4.1,K.4.21.1,"Use a variety of words to reference time in the past, present and future. Identify the beginning, middle and end of diverse historical stories.",KG,2025-05-22T22:51:57+00:00
Standard,1.4.5,K.4.22,Connecting Past and Present: Use historical methods and sources to identify and analyze the roots of a contemporary issue. Design a plan to address it.,KG,2025-05-22T22:51:57+00:00
Benchmark,1.4.5.1,K.4.22.1,"Retell and discuss a story about diverse individuals or groups in the past that illustrate honesty, courage, friendship, respect and/or responsibility.",KG,2025-05-22T22:51:57+00:00
Strand,1.5,K.5,Ethnic Studies,KG,2025-05-22T22:51:57+00:00
Standard,1.5.1,K.5.23,"Identity: Analyze the ways power and language construct the social identities of race, religion, geography, ethnicity, and gender. Apply these understandings to one’s own social identities and other groups living in Minnesota, centering those whose stories and histories have been marginalized, erased, or ignored.",KG,2025-05-22T22:51:57+00:00
Benchmark,1.5.1.1,K.5.23.1,"Create a personal representation of themselves, including their family and/or ancestors. Discuss the choices made, describing what is special and important, including strengths and assets.",KG,2025-05-22T22:51:57+00:00
Standard,1.5.2,K.5.24,Resistance: Describe how individuals and communities have fought for freedom and liberation against systemic and coordinated exercises of power locally and globally. Identify strategies or times that have resulted in lasting change. Organize with others to engage in activities that could further the rights and dignity of all.,KG,2025-05-22T22:51:57+00:00
Benchmark,1.5.2.1,K.5.24.1,Retell a story about an unfair experience that conveys a power imbalance (a personal experience or one from a story). Share what can be learned from this story.,KG,2025-05-22T22:51:57+00:00
Standard,1.5.3,K.5.25,Ways of Knowing and Methodologies: Use ethnic and Indigenous studies methods and sources in order to understand the roots of contemporary systems of oppression and apply lessons from the past that could eliminate historical and contemporary injustices.,KG,2025-05-22T22:51:57+00:00
Benchmark,1.5.3.1,K.5.25.1,"Describe the importance of first peoples’/Indigenous peoples’ relationships to land, water and the nonhuman world.",KG,2025-05-22T22:51:57+00:00
Course,2,,First Grade: Foundations of Social Studies – Communities and Culture,01,2025-05-22T22:52:08+00:00
Strand,2.1,1.1,Citizenship and Government,01,2025-05-22T22:52:08+00:00
Standard,2.1.1,1.1.1,Civic Skills: Apply civic reasoning and demonstrate civic skills for the purpose of informed and engaged lifelong civic participation.,01,2025-05-22T22:52:08+00:00
Benchmark,2.1.1.1,1.1.1.1,Participate in the civic life of the community by demonstrating civic skills that reflect an understanding of civic values in order to work together to reach a community goal or need.,01,2025-05-22T22:52:08+00:00
Standard,2.1.2,1.1.2,"Democratic Values and Principles: Explain democratic values and principles that guide governments, societies and communities. Analyze the tensions within the United States constitutional government.",01,2025-05-22T22:52:08+00:00
Benchmark,2.1.2.1,1.1.2.1,"Identify a symbol, song, pledge or tradition that is important to the student and explain why. Describe ways people show patriotism.",01,2025-05-22T22:52:08+00:00
Standard,2.1.3,1.1.3,"Rights and Responsibilities: Explain and evaluate rights, duties and responsibilities in democratic society.",01,2025-05-22T22:52:08+00:00
