Item Type,Sequence,Human Code,Full Statement,Ed. Level,Last Modified
Domain,1,WI.ESA.1,"Mission, Vision, and Core Values.",,2020-02-26T19:19:53+00:00
Standard,1.1,WI.ESA.1.1,"Effective educational leaders develop, advocate, and enact a shared mission, vision, and core values of high-quality education, academic success, and well-being of each pupil.",,2020-02-26T19:19:56+00:00
Domain,2,WI.ESA.10,School Improvement.,,2020-02-26T19:20:46+00:00
Standard,2.1,WI.ESA.10.1,Effective educational leaders act as agents of continuous school improvement to promote each pupil’s academic success and well-being.,,2020-02-26T19:20:48+00:00
Domain,3,WI.ESA.11,Teacher Standards.,,2020-02-26T19:20:51+00:00
Standard,3.1,WI.ESA.11.1,Effective educational leaders understand and demonstrate competence in the teacher standards under s. PI 34.002.,,2020-02-26T19:20:53+00:00
Domain,4,WI.ESA.2,Ethics and Professional Norms.,,2020-02-26T19:19:59+00:00
Standard,4.1,WI.ESA.2.1,Effective educational leaders act ethically and according to professional norms to promote each pupil’s academic success and well-being.,,2020-02-26T19:20:02+00:00
Domain,5,WI.ESA.3,Equity and Cultural Responsiveness.,,2020-02-26T19:20:08+00:00
Standard,5.1,WI.ESA.3.1,Effective educational leaders strive for equity of educational opportunity and culturally responsive practices to promote each pupil’s academic success and well-being.,,2020-02-26T19:20:06+00:00
Domain,6,WI.ESA.4,"Curriculum, Instruction, and Assessment.",,2020-02-26T19:20:13+00:00
Standard,6.1,WI.ESA.4.1,"Effective educational leaders develop and support intellectually rigorous and coherent systems of curriculum, instruction, and assessment to promote each pupil’s academic success and well-being.",,2020-02-26T19:20:16+00:00
Domain,7,WI.ESA.5,Care and Support.,,2020-02-26T19:20:17+00:00
Standard,7.1,WI.ESA.5.1,"Effective educational leaders cultivate an inclusive, caring, and supportive school community to promote each pupil’s academic success and well-being.",,2020-02-26T19:20:21+00:00
Domain,8,WI.ESA.6,Professional Capacity of School Personnel.,,2020-02-26T19:20:25+00:00
Standard,8.1,WI.ESA.6.1,Effective educational leaders develop the professional capacity and practice of school personnel to promote each pupil’s academic success and well-being.,,2020-02-26T19:20:27+00:00
Domain,9,WI.ESA.7,Professional Community.,,2020-02-26T19:20:31+00:00
Standard,9.1,WI.ESA.7.1,Effective educational leaders foster a professional community of teachers and other professional staff to promote each pupil’s academic success and well-being.,,2020-02-26T19:20:33+00:00
Domain,10,WI.ESA.8,Meaningful Engagement.,,2020-02-26T19:20:35+00:00
Standard,10.1,WI.ESA.8.1,"Effective educational leaders engage families and the community in meaningful, reciprocal, and mutually beneficial ways to promote each pupil’s academic success and well-being.",,2020-02-26T19:20:38+00:00
Domain,11,WI.ESA.9,Operations and Management.,,2020-02-26T19:20:41+00:00
Standard,11.1,WI.ESA.9.1,Effective educational leaders effectively manage school operations and resources to promote each pupil’s academic success and well-being.,,2020-02-26T19:20:43+00:00
