Item Type,Sequence,Human Code,Full Statement,Ed. Level,Last Modified
Standard,1,5.1,Principles and Documents of Government,KG-12,2023-11-19T00:00:00+00:00
Grade,1.1,5.1.3,Grade 3,03,2023-11-19T00:00:00+00:00
Element,1.1.1,5.1.3.A,Describe what government is.,03,2023-11-19T00:00:00+00:00
Element,1.1.2,5.1.3.B,"Explain the purposes of rules and laws and why they are important in the classroom, school, community, state and nation.",03,2023-11-19T00:00:00+00:00
Element,1.1.3,5.1.3.C,Define the principles and ideals shaping government.,03,2023-11-19T00:00:00+00:00
Element,1.1.4,5.1.3.D,Identify the document which created Pennsylvania.,03,2023-11-19T00:00:00+00:00
Element,1.1.5,5.1.3.E,Identify documents of United States government.,03,2023-11-19T00:00:00+00:00
Element,1.1.6,5.1.3.F,Explain the meaning of a preamble.,03,2023-11-19T00:00:00+00:00
Element,1.1.7,5.1.3.G,"Describe the purpose of the United States Flag, The Pledge of Allegiance and The National Anthem.",03,2023-11-19T00:00:00+00:00
Element,1.1.8,5.1.3.H,Identify framers of documents of governments.,03,2023-11-19T00:00:00+00:00
Element,1.1.9,5.1.3.I,"Explain why government is necessary in the classroom, school, community, state and nation and the basic purposes of government in Pennsylvania and the United States.",03,2023-11-19T00:00:00+00:00
Element,1.1.10,5.1.3.J,Explain the importance of respect for the property and the opinions of others.,03,2023-11-19T00:00:00+00:00
Element,1.1.11,5.1.3.K,Identify symbols and political holidays.,03,2023-11-19T00:00:00+00:00
Element,1.1.12,5.1.3.L,Identify ways courts resolve conflicts involving principles and ideals of government.,03,2023-11-19T00:00:00+00:00
Element,1.1.13,5.1.3.M,"Identify portions of famous speeches and writings that reflect the basic principles and ideals of government (e.g., “I have a dream,” Reverend Martin Luther King; “One small step for mankind,” Neil Armstrong).",03,2023-11-19T00:00:00+00:00
Grade,1.2,5.1.6,Grade 6,06,2023-11-19T00:00:00+00:00
Element,1.2.1,5.1.6.A,Explain the purpose of government.,06,2023-11-19T00:00:00+00:00
Element,1.2.2,5.1.6.B,"Explain the importance of the rule of law for the protection of individual rights and the common good in the community, state, nation and world.",06,2023-11-19T00:00:00+00:00
Element,1.2.3,5.1.6.C,Describe the principles and ideals shaping government.,06,2023-11-19T00:00:00+00:00
Element,1.2.4,5.1.6.D,Explain the basic principles and ideals within documents of Pennsylvania government.,06,2023-11-19T00:00:00+00:00
Element,1.2.5,5.1.6.E,Explain the basic principles and ideals within documents of United States government.,06,2023-11-19T00:00:00+00:00
Element,1.2.6,5.1.6.F,Explain the meaning of the Preamble to the Constitution of the Commonwealth of Pennsylvania and compare it to the Preamble of the Constitution of the United States.,06,2023-11-19T00:00:00+00:00
Element,1.2.7,5.1.6.G,"Describe the proper use, display and respect for the United States Flag and explain the significance of patriotic activities.",06,2023-11-19T00:00:00+00:00
Element,1.2.8,5.1.6.H,Describe the roles played by the framers of the basic documents of governments of Pennsylvania and the United States.,06,2023-11-19T00:00:00+00:00
Element,1.2.9,5.1.6.I,Describe and compare the making of rules by direct democracy and by a republican form of government.,06,2023-11-19T00:00:00+00:00
Element,1.2.10,5.1.6.J,Describe how the government protects individual and property rights and promotes the common good.,06,2023-11-19T00:00:00+00:00
Element,1.2.11,5.1.6.K,Describe the purpose of symbols and holidays.,06,2023-11-19T00:00:00+00:00
Element,1.2.12,5.1.6.L,Explain the role of courts in resolving conflicts involving the principles and ideals of government.,06,2023-11-19T00:00:00+00:00
Element,1.2.13,5.1.6.M,"Explain the basic principles and ideals found in famous speeches and writings (e.g., “Governments, like clocks, go from the motion people give them,” William Penn; “A date that will live in infamy,” Franklin D. Roosevelt).",06,2023-11-19T00:00:00+00:00
Grade,1.3,5.1.9,Grade 9,09,2023-11-19T00:00:00+00:00
Element,1.3.1,5.1.9.A,Identify and explain the major arguments advanced for the necessity of government.,09,2023-11-19T00:00:00+00:00
Element,1.3.2,5.1.9.B,Describe historical examples of the importance of the rule of law.,09,2023-11-19T00:00:00+00:00
Element,1.3.3,5.1.9.C,Analyze the principles and ideals that shape government.,09,2023-11-19T00:00:00+00:00
Element,1.3.4,5.1.9.D,Interpret significant changes in the basic documents shaping the government of Pennsylvania.,09,2023-11-19T00:00:00+00:00
Element,1.3.5,5.1.9.E,Analyze the basic documents shaping the government of the United States.,09,2023-11-19T00:00:00+00:00
Element,1.3.6,5.1.9.F,Contrast the individual rights created by the Pennsylvania Constitution and those created by the Constitution of the United States.,09,2023-11-19T00:00:00+00:00
Element,1.3.7,5.1.9.G,"Describe the procedures for proper uses, display and respect for the United States Flag as per the National Flag Code.",09,2023-11-19T00:00:00+00:00
Element,1.3.8,5.1.9.H,Explain and interpret the roles of framers of basic documents of government from a national and Pennsylvania perspective.,09,2023-11-19T00:00:00+00:00
Element,1.3.9,5.1.9.I,Explain the essential characteristics of limited and unlimited governments and explain the advantages and disadvantages of systems of government.,09,2023-11-19T00:00:00+00:00
Element,1.3.10,5.1.9.J,Explain how law protects individual rights and the common good.,09,2023-11-19T00:00:00+00:00
Element,1.3.11,5.1.9.K,Explain why symbols and holidays were created and the ideals they commemorate.,09,2023-11-19T00:00:00+00:00
Element,1.3.12,5.1.9.L,Interpret Pennsylvania and United States court decisions that have impacted the principles and ideals of government.,09,2023-11-19T00:00:00+00:00
Element,1.3.13,5.1.9.M,"Interpret the impact of famous speeches and writings on civic life (e.g., The Gospel of Wealth, Declaration of Sentiments).",09,2023-11-19T00:00:00+00:00
Grade,1.4,5.1.12,Grade 12,12,2023-11-19T00:00:00+00:00
Element,1.4.1,5.1.12.A,Evaluate the major arguments advanced for the necessity of government.,12,2023-11-19T00:00:00+00:00
Element,1.4.2,5.1.12.B,"Analyze the sources, purposes and functions of law.",12,2023-11-19T00:00:00+00:00
Element,1.4.3,5.1.12.C,Evaluate the importance of the principles and ideals of civic life.,12,2023-11-19T00:00:00+00:00
Element,1.4.4,5.1.12.D,Analyze the principles and ideals that shape the government of Pennsylvania and apply them to the government.,12,2023-11-19T00:00:00+00:00
Element,1.4.5,5.1.12.E,Evaluate the principles and ideals that shape the United States and compare them to documents of government.,12,2023-11-19T00:00:00+00:00
Element,1.4.6,5.1.12.F,Analyze and assess the rights of the people as listed in the Pennsylvania Constitution and the Constitution of the United States.,12,2023-11-19T00:00:00+00:00
Element,1.4.7,5.1.12.G,Analyze and interpret the role of the United States Flag in civil disobedience and in patriotic activities. H. Analyze the competing positions held by the framers of the basic documents of government of Pennsylvania and United States.,12,2023-11-19T00:00:00+00:00
Element,1.4.8,5.1.12.I,"Analyze historical examples of the importance of the rule of law explaining the sources, purposes and functions of law.",12,2023-11-19T00:00:00+00:00
Element,1.4.9,5.1.12.J,Analyze how the law promotes the common good and protects individual rights.,12,2023-11-19T00:00:00+00:00
Element,1.4.10,5.1.12.K,Analyze the roles of symbols and holidays in society.,12,2023-11-19T00:00:00+00:00
Element,1.4.11,5.1.12.L,Analyze Pennsylvania and United States court decisions that have affected principles and ideals of government in civic life.,12,2023-11-19T00:00:00+00:00
Element,1.4.12,5.1.12.M,"Evaluate and analyze the importance of significant political speeches and writings in civic life (e.g., Diary of Anne Frank, Silent Spring).",12,2023-11-19T00:00:00+00:00
Standard,2,5.2,Rights and Responsibilities of Citizenship,KG-12,2023-11-19T00:00:00+00:00
Grade,2.1,5.2.3,Grade 3,03,2023-11-19T00:00:00+00:00
Element,2.1.1,5.2.3.A,Identify examples of the rights and responsibilities of citizenship.,03,2023-11-19T00:00:00+00:00
Element,2.1.2,5.2.3.B,Identify personal rights and responsibilities.,03,2023-11-19T00:00:00+00:00
Element,2.1.3,5.2.3.C,Identify sources of conflict and disagreement and different ways conflicts can be resolved.,03,2023-11-19T00:00:00+00:00
Element,2.1.4,5.2.3.D,"Identify the importance of political leadership and public service in the school, community, state and nation.",03,2023-11-19T00:00:00+00:00
Element,2.1.5,5.2.3.E,Describe ways citizens can influence the decisions and actions of government.,03,2023-11-19T00:00:00+00:00
Element,2.1.6,5.2.3.F,Explain the benefits of following rules and laws and the consequences of violating them.,03,2023-11-19T00:00:00+00:00
Element,2.1.7,5.2.3.G,Identify ways to participate in government and civic life.,03,2023-11-19T00:00:00+00:00
Grade,2.2,5.2.6,Grade 6,06,2023-11-19T00:00:00+00:00
Element,2.2.1,5.2.6.A,Compare rights and responsibilities of citizenship.,06,2023-11-19T00:00:00+00:00
Element,2.2.2,5.2.6.B,Explain the relationship between rights and responsibilities.,06,2023-11-19T00:00:00+00:00
Element,2.2.3,5.2.6.C,Explain ways citizens resolve conflicts in society and government.,06,2023-11-19T00:00:00+00:00
Element,2.2.4,5.2.6.D,Describe the importance of political leadership and public service.,06,2023-11-19T00:00:00+00:00
Element,2.2.5,5.2.6.E,Identify examples of the rights and responsibilities of citizenship.,06,2023-11-19T00:00:00+00:00
Element,2.2.6,5.2.6.F,Describe the impact of the consequences of violating rules and laws in a civil society.,06,2023-11-19T00:00:00+00:00
Element,2.2.7,5.2.6.G,Explain the importance of participating in government and civic life.,06,2023-11-19T00:00:00+00:00
Grade,2.3,5.2.9,Grade 9,09,2023-11-19T00:00:00+00:00
Element,2.3.1,5.2.9.A,Contrast the essential rights and responsibilities of citizens in systems of government.,09,2023-11-19T00:00:00+00:00
Element,2.3.2,5.2.9.B,"Analyze citizens’ rights and responsibilities in local, state and national government.",09,2023-11-19T00:00:00+00:00
Element,2.3.3,5.2.9.C,Analyze skills used to resolve conflicts in society and government.,09,2023-11-19T00:00:00+00:00
Element,2.3.4,5.2.9.D,Analyze political leadership and public service in a republican form of government.,09,2023-11-19T00:00:00+00:00
Element,2.3.5,5.2.9.E,Explain the importance of the political process to competent and responsible participation in civic life.,09,2023-11-19T00:00:00+00:00
Element,2.3.6,5.2.9.F,Analyze the consequences of violating laws of Pennsylvania compared to those of the United States.,09,2023-11-19T00:00:00+00:00
Element,2.3.7,5.2.9.G,Analyze political and civic participation in government and society.,09,2023-11-19T00:00:00+00:00
Grade,2.4,5.2.12,Grade 12,12,2023-11-19T00:00:00+00:00
Element,2.4.1,5.2.12.A,"Evaluate an individual’s civic rights, responsibilities and duties in various governments.",12,2023-11-19T00:00:00+00:00
Element,2.4.2,5.2.12.B,Evaluate citizens’ participation in government and civic life.,12,2023-11-19T00:00:00+00:00
