Item Type,Sequence,Human Code,Full Statement,Ed. Level,Last Modified
Domain,1,,Communication,KG-12,2025-03-21T18:31:58+00:00
Standard,1.1,COMM.1,"Students engage in conversations, provide and obtain information, express feelings and emotions, and exchange opinions",KG-12,2025-03-21T18:31:58+00:00
Mode,1.1.1,,**Interpersonal Mode:** Listening and Speaking,KG-12,2025-03-21T18:31:58+00:00
Proficiency Level,1.1.1.1,,Level I,KG-12,2025-03-21T18:31:58+00:00
Course-Level Expectation,1.1.1.1.1,1.I.a,Ask and answer questions about very familiar topics.,KG-12,2025-03-21T18:31:58+00:00
Course-Level Expectation,1.1.1.1.2,1.I.b,"Engage in common classroom interactions such as, greetings, stating needs and preferences.",KG-12,2025-03-21T18:31:58+00:00
Course-Level Expectation,1.1.1.1.3,1.I.c,Share likes and dislikes.,KG-12,2025-03-21T18:31:58+00:00
Course-Level Expectation,1.1.1.1.4,1.I.d,"Exchange descriptions of people and places, in addition to products of the target culture.",KG-12,2025-03-21T18:31:58+00:00
Course-Level Expectation,1.1.1.1.5,1.I.e,"Use common social amenities such as please, thank you, excuse me.",KG-12,2025-03-21T18:31:58+00:00
Proficiency Level,1.1.1.2,,Level II,KG-12,2025-03-21T18:31:58+00:00
Course-Level Expectation,1.1.1.2.1,1.II.a,Demonstrate competencies previously introduced,KG-12,2025-03-21T18:31:58+00:00
Course-Level Expectation,1.1.1.2.2,1.II.b,"Use target language to acquire goods, services or information.",KG-12,2025-03-21T18:31:58+00:00
Course-Level Expectation,1.1.1.2.3,1.II.c,"Exchange information about personal events, memorable experiences and/or other topics.",KG-12,2025-03-21T18:31:58+00:00
Course-Level Expectation,1.1.1.2.4,1.II.d,Ask for repetition and repeat to ensure comprehension.,KG-12,2025-03-21T18:31:58+00:00
Proficiency Level,1.1.1.3,,Level III,KG-12,2025-03-21T18:31:58+00:00
Course-Level Expectation,1.1.1.3.1,1.III.a,Demonstrate competencies previously introduced,KG-12,2025-03-21T18:31:58+00:00
Course-Level Expectation,1.1.1.3.2,1.III.b,"Extend, accept, and refuse invitations appropriate to varied situations.",KG-12,2025-03-21T18:31:58+00:00
Course-Level Expectation,1.1.1.3.3,1.III.c,"Use expressions for managing conversations, such as, interrupting, apologizing, expressing agreement, and disagreement.",KG-12,2025-03-21T18:31:58+00:00
