Item Type,Sequence,Human Code,Full Statement,Ed. Level,Last Modified
Course,1,,Anatomy and Physiology,,2020-11-18T07:31:11+00:00
Domain,1.1,,Levels of Organization in the Human Body: Cellular,,2020-11-18T07:34:59+00:00
Core Standard,1.1.1,AP-1,<b>Core Standard 1:</b> Students confirm the different forms of cellular transport within the cell and across the plasma membrane.,,2020-11-18T09:36:49+00:00
Standard,1.1.1.1,AP-1.1,Verify anatomy and physiology and describe their subdivisions,,2020-11-18T09:37:16+00:00
Standard,1.1.1.2,AP-1.2,Analyze the functions of the organelles of the cell,,2020-11-18T09:37:27+00:00
Standard,1.1.1.3,AP-1.3,Evaluate the plasma membrane structure to active passive transport mechanisms,,2020-11-18T09:37:35+00:00
Standard,1.1.1.4,AP-1.4,"Connect the difference between the transport processes relative to energy source, substances transported, direction, and mechanism",,2020-11-18T09:37:42+00:00
Standard,1.1.1.5,AP-1.5,Analyze the parts of a cell and their basic functions,,2020-11-18T09:37:52+00:00
Core Standard,1.1.2,AP-2,<b>Core Standard 2:</b> Students synthesize stages and processes of somatic cell division and investigate cellular differentiation in the course of development and in the adult body.,,2020-11-18T09:36:57+00:00
Standard,1.1.2.1,AP-2.1,Analyze the functions of the parts of a microscope,,2020-11-20T10:57:18+00:00
Standard,1.1.2.2,AP-2.2,Analyze the phases of the cell cycle using models and a microscope,,2020-11-20T11:00:23+00:00
Standard,1.1.2.3,AP-2.3,"Evaluate the key phases of the cell cycle and describe the key events in each phase, including cytokinesis",,2020-11-20T11:00:25+00:00
Standard,1.1.2.4,AP-2.4,Evaluate the process of cell division and why cells are considered living,,2020-11-20T11:00:32+00:00
Standard,1.1.2.5,AP-2.5,Verify gene and explain their functions,,2020-11-20T11:31:48+00:00
Standard,1.1.2.6,AP-2.6,Connect transcription and translation,,2020-11-20T11:31:58+00:00
Domain,1.2,,Levels of Organization in the Human Body: Tissue and Organs,,2020-11-18T07:35:15+00:00
Core Standard,1.2.1,AP-3,<b>Core Standard 3:</b> Students apply and adapt the role of adhesion molecules and how these contribute to tissue formation.,,2020-11-20T11:33:00+00:00
Standard,1.2.1.1,AP-3.1,Verify homeostasis and explain its significance,,2020-11-20T11:33:15+00:00
Standard,1.2.1.2,AP-3.2,Recommend the 11 organ systems of the body and identify their components,,2020-11-20T11:35:37+00:00
Standard,1.2.1.3,AP-3.3,Analyze common body movements,,2020-11-20T11:35:44+00:00
Standard,1.2.1.4,AP-3.4,Evaluate the anatomical position,,2020-11-20T11:35:52+00:00
Standard,1.2.1.5,AP-3.5,"Choose the correct anatomical terms to describe body directions, regions, and body planes",,2020-11-20T11:35:59+00:00
Standard,1.2.1.6,AP-3.6,Evaluate the importance of water in the human body,,2020-11-20T11:36:06+00:00
Standard,1.2.1.7,AP-3.7,Connect the relationship between homeostasis imbalance and disease,,2020-11-20T11:36:12+00:00
Standard,1.2.1.8,AP-3.8,Verify anatomy and physiology and describe their subdivisions,,2020-11-20T11:36:18+00:00
Standard,1.2.1.9,AP-3.9,"Choose the different levels of structural organization that make up the human body, and explain their relationship",,2020-11-20T11:36:24+00:00
Standard,1.2.1.10,AP-3.10,Choose and name the major body cavities and their subdivisions and list the major organs contained within them ,,2020-11-20T11:36:31+00:00
Core Standard,1.2.2,AP-4,<b>Core Standard 4:</b> Students analyze the relationships between and the histology and physiological functions of tissues and their cellular and biochemical composition.,,2020-11-20T11:39:59+00:00
Standard,1.2.2.1,AP-4.1,Choose the nine regions and four quadrants of the abdominopelvic cavity and list organs they contain,,2020-11-20T11:41:16+00:00
Standard,1.2.2.2,AP-4.2,Synthesize chemical element and list the elements that form the bulk of body matter,,2020-11-20T11:41:52+00:00
Standard,1.2.2.3,AP-4.3,"Choose the different levels of structural organization that make up the human body, and explain their relationships ",,2020-11-20T11:41:58+00:00
Standard,1.2.2.4,AP-4.4,Confirm how negative and positive feedback maintain body homeostasis,,2020-11-20T11:42:05+00:00
Standard,1.2.2.5,AP-4.5,Name the different levels of structural organization that make up the human body,,2020-11-20T11:42:11+00:00
Standard,1.2.2.6,AP-4.6,Evaluate and locate the four basic tissue types of the body and explain their functions,,2020-11-20T11:42:18+00:00
Standard,1.2.2.7,AP-4.7,"Verify atomic number, atomic mass, atomic weight, isotope, and radioisotope",,2020-11-20T11:42:33+00:00
Standard,1.2.2.8,AP-4.8,"Verify the three types of chemical reactions: synthesis, decomposition, and exchange",,2020-11-20T11:42:59+00:00
Standard,1.2.2.9,AP-4.9,"Verify acid and base, and explain the concept of PH",,2020-11-20T11:43:01+00:00
Standard,1.2.2.10,AP-4.10,"Establish and compare the building blocks, general structures, and biological functions of carbohydrates, proteins, lipids, and nucleic acids",,2020-11-20T11:43:10+00:00
Domain,1.3,,Movement and Support in the Human Body: The Integumentary System,,2020-11-18T07:35:24+00:00
Core Standard,1.3.1,AP-5,"<b>Core Standard 5:</b> Students analyze the structure of the skin, including layers as well as accessory structures such as hair follicles, glands, and nails.",,2020-11-20T12:22:17+00:00
Standard,1.3.1.1,AP-5.1,"Identify the microscopic anatomy, location, and roles of the four basic tissue types",,2020-11-20T12:22:31+00:00
Standard,1.3.1.2,AP-5.2,"Identify mucous, serous, and synovial membranes",,2020-11-20T12:22:41+00:00
Core Standard,1.3.2,AP-6,<b>Core Standard 6:</b> Students connect the function of the Integumentary system and the cause and effect of diseases associated with the integumentary system.,,2020-11-20T12:23:09+00:00
Standard,1.3.2.1,AP-6.1,Verify the functions of the skin,,2020-11-20T12:23:35+00:00
Standard,1.3.2.2,AP-6.2,Analyze the roles of the specific layers of the skin ,,2020-11-20T12:24:35+00:00
Standard,1.3.2.3,AP-6.3,Describe the structure and functions of the accessory structures o f the skin,,2020-11-20T12:24:44+00:00
Standard,1.3.2.4,AP-6.4,Identify the gross anatomy of the skin and the accessory structures,,2020-11-20T12:25:11+00:00
Domain,1.4,,Movement and Support in the Human Body: Skeletal System,,2020-11-18T07:35:33+00:00
Core Standard,1.4.1,AP-7,"<b>Core Standard 7:</b> Students evaluate the structure, development, growth, and functions of bones.",,2020-11-20T12:26:35+00:00
Standard,1.4.1.1,AP-7.1,Analyze the major regions of the skeleton and describe their relative functions,,2020-11-20T12:26:58+00:00
Standard,1.4.1.2,AP-7.2,Select and describe common body movements,,2020-11-20T12:28:05+00:00
Standard,1.4.1.3,AP-7.3,Select and provide examples of the types of synovial joints,,2020-11-20T12:28:11+00:00
Standard,1.4.1.4,AP-7.4,Synthesize the structure and function of the gross and microscopic structures of skeletal muscle,,2020-11-20T12:28:17+00:00
Standard,1.4.1.5,AP-7.5,Select the four bone classes and provide examples of each,,2020-11-20T12:28:28+00:00
Standard,1.4.1.6,AP-7.6,Choose and describe the functions of the bone,,2020-11-20T12:28:36+00:00
Standard,1.4.1.7,AP-7.7,Evaluate the gross anatomy of a typical long bone,,2020-11-20T12:28:43+00:00
Standard,1.4.1.8,AP-7.8,Analyze the histology of compact and cancellous bone,,2020-11-20T12:28:50+00:00
Standard,1.4.1.9,AP-7.9,Verify inorganic and organic portions of the bone,,2020-11-20T12:28:57+00:00
Standard,1.4.1.10,AP-7.10,Verify intramembranous and endochondral ossification,,2020-11-20T12:29:04+00:00
Standard,1.4.1.11,AP-7.11,"Verify the role of osteoblasts, osteobytes, and osteoclasts",,2020-11-20T12:32:01+00:00
Standard,1.4.1.12,AP-7.12,Connect how hormones and stress regulate bone remodeling,,2020-11-20T12:32:07+00:00
Standard,1.4.1.13,AP-7.13,Verify the steps in fracture repair,,2020-11-20T12:32:16+00:00
Standard,1.4.1.14,AP-7.14,Analyze microscopic structures of bone,,2020-11-20T12:32:25+00:00
Standard,1.4.1.15,AP-7.15,Analyze the major parts of the axial and appendicular skeleton,,2020-11-20T12:32:33+00:00
Standard,1.4.1.16,AP-7.16,"Evaluate the structures of a typical vertebrae and identify regional features of cervical, thoracic, and lumbar vertebrae ",,2020-11-20T12:32:40+00:00
