Item Type,Sequence,Human Code,Full Statement,Ed. Level,Last Modified
Grade Level,1,,Pre-Kindergarten,PK,2023-11-19T00:00:00+00:00
Domain,1.1,,Speaking and Listening,PK,2023-11-19T00:00:00+00:00
Cluster,1.1.1,,Expressive Language,PK,2023-11-19T00:00:00+00:00
Standard,1.1.1.1,ELA.PK.SL.EL.1,Use language to express ideas and needs.,PK,2023-11-19T00:00:00+00:00
Standard,1.1.1.2,ELA.PK.SL.EL.2,Use increasingly complex and varied vocabulary. d.,PK,2023-11-19T00:00:00+00:00
Standard,1.1.1.3,ELA.PK.SL.EL.3,"Describe familiar people, places, things, and events through a variety of verbal and symbolic forms.",PK,2023-11-19T00:00:00+00:00
Standard,1.1.1.4,ELA.PK.SL.EL.4,Use different grammatical structures or rules for a variety of purposes.,PK,2023-11-19T00:00:00+00:00
Standard,1.1.1.5,ELA.PK.SL.EL.5,Engage in storytelling.,PK,2023-11-19T00:00:00+00:00
Standard,1.1.1.6,ELA.PK.SL.EL.6,Engage in communication and conversation with others.,PK,2023-11-19T00:00:00+00:00
Cluster,1.1.2,,Receptive Language,PK,2023-11-19T00:00:00+00:00
Standard,1.1.2.1,ELA.PK.SL.RL.1,"Attend to language during conversations, songs, stories, or other learning experiences.",PK,2023-11-19T00:00:00+00:00
Standard,1.1.2.2,ELA.PK.SL.RL.2,"Comprehend different forms of language, such as questions or exclamations.",PK,2023-11-19T00:00:00+00:00
Standard,1.1.2.3,ELA.PK.SL.RL.3,Comprehend increasingly complex and varied vocabulary and sentences.,PK,2023-11-19T00:00:00+00:00
Standard,1.1.2.4,ELA.PK.SL.RL.4,Comprehend different grammatical structures or rules for using language,PK,2023-11-19T00:00:00+00:00
Domain,1.2,,Foundational Reading,PK,2023-11-19T00:00:00+00:00
Cluster,1.2.1,,Book Appreciation and Knowledge,PK,2023-11-19T00:00:00+00:00
Standard,1.2.1.1,ELA.PK.FR.BA.1,Show interest in shared reading and looking at books independently.,PK,2023-11-19T00:00:00+00:00
Standard,1.2.1.2,ELA.PK.FR.BA.2,"Recognizes how books are read, such as front-to-back and one page at a time",PK,2023-11-19T00:00:00+00:00
Standard,1.2.1.3,ELA.PK.FR.BA.3,Demonstrate knowledge of different kinds of literature such as literary and informational text and poetry.,PK,2023-11-19T00:00:00+00:00
Standard,1.2.1.4,ELA.PK.FR.BA.4,"Recognize basic characteristics such as title, author and illustrator, characters, and setting.",PK,2023-11-19T00:00:00+00:00
Standard,1.2.1.5,ELA.PK.FR.BA.5,"Retell stories or information from books through conversation, artistic works, creative movement, or drama.",PK,2023-11-19T00:00:00+00:00
Cluster,1.2.2,,Print Concepts,PK,2023-11-19T00:00:00+00:00
Standard,1.2.2.1,ELA.PK.FR.PC.1,"Understand concepts of print such as print moves from left to right and top to bottom, and print conveys a message.",PK,2023-11-19T00:00:00+00:00
Standard,1.2.2.2,ELA.PK.FR.PC.2,"Recognize environmental print such as signs, newspapers, lists, messages, and menus.",PK,2023-11-19T00:00:00+00:00
Standard,1.2.2.3,ELA.PK.FR.PC.3,Recognize that letters of the alphabet are a special category of visual graphics that can be individually named.,PK,2023-11-19T00:00:00+00:00
Standard,1.2.2.4,ELA.PK.FR.PC.4,Recognize that letters are grouped to form words and words are a unit of print.,PK,2023-11-19T00:00:00+00:00
Standard,1.2.2.5,ELA.PK.FR.PC.5,"Recognize words such as name, names of family and friends, and familiar environmental print.",PK,2023-11-19T00:00:00+00:00
Cluster,1.2.3,,Phonological Awareness,PK,2023-11-19T00:00:00+00:00
Standard,1.2.3.1,ELA.PK.FR.PA.1,Identify sounds in the environment.,PK,2023-11-19T00:00:00+00:00
Standard,1.2.3.2,ELA.PK.FR.PA.2,Identify and discriminate between words in language.,PK,2023-11-19T00:00:00+00:00
Standard,1.2.3.3,ELA.PK.FR.PA.3,Identify and discriminate between syllables in words.,PK,2023-11-19T00:00:00+00:00
Standard,1.2.3.4,ELA.PK.FR.PA.4,Recognize matching sounds.,PK,2023-11-19T00:00:00+00:00
Standard,1.2.3.5,ELA.PK.FR.PA.5,"Identify and discriminate between sounds and phonemes in language, such as attention to beginning and ending sounds of a words and recognition that different words begin or end with the same sound.",PK,2023-11-19T00:00:00+00:00
Domain,1.3,,Writing,PK,2023-11-19T00:00:00+00:00
Cluster,1.3.1,,Early Writing,PK,2023-11-19T00:00:00+00:00
Standard,1.3.1.1,ELA.PK.WR.EW.4,Use functional print in play.,PK,2023-11-19T00:00:00+00:00
Standard,1.3.1.2,ELA.PK.WR.EW.5,"Experiment with a variety of writing tools and materials (ex: pencils, chalk, markers, sand, developmentally appropriate technology)",PK,2023-11-19T00:00:00+00:00
Standard,1.3.1.3,ELA.PK.WR.EW.6,"Demonstrate writing patterns such as top to bottom, left to right, and word separated by spaces.",PK,2023-11-19T00:00:00+00:00
Standard,1.3.1.4,ELA.PK.WR.EW.1,"Use scribbles, shapes, pictures, and letters to represent objects, stories, experiences, or ideas.",PK,2023-11-19T00:00:00+00:00
Standard,1.3.1.5,ELA.PK.WR.EW.2,"Use a combination of drawing, dictating, and writing to communicate ideas, thoughts, and feelings.",PK,2023-11-19T00:00:00+00:00
Standard,1.3.1.6,ELA.PK.WR.EW.3,Demonstrate an understanding that writing relays a message that can be read for communicating a variety of purposes.,PK,2023-11-19T00:00:00+00:00
Grade Level,2,,Kindergarten,KG,2023-11-19T00:00:00+00:00
Domain,2.1,,Early Learning Foundations,KG,2023-11-19T00:00:00+00:00
Cluster,2.1.1,,Fluency,KG,2023-11-19T00:00:00+00:00
Standard,2.1.1.1,ELA.K.I,Read emergent-reader texts with purpose and understanding.,KG,2023-11-19T00:00:00+00:00
Cluster,2.1.2,,Phonics and Word Recognition,KG,2023-11-19T00:00:00+00:00
Standard,2.1.2.1,ELA.K.II,Know and apply grade-level phonics and word analysis skills in decoding words.,KG,2023-11-19T00:00:00+00:00
Component,2.1.2.1.1,ELA.K.II.a,Demonstrate basic knowledge of one-to-one letter-sound correspondences by producing the primary or many of the most frequent sounds for each consonant.,KG,2023-11-19T00:00:00+00:00
Component,2.1.2.1.2,ELA.K.II.b,Associate common spellings (graphemes) with the five major short vowel sounds.,KG,2023-11-19T00:00:00+00:00
Component,2.1.2.1.3,ELA.K.II.c,"Read common high-frequency words by sight (e.g., the, of, to, you, she, my, is, are, do, or does).",KG,2023-11-19T00:00:00+00:00
Component,2.1.2.1.4,ELA.K.II.d,Distinguish between similarly spelled words by identifying the sounds of the letters that differ.,KG,2023-11-19T00:00:00+00:00
Cluster,2.1.3,,Handwriting,KG,2023-11-19T00:00:00+00:00
Standard,2.1.3.1,ELA.K.III,Print upper- and lowercase letters.,KG,2023-11-19T00:00:00+00:00
Cluster,2.1.4,,Phonological Awareness,KG,2023-11-19T00:00:00+00:00
Standard,2.1.4.1,ELA.K.IV,"Demonstrate understanding of spoken words, syllables, and sounds (phonemes).",KG,2023-11-19T00:00:00+00:00
Component,2.1.4.1.1,ELA.K.IV.a,Recognize and produce rhyming words.,KG,2023-11-19T00:00:00+00:00
Component,2.1.4.1.2,ELA.K.IV.b,"Count, pronounce, blend, and segment syllables in spoken words.",KG,2023-11-19T00:00:00+00:00
Component,2.1.4.1.3,ELA.K.IV.c,Blend and segment onsets and rimes of single-syllable spoken words.,KG,2023-11-19T00:00:00+00:00
Component,2.1.4.1.4,ELA.K.IV.d,"Isolate and pronounce the initial, medial vowel, and final sounds (phonemes) in three-phoneme words (i.e., consonant-vowel-consonant, hereinafter CVC). This does not include CVCs ending with /l/, /r/ or /x/.",KG,2023-11-19T00:00:00+00:00
