Item Type,Sequence,Human Code,Full Statement,Ed. Level,Last Modified
Subchapter,1,Subchapter A.,Subchapter A. Middle School,,2025-07-29T16:44:20+00:00
Grade/Course,1.1,127.2,Career and College Exploration.,,2024-10-02T17:20:20+00:00
Implementation,1.1.1,127.2.a,Implementation. The provisions of this section shall be implemented by school districts beginning with the 2023-2024 school year.,,2024-10-02T17:22:25+00:00
General Requirements,1.1.2,127.2.b,General requirements. This course is recommended for students in Grades 7 and 8. ,,2024-10-02T17:23:32+00:00
Introduction,1.1.3,127.2.c,Introduction.,,2024-10-02T17:24:38+00:00
Introduction,1.1.3.1,127.2.c.1,Career and technical education (CTE) instruction provides content aligned with challenging academic standards and relevant technical knowledge and skills for students to further their education and succeed in current or emerging professions. ,,2024-10-04T17:49:30+00:00
Introduction,1.1.3.2,127.2.c.2,Career development is a lifelong pursuit of answers to the questions: Who am I? Why am I here? What am I meant to do with my life? Will my desired career path provide a self-sufficient wage? What occupations are in the highest demand that align to my values and interests? It is vital that students have a clear sense of direction for their career choice. Education and career planning is a critical step and is essential to success. ,,2024-10-04T17:52:12+00:00
Introduction,1.1.3.3,127.2.c.3,"The career development process is unique to every person and evolves throughout one's life. In Flight Plans, students use decision-making and problem-solving skills for individual career and academic planning. Students explore valid, reliable educational and career information to learn more about themselves and their interests and abilities. Students integrate skills from academic subjects, information technology, and interpersonal communication to make informed decisions. This course is designed to guide students through the process of investigating and developing a college and career readiness flight plan. Students use aptitude and interest inventory assessments, software, or other tools available to explore college and career areas of personal interest. Students use this information to explore a variety of career paths, especially those in demand, and begin mapping their anticipated secondary coursework and potential postsecondary experiences that are in alignment with their goals.",,2024-10-04T17:53:12+00:00
Introduction,1.1.3.4,127.2.c.4,"The goal of this course is to help students build career awareness and engage in deep exploration and study of the Texas CTE career clusters to create a foundation for success in high school, possible postsecondary studies, and careers. Students research labor market information, learn job-seeking skills, and create documents required for employment.",,2024-10-04T17:55:06+00:00
Introduction,1.1.3.5,127.2.c.5,Students are encouraged to explore and participate in extended learning experiences such as career and technical student organizations and other leadership or extracurricular organizations. ,,2024-10-04T17:56:36+00:00
Introduction,1.1.3.6,127.2.c.6,"Statements that contain the word ""including"" reference content that must be mastered, while those containing the phrase ""such as"" are intended as possible illustrative examples.",,2024-10-04T17:57:30+00:00
Knowledge and Skills,1.1.4,127.2.d,Knowledge and skills.,,2024-10-04T17:58:43+00:00
Knowledge and Skills,1.1.4.1,127.2.d.1,"The student takes one or more career interest surveys, aptitude tests, or career assessments and explores various college and career options. The student is expected to:",,2025-06-04T14:37:19+00:00
Student Expectation,1.1.4.1.1,127.2.d.1.A,analyze and discuss the initial results of the assessments;,,2024-10-04T18:01:02+00:00
Student Expectation,1.1.4.1.2,127.2.d.1.B,explore and describe the CTE career clusters;,,2024-10-04T18:56:50+00:00
Student Expectation,1.1.4.1.3,127.2.d.1.C,identify various career opportunities within one or more career clusters; and,,2024-10-04T18:57:59+00:00
Student Expectation,1.1.4.1.4,127.2.d.1.D,research and evaluate emerging occupations related to career interest areas.,,2024-10-04T18:59:09+00:00
Knowledge and Skills,1.1.4.2,127.2.d.2,The student investigates educational and training requirements for career and education pathways in one or more of the career clusters. The student is expected to:,,2024-10-04T19:00:16+00:00
Student Expectation,1.1.4.2.1,127.2.d.2.A,"research and describe applicable academic, technical, certification, and training requirements for one or more of the careers in an identified career cluster; and",,2024-10-04T19:03:37+00:00
Student Expectation,1.1.4.2.2,127.2.d.2.B,use available resources to research and evaluate educational and training options for one or more of the careers in an identified career cluster.,,2024-10-04T19:04:36+00:00
Knowledge and Skills,1.1.4.3,127.2.d.3,3 The student analyzes educational and career opportunities. The student is expected to:,,2024-10-04T19:05:56+00:00
Student Expectation,1.1.4.3.1,127.2.d.3.A,describe academic requirements for transitioning from middle school to high school and from high school to career or postsecondary education;,,2024-10-04T19:07:08+00:00
Student Expectation,1.1.4.3.2,127.2.d.3.B,"explore and list opportunities for earning college credit in high school such as Advanced Placement examinations, International Baccalaureate examinations, dual credit courses, and local and statewide articulated credit courses;",,2024-10-04T19:08:08+00:00
Student Expectation,1.1.4.3.3,127.2.d.3.C,"investigate and describe various methods available to pay for college and other postsecondary training, including financial aid, scholarships, college savings, employee benefits, and other sources of income;",,2024-10-04T19:09:54+00:00
Student Expectation,1.1.4.3.4,127.2.d.3.D,discuss the impact of effective college and career planning;,,2024-10-04T19:10:54+00:00
Student Expectation,1.1.4.3.5,127.2.d.3.E,"identify how performance on assessments such as the PSAT/NMSQT®, SAT®, ACT®, ASVAB®, and Texas Success Initiative (TSI®) impact personal academic and career goals;",,2024-10-04T19:30:46+00:00
Student Expectation,1.1.4.3.6,127.2.d.3.F,"investigate and describe the importance of co-curricular, extracurricular, career preparation, and extended learning experiences in developing college applications or resumes;",,2024-10-04T19:31:59+00:00
Student Expectation,1.1.4.3.7,127.2.d.3.G,"investigate and report on the steps required to participate or enroll in a variety of career and educational opportunities, including entry-level employment, military service, apprenticeships, community and technical colleges, and universities, as applicable to the career;",,2024-10-04T19:33:13+00:00
Student Expectation,1.1.4.3.8,127.2.d.3.H,identify professional associations affiliated with a particular career pathway; and,,2024-10-04T19:34:25+00:00
Student Expectation,1.1.4.3.9,127.2.d.3.I,define entrepreneurship and identify entrepreneurial opportunities within a field of personal interest.,,2024-10-04T19:35:28+00:00
Knowledge and Skills,1.1.4.4,127.2.d.4,The student develops skills for personal success. The student is expected to:,,2024-10-04T19:41:58+00:00
Student Expectation,1.1.4.4.1,127.2.d.4.A,demonstrate effective time-management and goal-setting strategies;,,2024-10-04T19:42:56+00:00
Student Expectation,1.1.4.4.2,127.2.d.4.B,identify skills that can be transferable among a variety of careers;,,2024-10-04T19:44:21+00:00
Student Expectation,1.1.4.4.3,127.2.d.4.C,give oral professional presentations on a topic related to career and college exploration using appropriate technology;,,2024-10-04T19:45:26+00:00
Student Expectation,1.1.4.4.4,127.2.d.4.D,"apply core academic skills to meet personal, academic, and career goals;",,2024-10-04T22:10:38+00:00
Student Expectation,1.1.4.4.5,127.2.d.4.E,explain the value of community service and volunteerism; and,,2024-10-04T22:11:43+00:00
Student Expectation,1.1.4.4.6,127.2.d.4.F,"define and identify examples in the workplace of characteristics required for personal and professional success such as work ethic, integrity, dedication, and perseverance.",,2024-10-04T22:12:46+00:00
Knowledge and Skills,1.1.4.5,127.2.d.5,The student investigates labor market information and recognizes the impact of college and career choices on personal lifestyle. The student is expected to:,,2024-10-04T22:13:45+00:00
Student Expectation,1.1.4.5.1,127.2.d.5.A,analyze labor market trends related to a career of interest;,,2024-10-04T22:15:07+00:00
Student Expectation,1.1.4.5.2,127.2.d.5.B,"classify evidence of high-skill, high-wage, or high-demand occupations based on analysis of labor market information;",,2024-10-04T22:16:21+00:00
Student Expectation,1.1.4.5.3,127.2.d.5.C,"analyze the effects of changing employment trends, societal needs, and economic conditions on career choices;",,2024-10-04T22:20:00+00:00
Student Expectation,1.1.4.5.4,127.2.d.5.D,prepare a personal budget reflecting the student's desired lifestyle; and,,2024-10-04T22:22:30+00:00
Student Expectation,1.1.4.5.5,127.2.5.E,use resources to compare salaries of at least three careers in the student's interest area.,,2024-10-04T22:28:52+00:00
Knowledge and Skills,1.1.4.6,127.2.d.6,The student investigates job-seeking skills. The student is expected to: ,,2024-10-04T22:30:18+00:00
Student Expectation,1.1.4.6.1,127.2.d.6.A,identify the steps of an effective job search;,,2024-10-04T22:31:55+00:00
Student Expectation,1.1.4.6.2,127.2.6.B,describe appropriate appearance for an interview; and,,2024-10-04T22:35:27+00:00
Student Expectation,1.1.4.6.3,127.2.d.6.C,participate in a mock interview.,,2024-10-04T22:36:50+00:00
Knowledge and Skills,1.1.4.7,127.2.d.7,The student creates professional documents required for employment. The student is expected to:,,2024-10-04T22:38:54+00:00
Student Expectation,1.1.4.7.1,127.2.d.7.A,write a resume;,,2024-10-04T22:44:51+00:00
Student Expectation,1.1.4.7.2,127.2.d.7.B,write appropriate business correspondence such as a cover letter and a thank you letter;,,2024-10-04T22:46:19+00:00
