Item Type,Sequence,Human Code,Full Statement,Ed. Level,Last Modified
Benchmark,1,12.1,Communication in a Target Language,KG-12,2025-05-16T21:14:46+00:00
Benchmark Level,1.1,,Stage 1 - Novice High,KG-10,2025-05-16T21:12:44+00:00
Content Standard,1.1.1,12.1.S1.A,"*Pennsylvania’s public schools shall teach, challenge and support every student to realize his or her maximum potential and to acquire the knowledge and skills needed to* know the basic sound system and spelling patterns of the target language.",KG-10,2025-05-16T21:12:44+00:00
Performance Indicator,1.1.1.1,12.1.1.S1.A,"*Pennsylvania’s public schools shall teach, challenge and support every student to realize his or her maximum potential and to acquire the knowledge and skills needed to* recite target language alphabet and associated sounds and basic words with proper accentuation.",KG-10,2025-05-16T21:12:44+00:00
Content Standard,1.1.2,12.1.S1.B,"*Pennsylvania’s public schools shall teach, challenge and support every student to realize his or her maximum potential and to acquire the knowledge and skills needed to* know common vocabulary forms and structures used in basic speaking and writing.",KG-10,2025-05-16T21:12:44+00:00
Performance Indicator,1.1.2.1,12.1.1.S1.B,"*Pennsylvania’s public schools shall teach, challenge and support every student to realize his or her maximum potential and to acquire the knowledge and skills needed to* speak and write common vocabulary, phrases and structures during activities with the teacher, classmates and family. (Interpersonal Skills)",KG-10,2025-05-16T21:12:44+00:00
Content Standard,1.1.3,12.1.S1.C,"*Pennsylvania’s public schools shall teach, challenge and support every student to realize his or her maximum potential and to acquire the knowledge and skills needed to* recognize common vocabulary terms through listening and reading.",KG-10,2025-05-16T21:12:44+00:00
Performance Indicator,1.1.3.1,12.1.1.S1.C,"*Pennsylvania’s public schools shall teach, challenge and support every student to realize his or her maximum potential and to acquire the knowledge and skills needed to* comprehend simple spoken conversations and written sentences in dialogs and short paragraphs.",KG-10,2025-05-16T21:12:44+00:00
Content Standard,1.1.4,12.1.S1.D,"*Pennsylvania’s public schools shall teach, challenge and support every student to realize his or her maximum potential and to acquire the knowledge and skills needed to* know simple sentence and question structures in order to communicate.",KG-10,2025-05-16T21:12:44+00:00
Performance Indicator,1.1.4.1,12.1.1.S1.D,"*Pennsylvania’s public schools shall teach, challenge and support every student to realize his or her maximum potential and to acquire the knowledge and skills needed to* use simple sentence and question structures in speaking and writing.",KG-10,2025-05-16T21:12:44+00:00
Content Standard,1.1.5,12.1.S1.E,"*Pennsylvania’s public schools shall teach, challenge and support every student to realize his or her maximum potential and to acquire the knowledge and skills needed to* identify words from the target language that are commonly used in English.",KG-10,2025-05-16T21:12:44+00:00
Performance Indicator,1.1.5.1,12.1.1.S1.E,"*Pennsylvania’s public schools shall teach, challenge and support every student to realize his or her maximum potential and to acquire the knowledge and skills needed to* find words used in magazines, commercials and advertisements influenced by the target language.",KG-10,2025-05-16T21:12:44+00:00
Content Standard,1.1.6,12.1.S1.F,"*Pennsylvania’s public schools shall teach, challenge and support every student to realize his or her maximum potential and to acquire the knowledge and skills needed to* know how the target language has influenced other school curriculum areas.",KG-10,2025-05-16T21:12:44+00:00
Performance Indicator,1.1.6.1,12.1.1.S1.F,"*Pennsylvania’s public schools shall teach, challenge and support every student to realize his or her maximum potential and to acquire the knowledge and skills needed to* discuss with classmates and the teacher how the target language has influenced other areas of the school curriculum.",KG-10,2025-05-16T21:12:44+00:00
Benchmark Level,1.2,,Stage 2 - Intermediate Low,KG-12,2025-05-16T21:13:08+00:00
Content Standard,1.2.1,12.1.S2.A,"*Pennsylvania’s public schools shall teach, challenge and support every student to realize his or her maximum potential and to acquire the knowledge and skills needed to* refine knowledge of the sound system and spelling patterns of the target language.",KG-12,2025-05-16T21:13:08+00:00
Performance Indicator,1.2.1.1,12.1.1.S2.A,"*Pennsylvania’s public schools shall teach, challenge and support every student to realize his or her maximum potential and to acquire the knowledge and skills needed to* speak and model phrases and sentences with accepted pronunciation, rhythm and intonation with survival level proficiency.",KG-12,2025-05-16T21:13:08+00:00
Content Standard,1.2.2,12.1.S2.B,"*Pennsylvania’s public schools shall teach, challenge and support every student to realize his or her maximum potential and to acquire the knowledge and skills needed to* know expanded vocabulary forms and structures used in basic speaking and writing.",KG-12,2025-05-16T21:13:08+00:00
Performance Indicator,1.2.2.1,12.1.1.S2.B,"*Pennsylvania’s public schools shall teach, challenge and support every student to realize his or her maximum potential and to acquire the knowledge and skills needed to* speak and write expanded vocabulary phrases and structures in dialogs of short essays.",KG-12,2025-05-16T21:13:08+00:00
Content Standard,1.2.3,12.1.S2.C,"*Pennsylvania’s public schools shall teach, challenge and support every student to realize his or her maximum potential and to acquire the knowledge and skills needed to* recognize expanded vocabulary through listening and reading.",KG-12,2025-05-16T21:13:08+00:00
Performance Indicator,1.2.3.1,12.1.1.S2.C,"*Pennsylvania’s public schools shall teach, challenge and support every student to realize his or her maximum potential and to acquire the knowledge and skills needed to* comprehend simple spoken and written sentences using an expanded vocabulary in dialogs and short essays.",KG-12,2025-05-16T21:13:08+00:00
Content Standard,1.2.4,12.1.S2.D,"*Pennsylvania’s public schools shall teach, challenge and support every student to realize his or her maximum potential and to acquire the knowledge and skills needed to* know simple sentence and question structures in order to communicate about memorable and upcoming events.",KG-12,2025-05-16T21:13:08+00:00
Performance Indicator,1.2.4.1,12.1.1.S2.D,"*Pennsylvania’s public schools shall teach, challenge and support every student to realize his or her maximum potential and to acquire the knowledge and skills needed to* use simple sentence and question structures to communicate about daily activities, social amenities and personal information.",KG-12,2025-05-16T21:13:08+00:00
Content Standard,1.2.5,12.1.S2.E,"*Pennsylvania’s public schools shall teach, challenge and support every student to realize his or her maximum potential and to acquire the knowledge and skills needed to* identify words in English that have origins in the target language.",KG-12,2025-05-16T21:13:08+00:00
Performance Indicator,1.2.5.1,12.1.1.S2.E,"*Pennsylvania’s public schools shall teach, challenge and support every student to realize his or her maximum potential and to acquire the knowledge and skills needed to* use an English dictionary to find the meanings and origins of target language words.",KG-12,2025-05-16T21:13:08+00:00
Content Standard,1.2.6,12.1.S2.F,"*Pennsylvania’s public schools shall teach, challenge and support every student to realize his or her maximum potential and to acquire the knowledge and skills needed to* explain how the target language has influenced other areas of the school curriculum.",KG-12,2025-05-16T21:13:08+00:00
Performance Indicator,1.2.6.1,12.1.1.S2.F,"*Pennsylvania’s public schools shall teach, challenge and support every student to realize his or her maximum potential and to acquire the knowledge and skills needed to* model and represent the cross-curriculum connections in other subject areas for classmates and language teacher through the target language.",KG-12,2025-05-16T21:13:08+00:00
Benchmark Level,1.3,,Stage 3 - Intermediate Mid,KG-12,2025-05-16T21:13:08+00:00
Content Standard,1.3.1,12.1.S3.A,"*Pennsylvania’s public schools shall teach, challenge and support every student to realize his or her maximum potential and to acquire the knowledge and skills needed to* know details of the sound system and spelling patterns of the target language.",KG-12,2025-05-16T21:13:08+00:00
Performance Indicator,1.3.1.1,12.1.1.S3.A,"*Pennsylvania’s public schools shall teach, challenge and support every student to realize his or her maximum potential and to acquire the knowledge and skills needed to* speak and model phrases and sentences with refined pronunciation, rhythm and intonation with accuracy and cultural understanding.",KG-12,2025-05-16T21:13:08+00:00
Content Standard,1.3.2,12.1.S3.B,"*Pennsylvania’s public schools shall teach, challenge and support every student to realize his or her maximum potential and to acquire the knowledge and skills needed to* know advanced vocabulary and idiomatic expressions used in speaking and writing.",KG-12,2025-05-16T21:13:08+00:00
