Item Type,Sequence,Human Code,Full Statement,Ed. Level,Last Modified
Course,1,,Middle School FACS,,2020-11-25T13:10:14+00:00
Domain,1.1,FCS-MS 1,"<b>MIDDLE SCHOOL CAREER PLANNING AND CONTINUED EDUCATION:</b> <i>Students demonstrate knowledge and skills necessary for success in further education, career, and life</i>",,2020-11-25T13:10:14+00:00
Standard,1.1.1,FCS-MS 1.1,"<b>Exploring Self, Family, and Community:</b> Analyze factors that impact self-formation, including;",,2020-11-25T13:10:14+00:00
Component,1.1.1.1,FCS-MS 1.1.1,<li>Standards and ethics</li>,,2020-11-25T13:10:14+00:00
Component,1.1.1.2,FCS-MS 1.1.2,"<li>Goals, priorities, values</li>",,2020-11-25T13:10:14+00:00
Component,1.1.1.3,FCS-MS 1.1.3,"<li>Aptitudes, abilities, interests, motivations</li>",,2020-11-25T13:10:14+00:00
Component,1.1.1.4,FCS-MS 1.1.4,"<li>Roles, responsibilities, and life events</li>",,2020-11-25T13:10:14+00:00
Component,1.1.1.5,FCS-MS 1.1.5,"<li>Family, career, community, and global connections</li>",,2020-11-25T13:10:14+00:00
Component,1.1.1.6,FCS-MS 1.1.6,"<li>Behavior, etiquette, and personal appearance in different situations</li>",,2020-11-25T13:10:14+00:00
Standard,1.1.2,FCS-MS 1.2,"<b>Exploring Work:</b> Explore factors that impact personal image and feelings of personal worth, including;",,2020-11-25T13:10:14+00:00
Component,1.1.2.1,FCS-MS 1.2.1,<li>Work and individual identity</li>,,2020-11-25T13:10:14+00:00
Component,1.1.2.2,FCS-MS 1.2.2,<li>Work ethics and time management/prioritization</li>,,2020-11-25T13:10:14+00:00
Standard,1.1.3,FCS-MS 1.3,"<b>Exploring Careers:</b> Investigate personal attributes, standards, goals, interests, and aptitudes as they relate to career concepts, including;",,2020-11-25T13:10:14+00:00
Component,1.1.3.1,FCS-MS 1.3.1,"<li>Career clusters, career pathways, career research</li>",,2020-11-25T13:10:14+00:00
Component,1.1.3.2,FCS-MS 1.3.2,"<li>Career planning, four-year course planning</li>",,2020-11-25T13:10:14+00:00
Component,1.1.3.3,FCS-MS 1.3.3,"<li>Study skills, listening skills, note-taking</li>",,2020-11-25T13:10:14+00:00
Domain,1.2,FCS-MS 2,"<b>MIDDLE SCHOOL FINANCIAL LITERACY:</b> <i>Students will apply management practices to personal, family, and financial resources.</i>",,2020-11-25T13:10:14+00:00
Standard,1.2.1,FCS-MS 2.1,"<b>Identifying and Managing Resources:</b> Identify and manage resources to provide for personal and family needs and wants, including;",,2020-11-25T13:10:14+00:00
Component,1.2.1.1,FCS-MS 2.1.1,<li>Personal and community resources</li>,,2020-11-25T13:10:14+00:00
Component,1.2.1.2,FCS-MS 2.1.2,"<li>Consumer protection laws and resources, marketing/advertising techniques</li>",,2020-11-25T13:10:14+00:00
Component,1.2.1.3,FCS-MS 2.1.3,<li>Taxes and income</li>,,2020-11-25T13:10:14+00:00
Component,1.2.1.4,FCS-MS 2.1.4,"<li>Controlling personal information, financial account fraud</li>",,2020-11-25T13:10:14+00:00
Component,1.2.1.5,FCS-MS 2.1.5,<li>Volunteering/charitable giving</li>,,2020-11-25T13:10:14+00:00
Standard,1.2.2,FCS-MS 2.2,"<b>Personal and Family Financial Literacy:</b> Demonstrate skills to manage financial resources to meet personal and family goals, including;",,2020-11-25T13:10:14+00:00
Component,1.2.2.1,FCS-MS 2.2.1,<li>Budgeting/personal finance plan</li> ,,2020-11-25T13:10:14+00:00
Component,1.2.2.2,FCS-MS 2.2.2,"<li>Banking and financial institutions, electronic banking</li>",,2020-11-25T13:10:14+00:00
Component,1.2.2.3,FCS-MS 2.2.3,"<li>Managing credit and debt, credit cards vs. debit cards</li>",,2020-11-25T13:10:14+00:00
Component,1.2.2.4,FCS-MS 2.2.4,"<li>Saving/Investing, , and Insurance</li>",,2020-11-25T13:10:14+00:00
Component,1.2.2.5,FCS-MS 2.2.5,"<li>Checking accounts, utilizing financial records</li>",,2020-11-25T13:10:14+00:00
Domain,1.3,FCS-MS 3,"<b>MIDDLE SCHOOL NUTRITION AND WELLNESS:</b> <i>Students will demonstrate nutrition, wellness, and food preparation practices that enhance individual and family well-being.</i>",,2020-11-25T13:10:14+00:00
Standard,1.3.1,FCS-MS 3.1,"<b>Nutrition:</b> Evaluate nutrition choices and practices in a variety of settings, using reliable guidelines and sources of information, including; ",,2020-11-25T13:10:14+00:00
Component,1.3.1.1,FCS-MS 3.1.1,<li>Dietary guidelines/MyPlate</li>,,2020-11-25T13:10:14+00:00
Component,1.3.1.2,FCS-MS 3.1.2,<li>Comparing food intake to recommendations/ Serving/Portion Sizes</li>,,2020-11-25T13:10:14+00:00
Component,1.3.1.3,FCS-MS 3.1.3,"<li>Nutrients, nutritional label analysis</li> ",,2020-11-25T13:10:14+00:00
Component,1.3.1.4,FCS-MS 3.1.4,<li>Selecting foods at home and away</li>,,2020-11-25T13:10:14+00:00
Standard,1.3.2,FCS-MS 3.2,"<b>Food and Wellness Issues:</b> Examine factors and issues that impact current and future health and wellness, including;",,2020-11-25T13:10:14+00:00
Component,1.3.2.1,FCS-MS 3.2.1,<li>Activity and exercise</li>,,2020-11-25T13:10:14+00:00
Component,1.3.2.2,FCS-MS 3.2.2,<li>Food safety and food borne illnesses</li>,,2020-11-25T13:10:14+00:00
Component,1.3.2.3,FCS-MS 3.2.3,"<li>Wellness issues (for example, calcium/osteoporosis, diabetes, obesity, eating disorders, cardio-vascular health) </li>",,2020-11-25T13:10:14+00:00
Standard,1.3.3,FCS-MS 3.3,"<b>Preparing and Serving Food:</b> Demonstrate skills needed for preparing and serving foods, including;",,2020-11-25T13:10:14+00:00
Component,1.3.3.1,FCS-MS 3.3.1,<li>Laboratory/kitchen safety and sanitation practices</li> ,,2020-11-25T13:10:14+00:00
Component,1.3.3.2,FCS-MS 3.3.2,"<li>Cooking terms, equivalents, abbreviations, measurements</li>",,2020-11-25T13:10:14+00:00
Component,1.3.3.3,FCS-MS 3.3.3,<li>Reading and using recipes</li>,,2020-11-25T13:10:14+00:00
Component,1.3.3.4,FCS-MS 3.3.4,<li>Techniques and equipment for preparing and serving food</li>,,2020-11-25T13:10:14+00:00
Component,1.3.3.5,FCS-MS 3.3.5,<li>Teamwork in the laboratory setting and hands on activities</li>,,2020-11-25T13:10:14+00:00
Domain,1.4,FCS-MS 4,"<b>MIDDLE SCHOOL HUMAN DEVELOPMENT AND RELATIONSHIPS:</b> <i>Students will demonstrate relationship skills and understanding in contexts across the life span such as school, parenting, and the workplace.</i>",,2020-11-25T13:10:14+00:00
Standard,1.4.1,FCS-MS 4.1,"<b>Positive Family Relationships:</b> Analyze factors that contribute to positive relationships with family members, including; ",,2020-11-25T13:10:14+00:00
Component,1.4.1.1,FCS-MS 4.1.1,<li>Roles and responsibilities</li>,,2020-11-25T13:10:14+00:00
Component,1.4.1.2,FCS-MS 4.1.2,<li>Coping with family changes</li>,,2020-11-25T13:10:14+00:00
Component,1.4.1.3,FCS-MS 4.1.3,"<li>Setting rules, compromising, cooperating</li>",,2020-11-25T13:10:14+00:00
Standard,1.4.2,FCS-MS 4.2,"<b>Caring for Children and Others:</b> Demonstrate skills for positive guidance and care-giving of children and others, including;",,2020-11-25T13:10:14+00:00
Component,1.4.2.1,FCS-MS 4.2.1,<li>Understanding ages and developmental stages from birth through adolescence</li>,,2020-11-25T13:10:14+00:00
Component,1.4.2.2,FCS-MS 4.2.2,<li>Caregiver responsibilities / Babysitting Skills</li>,,2020-11-25T13:10:14+00:00
Component,1.4.2.3,FCS-MS 4.2.3,<li>Handling emergencies and keeping children safe</li>,,2020-11-25T13:10:14+00:00
Component,1.4.2.4,FCS-MS 4.2.4,<li>Nutritious and developmentally appropriate foods for children</li>,,2020-11-25T13:10:14+00:00
Component,1.4.2.5,FCS-MS 4.2.5,"<li>Children’s play and toys (for learning as well as safety, recalls, and age appropriate)</li>",,2020-11-25T13:10:14+00:00
Standard,1.4.3,FCS-MS 4.3,"<b>Communication:</b> Examine factors that contribute to positive relationships, including; ",,2020-11-25T13:10:14+00:00
Component,1.4.3.1,FCS-MS 4.3.1,<li>Communication skills and styles</li>,,2020-11-25T13:10:14+00:00
Component,1.4.3.2,FCS-MS 4.3.2,<li>Conflict prevention and resolution</li>,,2020-11-25T13:10:14+00:00
Standard,1.4.4,FCS-MS 4.4,"<b>Quality Friendships:</b> Analyze factors that contribute to positive relationships with peers, including; ",,2020-11-25T13:10:14+00:00
Component,1.4.4.1,FCS-MS 4.4.1,"<li>Peer pressure, assuming responsibility for choices and actions</li>",,2020-11-25T13:10:14+00:00
Component,1.4.4.2,FCS-MS 4.4.2,<li>Appreciating diversity</li>,,2020-11-25T13:10:14+00:00
Component,1.4.4.3,FCS-MS 4.4.3,<li>Changing male/female relationships</li> ,,2020-11-25T13:10:14+00:00
Domain,1.5,FCS-MS 5,"<b>MIDDLE SCHOOL LIFE SKILLS AND RESOURCE MANAGEMENT:</b> <i>Students will integrate multiple life roles and responsibilities in school, family, career, and community settings.</i>",,2020-11-25T13:10:14+00:00
Standard,1.5.1,FCS-MS 5.1,"<b>Leadership for Life:</b> Demonstrate teamwork and leadership skills, including;",,2020-11-25T13:10:14+00:00
Component,1.5.1.1,FCS-MS 5.1.1,<li>Leadership skills and styles</li> ,,2020-11-25T13:10:14+00:00
Component,1.5.1.2,FCS-MS 5.1.2,"<li>Taking risks, overcoming setbacks</li>",,2020-11-25T13:10:14+00:00
Component,1.5.1.3,FCS-MS 5.1.3,"<li>Character/citizenship, service</li>",,2020-11-25T13:10:14+00:00
Component,1.5.1.4,FCS-MS 5.1.4,<li>Working in a group</li> ,,2020-11-25T13:10:14+00:00
Component,1.5.1.5,FCS-MS 5.1.5,<li>Leadership development through FCCLA projects or Chapter activities</li>,,2020-11-25T13:10:14+00:00
Standard,1.5.2,FCS-MS 5.2,"<b>Decision Making, Problem Solving, and Critical Thinking:</b> Accomplish tasks and fulfill responsibilities by using thinking and problem-solving processes, including;",,2020-11-25T13:10:14+00:00
Component,1.5.2.1,FCS-MS 5.2.1,"<li>Decision-making, evaluating information, and planning processes</li>",,2020-11-25T13:10:14+00:00
Component,1.5.2.2,FCS-MS 5.2.2,"<li>Choices, options, and consequences</li>",,2020-11-25T13:10:14+00:00
Standard,1.5.3,FCS-MS 5.3,"<b>Personal Safety:</b> Demonstrate skills needed for responsibility for self and self-protection, including;",,2020-11-25T13:10:14+00:00
Component,1.5.3.1,FCS-MS 5.3.1,<li>Refusal skills</li>,,2020-11-25T13:10:14+00:00
Component,1.5.3.2,FCS-MS 5.3.2,"<li>Physical, emotional, and sexual abuse</li>",,2020-11-25T13:10:14+00:00
