Item Type,Sequence,Human Code,Full Statement,Ed. Level,Last Modified
Course,1,,Architectural Drafting and Design I,,2020-11-12T07:56:09+00:00
Domain,1.1,,Utilizing the Design Process in Architectural Drafting,,2020-11-12T08:03:45+00:00
Core Standard,1.1.1,ADDI-1,<b>Core Standard 1:</b> Students apply and adapt the design process to challenges found in architectural drafting scenarios.,,2020-11-12T08:04:22+00:00
Standard,1.1.1.1,ADDI-1.1,Identify and utilize the design process,,2020-11-12T08:04:51+00:00
Standard,1.1.1.2,ADDI-1.2,Recognize that budget constraints and customer needs are part of the design process,,2020-11-12T08:05:05+00:00
Standard,1.1.1.3,ADDI-1.3,Interpret demographics in an given area and relate it to the design process,,2020-11-12T08:05:11+00:00
Domain,1.2,,Drawing Concepts in Architectural Drafting,,2020-11-12T08:05:33+00:00
Core Standard,1.2.1,ADDI-2,<b>Core Standard 2:</b> Students integrate architectural concepts to produce industry standard drawings. Standards,,2020-11-12T08:06:28+00:00
Standard,1.2.1.1,ADDI-2.1,Use various architectural and construction terminology correctly,,2020-11-12T08:06:50+00:00
Standard,1.2.1.2,ADDI-2.2,Show familiarity with conventional drafting standards,,2020-11-12T08:07:05+00:00
Standard,1.2.1.3,ADDI-2.3,Identify and demonstrate proper use of drafting equipment,,2020-11-12T08:07:15+00:00
Standard,1.2.1.4,ADDI-2.4,"Identify pictorial, isometric, and orthographic drawing types",,2020-11-12T08:08:12+00:00
Standard,1.2.1.5,ADDI-2.5,Sketch proportionately and recognizably a given object,,2020-11-12T08:08:28+00:00
Standard,1.2.1.6,ADDI-2.6,Demonstrate advanced design sketching,,2020-11-12T08:08:43+00:00
Standard,1.2.1.7,ADDI-2.7,Demonstrate vertical Gothic lettering to quality standards,,2020-11-12T08:08:56+00:00
Standard,1.2.1.8,ADDI-2.8,Interpret scaled detailed drawings,,2020-11-12T08:09:05+00:00
Standard,1.2.1.9,ADDI-2.9,Identify and utilize drafting symbols,,2020-11-12T12:50:38+00:00
Standard,1.2.1.10,ADDI-2.10,Demonstrate acceptable line work and construction techniques,,2020-11-12T12:50:49+00:00
Standard,1.2.1.11,ADDI-2.11,Use and interpret sectioning techniques involving numerous line types,,2020-11-12T12:51:06+00:00
Standard,1.2.1.12,ADDI-2.12,Interpret residential planning and bubble diagrams,,2020-11-12T12:51:23+00:00
Standard,1.2.1.13,ADDI-2.13,Read an architectural scale,,2020-11-12T12:51:39+00:00
Standard,1.2.1.14,ADDI-2.14,Understand how to make a drawing to-scale,,2020-11-12T12:51:59+00:00
Domain,1.3,,Utilization of CAD Software in Architecture,,2020-11-12T08:14:16+00:00
Core Standard,1.3.1,ADDI-3,<b>Core Standard 3:</b> Students select specific commands to develop drawings to meet industry standards.,,2020-11-12T12:53:29+00:00
Standard,1.3.1.1,ADDI-3.1,Demonstrate competence in the use of CAD software through assignments,,2020-11-12T12:55:48+00:00
Standard,1.3.1.2,ADDI-3.2,Correctly use word processing and CAD file exporting commands when completing assignments,,2020-11-12T12:56:02+00:00
Standard,1.3.1.3,ADDI-3.3,Identify and use multiple input methods to select commands on the CAD system,,2020-11-12T12:56:54+00:00
Standard,1.3.1.4,ADDI-3.4,Retrieve and use help commands,,2020-11-12T12:57:11+00:00
Standard,1.3.1.5,ADDI-3.5,Navigate through and identify various parts of the CAD environment,,2020-11-12T12:57:23+00:00
Standard,1.3.1.6,ADDI-3.6,Modify drawing elements using editing commands,,2020-11-12T12:57:39+00:00
Standard,1.3.1.7,ADDI-3.7,Complete assignments using specific software commands and processes,,2020-11-12T12:59:08+00:00
Standard,1.3.1.8,ADDI-3.8,Explain coordinate systems,,2020-11-12T12:59:30+00:00
Domain,1.4,,Solving Design Challenges in Architectural Drafting,,2020-11-12T08:14:30+00:00
Core Standard,1.4.1,ADDI-4,<b>Core Standard 4:<b> Students synthesize architectural knowledge to design and create solutions.,,2020-11-12T13:01:44+00:00
Standard,1.4.1.1,ADDI-4.1,Develop and draw a floor plan,,2020-11-12T13:02:05+00:00
Standard,1.4.1.2,ADDI-4.2,Draw a site plan,,2020-11-12T13:02:14+00:00
Standard,1.4.1.3,ADDI-4.3,Draw a foundation plan,,2020-11-12T13:02:28+00:00
Standard,1.4.1.4,ADDI-4.4,Interpret roof framing and calculations,,2020-11-12T13:02:52+00:00
Standard,1.4.1.5,ADDI-4.5,Draw wall sections,,2020-11-12T13:03:05+00:00
Standard,1.4.1.6,ADDI-4.6,Read construction documents,,2020-11-12T13:03:18+00:00
Standard,1.4.1.7,ADDI-4.7,Develop elevations,,2020-11-12T13:03:35+00:00
Standard,1.4.1.8,ADDI-4.8,Interpret schedules,,2020-11-12T13:03:51+00:00
Standard,1.4.1.9,ADDI-4.9,"Interpret and apply required codes, standards, specifications, and cross-referencing",,2020-11-12T13:04:07+00:00
Domain,1.5,,Careers in Architectural Drafting,,2020-11-12T08:14:40+00:00
Core Standard,1.5.1,ADDI-5,<b>Core Standard 5:</b> Students evaluate architectural careers to prepare for future training and employment opportunities .,,2020-11-12T13:14:54+00:00
Standard,1.5.1.1,ADDI-5.1,Research architectural drafting careers,,2020-11-12T13:15:14+00:00
Standard,1.5.1.2,ADDI-5.2,Find architectural drafting opportunities offered by a technical school or college,,2020-11-12T13:15:28+00:00
Standard,1.5.1.3,ADDI-5.3,Determine architectural drafting occupation wages/salaries,,2020-11-12T13:15:40+00:00
Standard,1.5.1.4,ADDI-5.4,Research architectural drafting job outlook information,,2020-11-12T13:15:56+00:00
Course,2,,Architectural Drafting and Design II,,2020-11-12T07:56:14+00:00
Domain,2.1,,History of Architectures,,2020-11-13T04:34:25+00:00
Core Standard,2.1.1,ADDII-1,<b>Core Standard 1:</b> Students evaluate historical architecture to understand the styles and trends,,2020-11-13T04:35:39+00:00
Standard,2.1.1.1,ADDII-1.1,Identify the distinguishable design characteristics of the significant architectural styles in the history of civilizations,,2020-11-13T04:35:54+00:00
Standard,2.1.1.2,ADDII-1.2,"Integrate history, theory, technology and structures to influence formal and conceptual design manifested in materials, details, language and imagery",,2020-11-13T04:37:28+00:00
Domain,2.2,,Using the Design Process and Tools in Architectural Planning,,2020-11-13T04:41:19+00:00
Core Standard,2.2.1,ADDII-2,<b>Core Standard 2:</b> Students establish design concepts to meet the project requirements.,,2020-11-13T04:42:23+00:00
Standard,2.2.1.1,ADDII-2.1,Comprehend and discuss the purpose and need for “facilities programming” ,,2020-11-13T04:42:42+00:00
Standard,2.2.1.2,ADDII-2.2,Conceptualization of sketches and diagrams that demonstrate problem solving of programmatic issues,,2020-11-13T04:42:56+00:00
Standard,2.2.1.3,ADDII-2.3,"Utilize fundamentals of formal conceptual relationships, design methodology, and design process",,2020-11-13T04:43:08+00:00
Standard,2.2.1.4,ADDII-2.4,"Develop basic spatial and compositional ideas introduced through the study of typology, diagrams, and process of conceptualization ",,2020-11-13T04:43:43+00:00
Standard,2.2.1.5,ADDII-2.5,"Demonstrate an ability to represent ideas in form and space, as a conceptual and cultural response to program, type, basic building construction, architectural language and design methods",,2020-11-13T04:44:03+00:00
Standard,2.2.1.6,ADDII-2.6,"Apply basic building codes in the context of social, political, civic and environmental responsibilities relative to our society",,2020-11-13T04:44:27+00:00
Standard,2.2.1.7,ADDII-2.7,Analyze forces and loads on a structure,,2020-11-13T04:44:50+00:00
Standard,2.2.1.8,ADDII-2.8,Identify line weights and how they relate to specific line types,,2020-11-13T04:45:05+00:00
