Item Type,Sequence,Human Code,Full Statement,Ed. Level,Last Modified
,1,,Core Standards,,2023-07-24T21:58:48+00:00
Grade Band,1.1,,Elementary School (Grade K-5),KG-05,2023-08-08T23:33:15+00:00
Course,1.1.1,,Kindergarten: Spaces and Places,KG,2023-08-08T23:02:02+00:00
Content Area,1.1.1.1,,Inquiry,KG,2023-08-08T23:02:02+00:00
Inquiry Anchor Standard,1.1.1.1.1,,Constructing Compelling Questions,KG,2023-08-08T23:02:02+00:00
Inquiry Standard,1.1.1.1.1.1,SS.K.1.,Recognize a compelling question.,KG,2023-08-08T23:02:02+00:00
Inquiry Anchor Standard,1.1.1.1.2,,Constructing Supporting Questions,KG,2023-08-08T23:02:02+00:00
Inquiry Standard,1.1.1.1.2.1,SS.K.2.,Identify the relationship between compelling and supporting questions.,KG,2023-08-08T23:02:02+00:00
Inquiry Anchor Standard,1.1.1.1.3,,Gathering and Evaluating Sources,KG,2023-08-08T23:02:02+00:00
Inquiry Standard,1.1.1.1.3.1,N/A,,KG,2023-08-08T23:02:02+00:00
Inquiry Anchor Standard,1.1.1.1.4,,Developing Claims and Using Evidence,KG,2023-08-08T23:02:02+00:00
Inquiry Standard,1.1.1.1.4.1,N/A,,KG,2023-08-08T23:02:02+00:00
Inquiry Anchor Standard,1.1.1.1.5,,Communicating and Critiquing Conclusions,KG,2023-08-08T23:02:02+00:00
Inquiry Standard,1.1.1.1.5.1,SS.K.3.,Construct responses to compelling questions using examples.,KG,2023-08-08T23:02:02+00:00
Inquiry Anchor Standard,1.1.1.1.6,,Taking Informed Action,KG,2023-08-08T23:02:02+00:00
Inquiry Standard,1.1.1.1.6.1,SS.K.4.,"Take group or individual action to help address local, regional, and/or global problems.",KG,2023-08-08T23:02:02+00:00
Inquiry Standard,1.1.1.1.6.2,SS.K.5.,Use deliberative and democratic procedures to make decisions about and act on civic problems in their classrooms.,KG,2023-08-08T23:02:02+00:00
Content Area,1.1.1.2,,Behavioral Sciences,KG,2023-08-08T23:02:02+00:00
Content Anchor Standard,1.1.1.2.1,,Recognize the Interaction Between the Individual and Various Groups,KG,2023-08-08T23:28:53+00:00
Content Standard,1.1.1.2.1.1,SS.K.6.,"Describe students’ roles in different groups of which they are members including their family, school, and community.",KG,2023-08-15T17:55:29+00:00
Content Anchor Standard,1.1.1.2.2,,Examine Factors that Led to Continuity and Change on Human Development and Behavior,KG,2023-08-08T23:28:53+00:00
Content Standard,1.1.1.2.2.1,SS.K.7.,Describe ways in which students and others are alike and different within a variety of social categories.,KG,2023-08-15T17:55:29+00:00
Content Area,1.1.1.3,,Civics/Government,KG,2023-08-08T23:02:02+00:00
Content Anchor Standard,1.1.1.3.1,,"Interpret Processes, Rules and Laws",KG,2023-08-08T23:28:53+00:00
Content Standard,1.1.1.3.1.1,SS.K.8.,Determine a procedure for how people can effectively work together to make decisions to improve their classrooms or communities. (21st century skills),KG,2023-08-15T17:55:29+00:00
Content Standard,1.1.1.3.1.2,SS.K.9.,Compare and contrast rules from different places. (21st century skills),KG,2023-08-15T17:55:29+00:00
Content Area,1.1.1.4,,Economics,KG,2023-08-08T23:02:02+00:00
Content Anchor Standard,1.1.1.4.1,,Engage in Economic Decision Making,KG,2023-08-08T23:28:53+00:00
Content Standard,1.1.1.4.1.1,SS.K.10.,Give examples of choices that are made because of scarcity.,KG,2023-08-15T17:55:29+00:00
Content Area,1.1.1.5,,Financial Literacy,KG,2023-08-08T23:02:02+00:00
Content Anchor Standard,1.1.1.5.1,,Analyze Credit and Debt Levels,KG,2023-08-08T23:28:53+00:00
Content Standard,1.1.1.5.1.1,SS.K.11.,Explain the difference between buying and borrowing. (21st century skills),KG,2023-08-15T17:55:29+00:00
Content Anchor Standard,1.1.1.5.2,,Create a Saving and Spending Plan,KG,2023-08-08T23:28:53+00:00
Content Standard,1.1.1.5.2.1,SS.K.12.,Distinguish between appropriate spending choices. (21st century skills),KG,2023-08-15T17:55:29+00:00
Content Area,1.1.1.6,,Geography,KG,2023-08-08T23:02:02+00:00
Content Anchor Standard,1.1.1.6.1,,Create Geographic Representations,KG,2023-08-08T23:28:53+00:00
Content Standard,1.1.1.6.1.1,SS.K.13.,"Create a route to a specific location using maps, globes, and other simple geographic models.",KG,2023-08-15T17:55:29+00:00
Content Anchor Standard,1.1.1.6.2,,Evaluate Human Environment Interaction,KG,2023-08-08T23:28:53+00:00
Content Standard,1.1.1.6.2.1,SS.K.14.,Compare environmental characteristics in Iowa with other places.,KG,2023-08-15T17:55:29+00:00
Content Anchor Standard,1.1.1.6.3,,Analyze Human Population Movement and Patterns,KG,2023-08-08T23:28:53+00:00
Content Standard,1.1.1.6.3.1,SS.K.15.,Explain why and how people move from place to place.,KG,2023-08-15T17:55:29+00:00
Content Area,1.1.1.7,,History,KG,2023-08-08T23:02:02+00:00
Content Anchor Standard,1.1.1.7.1,,"Analyze Change, Continuity, and Context",KG,2023-08-08T23:28:53+00:00
Content Standard,1.1.1.7.1.1,SS.K.16.,Distinguish at least two related items or events by sequencing them from the past to the present.,KG,2023-08-15T17:55:29+00:00
Content Standard,1.1.1.7.1.2,SS.K.17.,Compare life in the past to life today.,KG,2023-08-15T17:55:29+00:00
Content Anchor Standard,1.1.1.7.2,,Critique Historical Sources and Evidence,KG,2023-08-08T23:28:53+00:00
Content Standard,1.1.1.7.2.1,SS.K.18.,"Given context clues, develop a reasonable idea about who created the primary or secondary source, when they created it, where they created it, or why they created it.",KG,2023-08-15T17:55:29+00:00
Content Anchor Standard,1.1.1.7.3,,Iowa History,KG,2023-08-08T23:28:53+00:00
Content Standard,1.1.1.7.3.1,SS.K.19,Compare and contrast local environmental characteristics to that of other parts of the state of Iowa.,KG,2023-08-15T17:55:29+00:00
Course,1.1.2,,1st Grade: Communities and Culture,01,2023-08-08T23:02:13+00:00
Content Area,1.1.2.1,,Inquiry,01,2023-08-08T23:02:13+00:00
Inquiry Anchor Standard,1.1.2.1.1,,Constructing Compelling Questions,01,2023-08-08T23:02:13+00:00
Inquiry Standard,1.1.2.1.1.1,SS.1.1,Explain why a compelling question is important.,01,2023-08-08T23:02:13+00:00
Inquiry Anchor Standard,1.1.2.1.2,,Constructing Supporting Questions,01,2023-08-08T23:02:13+00:00
Inquiry Standard,1.1.2.1.2.1,SS.1.2,Generate supporting questions across the social studies disciplines related to compelling questions.,01,2023-08-08T23:02:13+00:00
Inquiry Anchor Standard,1.1.2.1.3,,Gathering and Evaluating Sources,01,2023-08-08T23:02:13+00:00
Inquiry Standard,1.1.2.1.3.1,SS.1.3,Determine if a source is primary or secondary and distinguish whether it is mostly fact or opinion.,01,2023-08-08T23:02:13+00:00
Inquiry Anchor Standard,1.1.2.1.4,,Developing Claims and Using Evidence,01,2023-08-08T23:02:13+00:00
Inquiry Standard,1.1.2.1.4.1,N/A,,01,2023-08-08T23:02:13+00:00
Inquiry Anchor Standard,1.1.2.1.5,,Communicating and Critiquing Conclusions,01,2023-08-08T23:02:13+00:00
Inquiry Standard,1.1.2.1.5.1,SS.1.4,Construct responses to compelling questions using examples.,01,2023-08-08T23:02:13+00:00
Inquiry Anchor Standard,1.1.2.1.6,,Taking Informed Action,01,2023-08-08T23:02:13+00:00
Inquiry Standard,1.1.2.1.6.1,SS.1.5,"Take group or individual action to help address local, regional, and/or global problems.",01,2023-08-08T23:02:13+00:00
Inquiry Standard,1.1.2.1.6.2,SS.1.6,Use deliberative and democratic procedures to make decisions about and act on civic problems in their classrooms.,01,2023-08-08T23:02:13+00:00
Content Area,1.1.2.2,,Behavioral Sciences,01,2023-08-08T23:02:13+00:00
Content Anchor Standard,1.1.2.2.1,,Recognize the Interaction Between the Individual and Various Groups,01,2023-08-08T23:28:53+00:00
Content Standard,1.1.2.2.1.1,SS.1.7,Investigate how social identities can influence students’ own and others’ thoughts and behaviors.,01,2023-08-15T17:55:29+00:00
Content Anchor Standard,1.1.2.2.2,,Examine Factors that Led to Continuity and Change on Human Development and Behavior,01,2023-08-08T23:28:53+00:00
Content Standard,1.1.2.2.2.1,SS.1.8,Identify students’ own cultural practices and those of others within the community and around the world.,01,2023-08-15T17:55:29+00:00
Content Area,1.1.2.3,,Civics/Government,01,2023-08-08T23:02:13+00:00
Content Anchor Standard,1.1.2.3.1,,Apply Civic Virtues and Democratic Principles,01,2023-08-08T23:28:53+00:00
